1	Haut	hauen	V	VVIMP	Pl	0	root	_	_
2	er	er	P	PPER	3|Sg|Masc|Nom	0	root	1	1
3	mir	ich	P	PPER	1|Sg|_|Dat	0	root	129	129
4	an	an	P	APPR	_	3	pp	_	_
5	Huat	Huat	N	NE	_|_|_	4	pn	163	163
6	aba	aba	N	NE	_|_|_	5	app	163	163
7	!	!	$	$.	_	0	root	_	_
8	«	«	$	$(	_	0	root	_	_
9	schrie	schreien	V	VVFIN	3|Sg|Past|_	0	root	_	_
10	Trinkl	Trinkl	N	NE	_|Nom|Sg	9	subj	79	79
11	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Muaßt	Muaßt	F	FM	_	0	root	_	_
3	scho	scho	F	FM	_	2	app	_	_
4	entschuldinga	entschuldinga	F	FM	_	3	app	_	_
5	...	...	$	$.	_	0	root	_	_
6	aba	aba	F	FM	_	0	root	_	_
7	da	da	F	FM	_	6	app	_	_
8	kunnt	kunnt	F	FM	_	7	app	_	_
9	'	'	$	$(	_	0	root	_	_
10	st	st	F	FM	_	8	app	_	_
11	scho	scho	F	FM	_	10	app	_	_
12	belzi	belzi	F	FM	_	11	app	_	_
13	wer	wer	F	FM	_	12	app	_	_
14	'	'	$	$(	_	0	root	_	_
15	n	n	N	NN	_	13	app	_	_
16	...	...	$	$.	_	0	root	_	_
17	net	net	F	FM	_	0	root	_	_
18	...	...	$	$.	_	0	root	_	_
19	bal	bal	F	FM	_	0	root	_	_
20	oan	oan	F	FM	_	19	app	_	_
21	so	so	A	ADV	_	0	root	_	_
22	was	was	P	PWS	Neut|_|Sg	0	root	_	_
23	unterkimmt	unterkimmt	F	FM	_	0	root	_	_
24	...	...	$	$.	_	0	root	_	_
25	Fordern	Fordern	N	NN	Neut|_|Sg	0	root	_	_
26	möcht	möcht	F	FM	Neut|_|Sg	25	app	_	_
27	oan	oan	F	FM	Neut|_|Sg	26	app	_	_
28	der	die	A	ART	Def|Masc|Nom|Sg	29	det	_	_
29	Schreiberg	Schreiberg	N	NN	Masc|Nom|Sg	0	root	_	_
30	'	'	$	$(	_	0	root	_	_
31	sell	sell	F	FM	Masc|Nom|Sg	29	app	_	_
32	...	...	$	$.	_	0	root	_	_
33	«	«	$	$(	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	man	man	P	PIS	_|Nom|Sg	3	subj	_	_
3	hörte	hören	V	VVFIN	3|Sg|Past|_	1	cj	_	_
4	noch	noch	A	ADV	_	3	adv	_	_
5	lange	lange	A	ADJD	_	3	adv	_	_
6	ihre	ihre	A	PPOSAT	Fem|_|Pl	8	det	2	2
7	erregten	erregt	A	ADJA	Pos|Fem|_|Pl|Wk|	8	attr	_	_
8	Stimmen	Stimme	N	NN	Fem|_|Pl	3	obja	_	_
9	,	,	$	$,	_	0	root	_	_
10	da	da	K	KOUS	_	19	konj	_	_
11	sie	sie	P	PPER	3|Pl|_|Nom	19	subj	2	2
12	den	die	A	ART	Def|Masc|Acc|Sg	13	det	166	166
13	Stadtplatz	Stadtplatz	N	NN	Masc|Acc|Sg	19	obja	166	166
14	mehrmals	mehrmals	A	ADV	_	19	adv	_	_
15	hinauf	hinauf	A	ADV	_	19	adv	_	_
16	und	und	K	KON	_	15	kon	_	_
17	wieder	wieder	A	ADV	_	18	adv	_	_
18	herunter	herunter	A	ADV	_	16	cj	_	_
19	gingen	gehen	V	VVFIN	3|Pl|Past|_	3	neb	_	_
20	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Sie	sie	P	PPER	3|_|_|_	3	obja	2	2
3	san	san	V	VVFIN	_|Sg|_|_	0	root	_	_
4	aber	aber	A	ADV	_	3	adv	_	_
5	einer	eine	P	PIS	Masc|Nom|Sg	3	subj	_	_
6	!	!	$	$.	_	0	root	_	_
7	«	«	$	$(	_	0	root	_	_
8	lispelte	lispelt	A	ADJA	Pos|Neut|_|_|_|	9	attr	79	79
9	Fräulein	Fräulein	N	NN	Neut|_|_	0	root	79	79
10	Fanny	Fanny	N	NE	Neut|_|_	9	app	79	79
11	Trinkl	Trinkl	N	NE	Neut|_|_	10	app	79	79
12	,	,	$	$,	_	0	root	_	_
13	als	als	K	KOUS	_	22	konj	_	_
14	sie	sie	P	PPER	3|Sg|Fem|Nom	22	subj	_	_
15	in	in	P	APPR	_	22	pp	_	_
16	Gesellschaft	Gesellschaft	N	NN	_|_|Sg	15	pn	_	_
17	des	die	A	ART	Def|_|Gen|Sg	18	det	74	74
18	Herrn	Herrn	N	NN	_|Gen|Sg	16	gmod	74	74
19	Pfaffinger	Pfaffinger	N	NN	_|Gen|Sg	18	app	74	74
20	den	die	A	ART	Def|_|_|_	21	det	_	_
21	Höllbräusaal	Höllbräusaal	N	NN	_|_|_	22	obja	_	_
22	verließ	verlassen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
23	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	125	125
2	stattliche	stattlich	A	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	125	125
3	Brauereivolontär	Brauereivolontär	N	NN	Masc|Nom|Sg	4	subj	125	125
4	warf	werfen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
5	sich	sie	P	PRF	3|_|_	4	obja	_	_
6	in	in	P	APPR	Acc	4	objp	_	_
7	die	die	A	ART	Def|Fem|Acc|Sg	8	det	1194	1194
8	Brust	Brust	N	NN	Fem|Acc|Sg	6	pn	1194	1194
9	und	und	K	KON	_	4	kon	_	_
10	sagte	sagen	V	VVFIN	_|Sg|Past|_	9	cj	_	_
11	mit	mit	P	APPR	Dat	10	pp	_	_
12	geheucheltem	geheuchelt	A	ADJA	Pos|Masc|Dat|Sg|St|	13	attr	_	_
13	Gleichmute	Gleichmut	N	NN	Masc|Dat|Sg	11	pn	_	_
14	:	\:	$	$.	_	0	root	_	_
15	»	»	$	$(	_	0	root	_	_
16	Da	da	A	ADV	_	17	adv	_	_
17	gibt	geben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
18	'	'	$	$(	_	0	root	_	_
19	s	s	P	PPER	_|Sg|_|Nom	17	subj	125	125
20	bei	bei	P	APPR	Dat	17	pp	_	_
21	mir	ich	P	PPER	1|Sg|_|Dat	20	pn	126	126
22	nix	nix	P	PIS	_	17	obja	_	_
23	!	!	$	$.	_	0	root	_	_
24	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ich	ich	P	PPER	1|Sg|_|Nom	3	subj	126	126
3	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
4	so	so	A	ADV	_	5	adv	_	_
5	derschrocken	derschrocken	A	ADJD	_	3	pred	_	_
6	,	,	$	$,	_	0	root	_	_
7	wie	wie	P	PWAV	_	13	adv	_	_
8	Sie	sie	P	PPER	3|Pl|_|Nom	14	subj	2	2
9	auf	auf	P	APPR	_	13	pp	_	_
10	einmal	einmal	A	ADV	_	11	adv	_	_
11	aufg	aufg	A	ADJA	_|_|_|_|_	9	pn	_	_
12	'	'	$	$(	_	0	root	_	_
13	sprungen	sprungen	V	VVPP	_	14	aux	_	_
14	sind	sein	V	VAFIN	3|Pl|Pres|Ind	3	objc	_	_
15	.	.	$	$.	_	0	root	_	_

1	Jessas	Jessas	N	NE	_|_|Sg	0	root	143	143
2	Maria	Maria	N	NE	_|_|Sg	1	app	143	143
3	!	!	$	$.	_	0	root	_	_

1	hab	hab	V	VAFIN	1|Sg|_|_	0	root	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	1	subj	126	126
3	mir	ich	P	PRF	1|Sg|Dat	4	objd	_	_
4	denkt	denken	V	VVFIN	_|_|Pres|Ind	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	es	es	P	PPER	3|Sg|Neut|Nom	7	subj	_	_
7	werd	werd	V	VVFIN	3|Sg|_|_	4	s	_	_
8	doch	doch	A	ADV	_	7	adv	_	_
9	kein	keine	A	PIAT	Neut|Nom|Sg	10	det	386	386
10	Unglück	Unglück	N	NN	Neut|Nom|Sg	11	subj	386	386
11	geb	geb	V	VVFIN	_|Sg|_|_	7	s	_	_
12	'	'	$	$(	_	0	root	_	_
13	n	n	N	NN	_	11	obja	84	84
14	,	,	$	$,	_	0	root	_	_
15	daß	daß	K	KOUS	_	19	konj	_	_
16	er	er	P	PPER	3|Sg|Masc|Nom	19	subj	1	1
17	Ihnen	sie	P	PPER	3|Pl|_|Dat	19	objd	2	2
18	was	was	P	PIS	_	19	obja	_	_
19	tut	tun	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
20	...	...	$	$.	_	0	root	_	_
21	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Der	die	A	ART	Def|_|_|_	0	root	_	_
3	-	-	$	$(	_	0	root	_	_
4	mir	ich	P	PPER	1|Sg|_|Dat	0	root	126	126
5	?	?	$	$.	_	0	root	_	_
6	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Man	man	P	PIS	_|Nom|Sg	3	subj	_	_
3	weiß	wissen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	halt	halt	A	ADV	_	3	adv	_	_
5	oft	oft	A	ADV	_	3	adv	_	_
6	nicht	nicht	P	PTKNEG	_	3	adv	_	_
7	...	...	$	$.	_	0	root	_	_
8	«	«	$	$(	_	0	root	_	_

