1	Is	Is	N	NE	_|Gen|_	13	gmod	396	396
2	denn	denn	A	ADV	_	1	adv	396	396
3	in	in	P	APPR	Dat	1	pp	396	396
4	der	die	A	ART	Def|Fem|Dat|Sg	5	det	396	396
5	Kalupp	Kalupp	N	NN	Fem|Dat|Sg	3	pn	396	396
6	'	'	$	$(	_	0	root	396	396
7	n	n	N	NN	Fem|Dat|Sg	5	app	396	396
8	gar	gar	A	ADV	_	10	adv	396	396
9	koa	koa	A	ADJA	_|Fem|Dat|Sg|_	10	attr	396	396
10	Bedienung	Bedienung	N	NN	Fem|Dat|Sg	7	app	396	396
11	vorhand	vorhand	F	FM	Fem|Dat|Sg	10	app	396	396
12	'	'	$	$(	_	0	root	_	_
13	n	n	N	NN	_	0	root	_	_
14	?	?	$	$.	_	0	root	_	_
15	«	«	$	$(	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	2	det	87	87
2	Kellnerin	Kellnerin	N	NN	Fem|Nom|Sg	3	subj	87	87
3	stand	stehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	langsam	langsam	A	ADJD	Pos|	3	adv	_	_
5	auf	auf	P	PTKVZ	_	3	avz	_	_
6	,	,	$	$,	_	0	root	_	_
7	steckte	stecken	V	VVFIN	_|Sg|Past|_	3	kon	_	_
8	die	die	A	ART	Def|Fem|_|Sg	9	det	85	85
9	Haarnadel	Haarnadel	N	NN	Fem|_|Sg	7	obja	85	85
10	in	in	P	APPR	Acc	7	objp	_	_
11	den	die	A	ART	Def|Masc|Acc|Sg	12	det	_	_
12	Zopf	Zopf	N	NN	Masc|Acc|Sg	10	pn	_	_
13	und	und	K	KON	_	7	kon	_	_
14	fragte	fragen	V	VVFIN	_|Sg|Past|_	13	cj	_	_
15	gleichmütig	gleichmütig	A	ADJD	Pos|	14	adv	_	_
16	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Was	was	P	PWS	Neut|_|Sg	3	obja	_	_
3	schaffen	schaffen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
4	S	S	N	NN	Neut|Nom|Pl	3	subj	88	88
5	'	'	$	$(	_	0	root	_	_
6	?	?	$	$.	_	0	root	_	_
7	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
