1	Marie	Marie	N	NE	_|Nom|Sg	2	subj	969	969
2	trat	treten	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	ein	ein	P	PTKVZ	_	2	avz	_	_
4	und	und	K	KON	_	2	kon	_	_
5	ging	gehen	V	VVFIN	_|Sg|Past|Ind	4	cj	_	_
6	auf	auf	P	APPR	Acc	5	objp	_	_
7	den	die	A	ART	Def|Masc|Acc|Sg	8	det	183	183
8	Vater	Vater	N	NN	Masc|Acc|Sg	6	pn	183	183
9	zu	zu	P	PTKVZ	_	5	avz	_	_
10	,	,	$	$,	_	0	root	_	_
11	um	um	K	KOUI	_	16	konj	_	_
12	ihm	er	P	PPER	3|Sg|_|Dat	16	objd	2	2
13	die	die	A	ART	Def|Fem|_|Sg	14	det	166	166
14	Hand	Hand	N	NN	Fem|_|Sg	16	obja	166	166
15	zu	zu	P	PTKZU	_	16	part	_	_
16	reichen	reichen	V	VVINF	_	5	neb	_	_
17	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	1056	1056
2	Alte	Alt	N	NN	Masc|Nom|Sg	3	subj	1056	1056
3	vergrub	vergraben	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	die	die	P	PDS	_|_|_	3	obja	_	_
5	seinige	seinige	A	PPOSAT	_|_|_	0	root	1056	1056
6	in	in	P	APPR	Dat	0	root	_	_
7	der	die	A	ART	Def|Fem|Dat|Sg	8	det	_	_
8	Joppentasche	Joppentasche	N	NN	Fem|Dat|Sg	6	pn	_	_
9	und	und	K	KON	_	0	root	_	_
10	schaute	schauen	V	VVFIN	_|Sg|Past|_	9	cj	_	_
11	der	die	A	ART	Def|Fem|Dat|Sg	12	det	629	629
12	Tochter	Tochter	N	NN	Fem|Dat|Sg	10	objd	629	629
13	ins	in	P	APPRART	Acc	10	pp	_	_
14	Gesicht	Gesicht	N	NN	Neut|Acc|Sg	13	pn	1057	1057
15	.	.	$	$.	_	0	root	_	_

1	Ernst	Ernst	N	NE	_|_|Sg	0	root	1284	1284
2	und	und	K	KON	_	0	root	_	_
3	forschend	forschen	A	ADJD	_|<PPRES	2	cj	_	_
4	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	als	als	K	KOKOM	_	5	konj	_	_
5	suchte	suchen	V	VVFIN	3|Sg|Past|_	2	neb	_	_
6	er	er	P	PPER	3|Sg|Masc|Nom	5	subj	2	2
7	etwas	etwas	P	PIS	_	5	obja	_	_
8	,	,	$	$,	_	0	root	_	_
9	und	und	K	KON	_	5	kon	_	_
10	er	er	P	PPER	3|Sg|Masc|Nom	11	subj	2	2
11	schien	scheinen	V	VVFIN	3|Sg|Past|Ind	9	cj	_	_
12	es	es	P	PPER	3|Sg|Neut|_	15	obja	_	_
13	nicht	nicht	P	PTKNEG	_	15	adv	_	_
14	zu	zu	P	PTKZU	_	15	part	_	_
15	finden	finden	V	VVINF	_	11	obji	_	_
16	,	,	$	$,	_	0	root	_	_
17	denn	denn	K	KON	_	11	kon	_	_
18	seine	seine	A	PPOSAT	Masc|Nom|Pl	19	det	2	2
19	Züge	Zug	N	NN	Masc|Nom|Pl	20	subj	_	_
20	verrieten	verraten	V	VVFIN	3|Pl|Past|_	17	cj	_	_
21	eine	eine	A	ART	Indef|Fem|_|Sg	23	det	_	_
22	tiefe	tief	A	ADJA	Pos|Fem|_|Sg|_|	23	attr	_	_
23	Trauer	Trauer	N	NN	Fem|_|Sg	20	obja	_	_
24	.	.	$	$.	_	0	root	_	_

1	Seine	seine	A	PPOSAT	Fem|Nom|Sg	2	det	2	2
2	Stimme	Stimme	N	NN	Fem|Nom|Sg	3	subj	_	_
3	klang	klingen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	rauh	rauh	A	ADJD	Pos|	3	pred	_	_
5	,	,	$	$,	_	0	root	_	_
6	als	als	K	KOUS	_	8	konj	_	_
7	er	er	P	PPER	3|Sg|Masc|Nom	8	subj	2	2
8	fragte	fragen	V	VVFIN	3|Sg|Past|_	3	neb	_	_
9	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Was	was	P	PWS	Neut|Nom|Sg	3	subj	_	_
3	verschafft	verschaffen	V	VVFIN	3|Sg|Pres|Ind	5	objc	_	_
4	uns	wir	P	PPER	1|Pl|_|Dat	3	objd	_	_
5	eigentli	eigentli	V	VVFIN	_|_|_|_	0	root	_	_
6	die	die	A	ART	Def|_|Nom|_	8	det	_	_
7	hohe	hoch	A	ADJA	Pos|_|Nom|_|_|	8	attr	_	_
8	Ehr	Ehr	N	NN	_|Nom|_	5	subj	_	_
9	'	'	$	$(	_	0	root	_	_
10	?	?	$	$.	_	0	root	_	_
11	«	«	$	$(	_	0	root	_	_

1	Mizzi	Mizzi	N	NE	_|Nom|Sg	3	subj	968	968
2	Spera	Spera	N	NE	_|Nom|Sg	1	app	968	968
3	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
4	schockiert	schockiert	A	ADJD	Pos|	3	pred	_	_
5	über	über	P	APPR	Acc	3	pp	_	_
