1	He	He	N	NE	_	0	root	392	392
2	...	...	$	$.	_	0	root	_	_
3	Du	du	P	PPER	2|Sg|_|Nom	0	root	_	_
4	!	!	$	$.	_	0	root	_	_

1	Herrgottsakra	Herrgottsakra	N	NE	_	0	root	1185	1185
2	...	...	$	$.	_	0	root	_	_

1	Glasl	Glasl	N	NE	_	0	root	381	381
2	!	!	$	$.	_	0	root	_	_
3	...	...	$	$.	_	0	root	_	_

1	wach	wach	A	ADJD	Pos|	2	adv	_	_
2	amal	amal	A	ADJD	_	0	root	_	_
3	auf	auf	P	PTKVZ	_	0	root	_	_
4	!	!	$	$.	_	0	root	_	_
5	«	«	$	$(	_	0	root	_	_

1	Schlaftrunken	schlaftrunken	A	ADJD	Pos|	2	adv	_	_
2	hob	heben	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	der	die	A	ART	Def|_|_|_	4	det	_	_
4	andere	andere	A	ADJA	_|_|_	2	subj	_	_
5	den	die	A	ART	Def|Masc|Acc|Sg	6	det	_	_
6	Kopf	Kopf	N	NN	Masc|Acc|Sg	2	obja	_	_
7	vom	von	P	APPRART	Dat	6	pp	_	_
8	Kissen	Kissen	N	NN	Neut|Dat|_	7	pn	_	_
9	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Was	was	P	PWS	Neut|_|Sg	0	root	_	_
3	is	is	F	FM	_	0	root	_	_
4	?	?	$	$.	_	0	root	_	_

1	Was	was	P	PWS	Neut|_|Sg	2	obja	_	_
2	gibt	geben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	'	'	$	$(	_	0	root	_	_
4	s	s	P	PPER	_|Sg|_|Nom	2	subj	3	3
5	?	?	$	$.	_	0	root	_	_
6	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Aufsteh	Aufsteh	F	FM	_	0	root	_	_
3	tean	tean	F	FM	_	2	app	_	_
4	ma	ma	F	FM	_	3	app	_	_
5	...	...	$	$.	_	0	root	_	_
6	mir	ich	P	PPER	1|Sg|_|Dat	0	root	155	155
7	hamm	hamm	A	ADJD	_	8	adv	_	_
8	lang	lang	A	ADJD	Pos|	9	adv	_	_
9	g	g	N	NN	_|Nom|Sg	12	subj	_	_
10	'	'	$	$(	_	0	root	_	_
11	nua	nua	N	NE	_|Nom|Sg	9	app	_	_
12	duselt	duseln	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
13	...	...	$	$.	_	0	root	_	_
14	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Was	was	P	PWS	Neut|_|Sg	0	root	_	_
3	tean	tean	F	FM	_	0	root	_	_
