1	Schmettau	Schmettau	N	NE	_	0	root	483	483
2	:	\:	$	$.	_	0	root	_	_
3	Obendrein	obendrein	A	ADV	_	4	adv	_	_
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	die	die	A	ART	Def|Fem|Nom|Sg	6	det	204	204
6	Frau	Frau	N	NN	Fem|Nom|Sg	4	subj	204	204
7	noch	noch	A	ADV	_	4	adv	_	_
8	in	in	P	APPR	_	4	pp	_	_
9	Haft	Haft	N	NN	_|_|Sg	8	pn	_	_
10	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Pl	2	det	_	_
2	Zeitungen	Zeitung	N	NN	Fem|Nom|Pl	3	subj	_	_
3	schreiben	schreiben	V	VVFIN	3|Pl|Pres|_	0	root	_	_
4	darüber	darüber	P	PROAV	_	3	pp	_	_
5	;	;	$	$.	_	0	root	_	_
6	Hoheit	Hoheit	N	NN	Fem|_|Sg	7	obja	506	506
7	leiden	leiden	V	VVFIN	_|Pl|Pres|_	0	root	_	_
8	unter	unter	P	APPR	Dat	7	pp	_	_
9	den	die	A	ART	Def|Fem|Dat|Pl	10	det	538	538
10	Möglichkeiten	Möglichkeit	N	NN	Fem|Dat|Pl	8	pn	538	538
11	,	,	$	$,	_	0	root	538	538
12	die	die	P	PRELS	Fem|_|Pl	15	obja	538	538
13	es	es	P	PPER	3|Sg|Neut|Nom	16	subj	_	_
14	noch	noch	A	ADV	_	15	adv	_	_
15	geben	geben	V	VVINF	_	16	aux	_	_
16	kann	können	V	VMFIN	3|Sg|Pres|Ind	10	rel	_	_
17	.	.	$	$.	_	0	root	_	_

1	Präsident	Präsident	N	NN	Masc|_|Sg	0	root	237	237
2	:	\:	$	$.	_	0	root	_	_
3	Darüber	Darüber	P	PROAV	_	4	pp	_	_
4	können	können	V	VMFIN	3|Pl|Pres|_	0	root	_	_
5	Sie	sie	P	PPER	3|Pl|_|Nom	4	subj	538	538
6	beruhigt	beruhigen	V	VVPP	_	7	aux	_	_
7	sein	sein	V	VAINF	_	4	aux	_	_
8	,	,	$	$,	_	0	root	_	_
9	Herr	Herr	N	NN	Masc|_|Sg	4	vok	504	504
10	Baron	Baron	N	NE	Masc|_|Sg	9	app	504	504
11	!	!	$	$.	_	0	root	_	_

1	Jetzt	jetzt	A	ADV	_	2	adv	_	_
2	wache	wachen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	614	614
4	über	über	P	APPR	Acc	2	pp	_	_
5	den	die	A	ART	Def|Masc|Acc|Sg	6	det	_	_
6	Verlauf	Verlauf	N	NN	Masc|Acc|Sg	4	pn	_	_
7	.	.	$	$.	_	0	root	_	_

1	Zieht	zeihen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
2	die	die	A	ART	Def|Fem|Nom|Sg	3	det	539	539
3	Uhr	Uhr	N	NN	Fem|Nom|Sg	1	subj	539	539
4	und	und	K	KON	_	1	kon	_	_
5	spricht	sprechen	V	VVFIN	3|Sg|Pres|Ind	4	cj	_	_
6	mit	mit	P	APPR	Dat	5	pp	_	_
7	affektierter	affektiert	A	ADJA	Pos|Fem|Dat|Sg|St|	8	attr	_	_
8	Ruhe	Ruhe	N	NN	Fem|Dat|Sg	6	pn	_	_
9	:	\:	$	$.	_	0	root	_	_
10	Wir	wir	P	PPER	1|Pl|_|Nom	11	subj	_	_
11	haben	haben	V	VAFIN	1|Pl|Pres|_	0	root	_	_
12	ein	eine	A	ART	Indef|_|_|Sg	13	det	_	_
13	Viertel	Viertel	N	NN	_|_|Sg	11	obja	_	_
14	vor	vor	P	APPR	_	11	pp	_	_
15	eins	eins	C	CARD	_	14	pn	_	_
16	.	.	$	$.	_	0	root	_	_

1	Heute	heute	A	ADV	_	4	adv	540	540
2	abend	abend	A	ADV	_	3	adv	540	540
3	acht	acht	C	CARD	_	4	attr	540	540
