1	Batz	Batz	N	NE	Masc|_|Sg	7	vok	455	455
2	und	und	K	KON	_	1	kon	_	_
3	Schmied	Schmied	N	NN	Masc|_|Sg	2	cj	490	490
4	Maxl	Maxl	N	NE	Masc|_|Sg	3	app	490	490
5	,	,	$	$,	_	0	root	_	_
6	ihr	ihr	P	PPER	2|Pl|_|Nom	7	subj	_	_
7	bleibt	bleiben	V	VVFIN	2|Pl|Pres|Ind	0	root	_	_
8	hart	hart	A	ADJD	Pos|	7	pred	_	_
9	neben	neben	P	APPR	Dat	7	pp	_	_
10	mir	ich	P	PPER	1|Sg|_|Dat	9	pn	1	1
11	,	,	$	$,	_	0	root	_	_
12	und	und	K	KON	_	7	kon	_	_
13	schreit	schreien	V	VVFIN	_|_|Pres|Ind	12	cj	_	_
14	'	'	$	$(	_	0	root	_	_
15	s	s	P	PPER	_|_|_|Nom	13	subj	490	490
16	recht	recht	A	ADJD	Pos|	13	adv	_	_
17	!	!	$	$.	_	0	root	_	_

1	So	so	A	ADV	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	jetzt	jetzt	A	ADV	_	5	adv	_	_
4	das	die	A	ART	Def|Neut|_|Sg	5	det	_	_
5	Tor	Tor	N	NN	Neut|_|Sg	0	root	_	_
6	geschwind	geschwind	A	ADJD	Pos|	0	root	_	_
7	auf	auf	P	PTKVZ	_	0	root	_	_
8	!	!	$	$.	_	0	root	_	_

1	Hurra	Hurra	N	NN	Neut|_|Sg	0	root	491	491
2	!	!	$	$.	_	0	root	_	_

1	Hurra	Hurra	N	NN	Neut|_|Sg	0	root	491	491
2	!	!	$	$.	_	0	root	_	_
3	«	«	$	$(	_	0	root	_	_

1	Die	die	A	ART	Def|_|_|Pl	2	det	_	_
2	vier	vier	C	CARD	_|_|_	3	subj	_	_
3	stürzten	stürzen	V	VVFIN	3|Pl|Past|_	0	root	_	_
4	hinaus	hinaus	P	PTKVZ	_	3	avz	_	_
5	.	.	$	$.	_	0	root	_	_

1	Wie	Wie	P	PWAV	_	6	adv	_	_
2	die	die	A	ART	Def|_|Nom|Pl	3	det	418	418
3	Burschen	Bursche	N	NN	_|Nom|Pl	6	subj	418	418
4	das	die	A	ART	Def|Neut|_|Sg	5	det	492	492
5	Feldgeschrei	Feldgeschrei	N	NN	Neut|_|Sg	6	obja	492	492
6	hören	hören	V	VVFIN	3|Pl|Pres|_	8	objc	_	_
7	,	,	$	$,	_	0	root	_	_
8	packen	packen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
9	sie	sie	P	PPER	3|Pl|_|Nom	8	subj	418	418
10	zusammen	zusammen	P	PTKVZ	_	8	avz	_	_
11	,	,	$	$,	_	0	root	_	_
12	und	und	K	KON	_	0	root	_	_
13	auf	auf	P	PTKVZ	_	0	root	_	_
14	und	und	K	KON	_	0	root	_	_
15	davon	davon	P	PROAV	_	14	cj	_	_
16	,	,	$	$,	_	0	root	_	_
17	was	was	P	PRELS	Neut|_|Sg	19	obja	492	492
18	sie	sie	P	PPER	3|Pl|_|Nom	20	subj	418	418
19	laufen	laufen	V	VVINF	_	20	aux	_	_
20	können	können	V	VMFIN	3|Pl|Pres|_	15	objc	_	_
