1	Wos	Wos	N	NE	_	2	obja	686	686
2	brauchst	brauchen	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
3	di	di	N	NE	_|Nom|Pl	7	subj	165	165
4	du	du	F	FM	_|Nom|Pl	3	app	165	165
5	z	z	F	FM	_|Nom|Pl	4	app	165	165
6	'	'	$	$(	_	0	root	_	_
7	kümmern	kümmern	V	VVFIN	3|Pl|Pres|_	0	root	_	_
8	um	um	P	APPR	_	7	objp	_	_
9	heutz	heutz	C	CARD	_	8	pn	_	_
10	'	'	$	$(	_	0	root	_	_
11	tag	tagen	V	VVIMP	Sg	0	root	_	_
12	?	?	$	$.	_	0	root	_	_

1	Dei	Dei	N	NN	Fem|_|Sg	0	root	_	_
2	Schaar	Schaar	F	FM	Fem|_|Sg	1	app	_	_
3	schneid	schneid	F	FM	Fem|_|Sg	2	app	_	_
4	'	'	$	$(	_	0	root	_	_
5	t	t	N	NN	Fem|_|Sg	3	app	_	_
6	an	an	P	APPR	_	5	pp	_	_
7	Coupon	Coupon	N	NN	Masc|_|Sg	6	pn	_	_
8	,	,	$	$,	_	0	root	_	_
9	und	und	K	KON	_	0	root	_	_
10	firti	firti	F	FM	_	9	cj	_	_
11	!	!	$	$.	_	0	root	_	_

1	Net	Net	N	NE	_	0	root	161	161
2	?	?	$	$.	_	0	root	_	_
3	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Geh	Geh	N	NE	_	0	root	163	163
3	,	,	$	$,	_	0	root	163	163
4	hör	hör	N	NE	_	2	app	163	163
5	auf	auf	P	APPR	_	4	pp	163	163
6	mit	mit	P	APPR	Dat	5	pp	163	163
7	meine	meine	A	PPOSAT	Masc|Nom|Sg	8	det	163	163
8	Coupon	Coupon	N	NN	Masc|Nom|Sg	6	pn	163	163
9	!	!	$	$.	_	0	root	_	_
10	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	I	I	C	CARD	_	0	root	_	_
3	höret	hören	V	VVFIN	2|Pl|Pres|Subj	0	root	_	_
4	scho	scho	N	NE	_	0	root	800	800
5	auf	auf	P	PTKVZ	_	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	bal	bal	F	FM	_	0	root	_	_
8	i	i	F	FM	_	7	app	_	_
9	no	no	F	FM	_	8	app	_	_
10	amal	amal	F	FM	_	9	app	_	_
11	o	o	F	FM	_	10	app	_	_
12	'	'	$	$(	_	0	root	_	_
13	fanga	fanga	F	FM	_	11	app	_	_
14	derfat	derfat	F	FM	_	13	app	_	_
15	!	!	$	$.	_	0	root	_	_

1	Ha	ha	I	ITJ	_	0	root	_	_
2	...	...	$	$.	_	0	root	_	_
3	ha	ha	F	FM	_	0	root	_	_
4	...	...	$	$.	_	0	root	_	_
5	ha	ha	F	FM	_	0	root	_	_
6	...	...	$	$.	_	0	root	_	_
7	!	!	$	$.	_	0	root	_	_
8	«	«	$	$(	_	0	root	_	_

1	Wimmer	Wimmer	N	NE	_|Nom|Sg	2	subj	162	162
2	lachte	lachen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	sehr	sehr	A	ADV	_	4	adv	_	_
4	herzlich	herzlich	A	ADJD	Pos|	2	adv	_	_
5	über	über	P	APPR	Acc	2	pp	_	_
6	seine	seine	A	PPOSAT	Fem|Acc|Sg	8	det	162	162
7	glückliche	glücklich	A	ADJA	Pos|Fem|Acc|Sg|_|	8	attr	_	_
8	Wendung	Wendung	N	NN	Fem|Acc|Sg	5	pn	_	_
9	und	und	K	KON	_	2	kon	_	_
10	legte	legen	V	VVFIN	_|Sg|Past|_	9	cj	_	_
11	seine	seine	A	PPOSAT	Fem|_|Sg	12	det	162	162
12	Hand	Hand	N	NN	Fem|_|Sg	10	obja	191	191
13	liebreich	liebreich	A	ADJD	Pos|	10	adv	_	_
14	auf	auf	P	APPR	Acc	10	objp	_	_
15	die	die	A	ART	Def|_|Acc|_	16	det	_	_
16	Schulter	Schulter	N	NN	_|Acc|_	14	pn	_	_
17	des	die	A	ART	Def|Masc|Gen|Sg	21	det	_	_
18	immer	immer	A	ADV	_	20	adv	_	_
19	säuerlicher	säuerlich	A	ADJD	Comp|	20	adv	_	_
20	blickenden	blickend	A	ADJA	Pos|Masc|Gen|Sg|_|<PPRES	21	attr	_	_
21	Freundes	Freund	N	NN	Masc|Gen|Sg	16	gmod	_	_
22	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ja	ja	P	PTKANT	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	so	so	A	ADV	_	5	adv	_	_
5	geht	gehen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
6	'	'	$	$(	_	0	root	_	_
7	s	s	P	PPER	_|_|_|Nom	5	subj	0	0
8	!	!	$	$.	_	0	root	_	_
9	«	«	$	$(	_	0	root	_	_
10	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
11	er	er	P	PPER	3|Sg|Masc|Nom	10	subj	0	0
12	,	,	$	$,	_	0	root	_	_
13	»	»	$	$(	_	0	root	_	_
14	der	die	A	ART	Def|Masc|Nom|Sg	15	det	_	_
15	oa	oa	N	NN	Masc|Nom|Sg	16	subj	_	_
16	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
17	'	'	$	$(	_	0	root	_	_
18	s	s	P	PPER	_	16	obja	162	162
19	,	,	$	$,	_	0	root	_	_
20	und	und	K	KON	_	16	kon	_	_
21	der	die	A	ART	Def|Masc|Nom|Sg	22	det	_	_
22	ander	ander	N	NN	Masc|Nom|Sg	23	subj	_	_
23	hat	haben	V	VAFIN	3|Sg|Pres|Ind	20	cj	_	_
24	'	'	$	$(	_	0	root	_	_
25	s	s	P	PPER	_	23	obja	162	162
26	net	net	A	ADV	_	23	adv	_	_
27	.	.	$	$.	_	0	root	_	_

1	Übrigens	übrigens	A	ADV	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	daß	daß	K	KOUS	_	0	root	_	_
4	i	i	F	FM	Masc|_|Sg	0	root	_	_
5	net	net	F	FM	Masc|_|Sg	4	app	_	_
6	vagiß	vagiß	F	FM	Masc|_|Sg	5	app	_	_
7	,	,	$	$,	_	0	root	_	_
8	gel	gel	A	ADJD	Pos|	20	adv	_	_
9	,	,	$	$,	_	0	root	_	_
10	mit	mit	P	APPR	Dat	19	pp	_	_
11	der	die	A	ART	Def|_|_|_	12	det	_	_
12	Hellerwies	Hellerwie	N	NN	Fem|Dat|Sg	10	pn	_	_
13	'	'	$	$(	_	0	root	_	_
14	n	n	F	FM	Fem|Dat|Sg	12	app	_	_
15	hab	hab	F	FM	Fem|Dat|Sg	14	app	_	_
16	i	i	F	FM	Fem|Dat|Sg	15	app	_	_
17	dir	dir	F	FM	Fem|Dat|Sg	16	app	_	_
18	koan	koan	F	FM	Fem|Dat|Sg	17	app	_	_
19	schlechten	schlecht	A	ADJA	Pos|_|_|_|_|	8	kon	_	_
20	Rat	Rat	N	NN	Masc|_|Sg	6	app	_	_
21	net	net	F	FM	Masc|_|Sg	20	app	_	_
22	geb	geb	F	FM	Masc|_|Sg	21	app	_	_
23	'	'	$	$(	_	0	root	_	_
24	n	n	N	NN	Masc|_|Sg	22	app	_	_
25	?	?	$	$.	_	0	root	_	_
26	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Wann	Wann	P	PWAV	_	3	adv	_	_
3	hast	haben	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
4	du	du	P	PPER	2|Sg|_|Nom	3	subj	_	_
5	mir	ich	P	PPER	1|Sg|_|Dat	3	objd	0	0
6	an	an	P	APPR	_	3	pp	_	_
7	Rat	Rat	N	NN	Masc|_|Sg	6	pn	1145	1145
8	geb	geb	F	FM	Masc|_|Sg	7	app	1145	1145
9	'	'	$	$(	_	0	root	1145	1145
10	n	n	N	NN	Masc|_|Sg	8	app	1145	1145
11	?	?	$	$.	_	0	root	_	_
12	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Geh	Geh	N	NE	_	0	root	163	163
3	!	!	$	$.	_	0	root	_	_

1	Simmerl	Simmerl	N	NE	_	0	root	164	164
2	!	!	$	$.	_	0	root	_	_
3	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	I	I	F	FM	_|Nom|Sg	6	subj	_	_
3	siech	siech	F	FM	_|Nom|Sg	2	app	_	_
4	di	di	F	FM	_|Nom|Sg	3	app	_	_
5	do	do	F	FM	_|Nom|Sg	4	app	_	_
6	heut	heuen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
7	'	'	$	$(	_	0	root	_	_
8	s	s	P	PPER	_	6	obja	164	164
9	erstmal	erstmal	A	ADV	_	6	adv	_	_
10	seit	seit	P	APPR	Dat	0	root	_	_
11	dreißig	dreißig	C	CARD	_	10	pn	_	_
12	Jahr	Jahr	N	NN	Neut|_|Sg	0	root	174	174
13	und	und	K	KON	_	0	root	_	_
14	...	...	$	$.	_	0	root	_	_
15	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Geh	Geh	N	NE	_	0	root	163	163
3	!	!	$	$.	_	0	root	_	_

1	Schneid	Schneid	N	NN	Neut|_|_	0	root	_	_
2	O	O	N	NN	Neut|_|_	1	app	_	_
3	,	,	$	$,	_	0	root	_	_
4	alta	alta	N	NE	_|_|Sg	2	app	_	_
5	Fuchs	Fuchs	N	NE	_|_|Sg	4	app	_	_
6	!	!	$	$.	_	0	root	_	_
7	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Is	Is	N	NE	_	0	root	1625	1625
3	net	net	A	ADV	_	2	adv	1625	1625
4	wahr	wahr	A	ADJD	Pos|	0	root	_	_
5	?	?	$	$.	_	0	root	_	_

1	Wann	Wann	P	PWAV	_	2	adv	_	_
2	hamm	hamm	V	VVFIN	_	0	root	_	_
3	mir	ich	P	PPER	1|Sg|_|Dat	2	objd	0	0
4	ins	in	P	APPRART	Acc	2	pp	_	_
5	amal	amal	A	ADJA	_	6	attr	_	_
6	g	g	N	NN	_|Acc|_	4	pn	_	_
7	'	'	$	$(	_	0	root	_	_
8	sehg	sehg	F	FM	_|Acc|_	6	app	_	_
9	'	'	$	$(	_	0	root	_	_
10	n	n	N	NN	_	2	obja	28	28
11	?	?	$	$.	_	0	root	_	_
