1	Oh	oh	I	ITJ	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	Dieterice	Dieterice	N	NE	Fem|Nom|Sg	11	subj	_	_
4	,	,	$	$,	_	0	root	_	_
5	Dieterice	Dieterice	N	NE	Fem|Nom|Sg	3	app	_	_
6	,	,	$	$,	_	0	root	_	_
7	und	und	K	KON	_	3	kon	_	_
8	die	die	A	ART	Def|Fem|Nom|Sg	9	det	_	_
9	Frau	Frau	N	NN	Fem|Nom|Sg	7	cj	_	_
10	Amtmannin	Amtmannin	N	NN	Fem|Nom|Sg	9	app	_	_
11	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
12	weder	weder	K	KON	_	0	root	_	_
13	um	um	P	APPR	Acc	0	root	_	_
14	meinet-	meinet-	T	TRUNC	_	23	adv	_	_
15	noch	noch	K	KON	_	14	kon	_	_
16	um	um	P	APPR	_	15	cj	_	_
17	Seinetwegen	Seinetwegen	N	NN	_|_|_	16	pn	_	_
18	zu	zu	P	APPR	Dat	17	pp	_	_
19	so	so	A	ADV	_	20	adv	_	_
20	nachtschlafender	nachtschlafend	A	ADJA	Pos|Fem|Dat|Sg|St|<PPRES	21	attr	_	_
21	Stunde	Stunde	N	NN	Fem|Dat|Sg	18	pn	_	_
22	den	die	A	ART	Def|Masc|Acc|Sg	23	det	_	_
23	Schlüssel	Schlüssel	N	NN	Masc|Acc|Sg	13	pn	_	_
24	zum	zu	P	APPRART	Dat	23	pp	_	_
25	Küchenschrank	Küchenschrank	N	NN	Masc|Dat|Sg	24	pn	_	_
26	unter	unter	P	APPR	Dat	25	pp	_	_
27	dem	die	A	ART	Def|Neut|Dat|Sg	28	det	_	_
28	Kopfkissen	Kopfkissen	N	NN	Neut|Dat|Sg	26	pn	_	_
29	vorlangen	vorlangen	V	VVINF	_	0	root	_	_
30	.	.	$	$.	_	0	root	_	_
31	«	«	$	$(	_	0	root	_	_

1	Musjeh	Musjeh	N	NE	_|Nom|Sg	3	subj	621	621
2	Thedel	Thedel	N	NE	_|Nom|Sg	1	app	621	621
3	stieß	stoßen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	zwischen	zwischen	P	APPR	Dat	3	pp	_	_
5	seinem	seine	A	PPOSAT	Neut|Dat|Sg	6	det	621	621
6	Kauen	Kaue	N	NN	Neut|Dat|Sg	4	pn	_	_
7	,	,	$	$,	_	0	root	_	_
8	Schlingen	Schlinge	N	NN	_|Dat|_	6	kon	_	_
9	und	und	K	KON	_	8	kon	_	_
10	Schlucken	Schluck	N	NN	_|Dat|_	9	cj	_	_
11	einen	eine	A	ART	Indef|Masc|Acc|Sg	12	det	774	774
12	Laut	Laut	N	NN	Masc|Acc|Sg	3	obja	774	774
13	aus	aus	P	PTKVZ	_	3	avz	774	774
14	,	,	$	$,	_	0	root	774	774
15	der	die	P	PRELS	Masc|Nom|Sg	25	subj	774	774
16	seine	seine	A	PPOSAT	Neut|_|_	17	det	774	774
17	Gefühle	Gefühl	N	NN	Neut|_|_	25	obja	_	_
18	in	in	P	APPR	_	25	pp	_	_
19	betreff	betreff	P	PIS	_|_|_	18	pn	_	_
20	der	die	A	ART	Def|Fem|Gen|Sg	21	det	_	_
21	Frau	Frau	N	NN	Fem|Gen|Sg	19	gmod	_	_
22	Klosteramtmannin	Klosteramtmannin	N	NN	Fem|Gen|Sg	21	app	_	_
23	vollkommen	vollkommen	A	ADJD	Pos|	24	adv	_	_
24	deutlich	deutlich	A	ADJD	Pos|	25	adv	_	_
25	ausdrückte	ausdrücken	V	VVFIN	3|Sg|Past|_	12	rel	_	_
26	.	.	$	$.	_	0	root	_	_

1	Als	Als	K	KOUS	_	8	konj	_	_
2	er	er	P	PPER	3|Sg|Masc|Nom	8	subj	774	774
3	den	die	A	ART	Def|Masc|Acc|Sg	6	det	_	_
4	ersten	erst	A	ADJA	_|Masc|Acc|Sg|_|	6	attr	_	_
5	freien	frei	A	ADJA	Pos|Masc|Acc|Sg|_|	6	attr	_	_
6	Atem	Atem	N	NN	Masc|Acc|Sg	7	obja	_	_
7	wiedergewonnen	wiedergewinnen	V	VVPP	_	8	aux	_	_
8	hatte	haben	V	VAFIN	3|Sg|Past|Ind	10	neb	_	_
9	,	,	$	$,	_	0	root	_	_
10	seufzte	seufzen	V	VVFIN	3|Sg|Past|_	0	root	_	_
11	er	er	P	PPER	3|Sg|Masc|Nom	10	subj	774	774
12	mit	mit	P	APPR	Dat	10	pp	_	_
13	der	die	A	ART	Def|Fem|Dat|Sg	14	det	_	_
14	Befriedigung	Befriedigung	N	NN	Fem|Dat|Sg	12	pn	_	_
15	des	die	A	ART	Def|_|Gen|Sg	23	det	_	_
16	fürs	für	P	APPRART	Acc	23	pp	_	_
17	erste	erst	A	ADJA	_|_|Acc|_|_|	16	pn	_	_
18	wenigstens	wenigstens	A	ADV	_	16	adv	_	_
