1	Sie	sie	P	PPER	3|_|_|_	0	root	667	667
2	legten	legen	V	VVFIN	3|Pl|Past|_	0	root	_	_
3	jetzo	jetzo	N	NE	_|Nom|Pl	2	subj	345	345
4	auch	auch	A	ADV	_	2	adv	_	_
5	die	die	A	ART	Def|Fem|_|Sg	7	det	_	_
6	erste	erst	A	ADJA	_|Fem|_|Sg|_|	7	attr	_	_
7	Brandfackel	Brandfackel	N	NN	Fem|_|Sg	2	obja	_	_
8	an	an	P	PTKVZ	_	2	avz	_	_
9	,	,	$	$,	_	0	root	_	_
10	und	und	K	KON	_	0	root	_	_
11	in	in	P	APPR	Dat	10	cj	_	_
12	dem	die	A	ART	Def|_|Dat|Sg	13	det	668	668
13	Moment	Moment	N	NN	_|Dat|Sg	11	pn	668	668
14	,	,	$	$,	_	0	root	_	_
15	als	als	K	KOUS	_	27	konj	_	_
16	der	die	A	ART	Def|Masc|Nom|Sg	18	det	_	_
17	letzte	letzte	A	ADJA	Pos|Masc|Nom|Sg|Wk|	18	attr	_	_
18	Mann	Mann	N	NN	Masc|Nom|Sg	27	subj	_	_
19	vom	von	P	APPRART	Dat	18	pp	_	_
20	Zuzug	Zuzug	N	NN	Masc|Dat|Sg	19	pn	_	_
21	des	die	A	ART	Def|Masc|Gen|Sg	22	det	19	19
22	Stiftes	Stift	N	NN	Masc|Gen|Sg	20	gmod	19	19
23	Corvey	Corvey	N	NE	Masc|Gen|Sg	22	app	19	19
24	in	in	P	APPR	Acc	27	objp	_	_
25	das	die	A	ART	Def|Neut|Acc|Sg	26	det	669	669
26	Corveytor	Corveytor	N	NN	Neut|Acc|Sg	24	pn	669	669
27	zog	ziehen	V	VVFIN	3|Sg|Past|Ind	29	neb	_	_
28	,	,	$	$,	_	0	root	_	_
29	schlug	schlagen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
30	die	die	A	ART	Def|Fem|Nom|Sg	31	det	_	_
31	Flamme	Flamme	N	NN	Fem|Nom|Sg	29	subj	_	_
32	aus	aus	P	APPR	Dat	29	pp	_	_
33	den	die	A	ART	Def|Neut|Dat|Pl	34	det	635	635
34	Fenstern	Fenster	N	NN	Neut|Dat|Pl	32	pn	635	635
35	,	,	$	$,	_	0	root	_	_
36	sprang	springen	V	VVFIN	3|Sg|Past|Ind	29	s	_	_
37	der	die	A	ART	Def|Masc|Nom|Sg	39	det	_	_
38	rote	rot	A	ADJA	Pos|Masc|Nom|Sg|Wk|	39	attr	_	_
39	Hahn	Hahn	N	NN	Masc|Nom|Sg	36	subj	_	_
40	aufs	auf	P	APPRART	Acc	36	pp	_	_
41	Dach	Dach	N	NN	Neut|Acc|Sg	40	pn	_	_
42	,	,	$	$,	_	0	root	_	_
43	reckte	recken	V	VVFIN	_|Sg|Past|_	36	kon	_	_
44	sich	sie	P	PRF	3|_|_	43	obja	_	_
45	,	,	$	$,	_	0	root	_	_
46	schlug	schlagen	V	VVFIN	_|Sg|Past|Ind	43	kon	_	_
47	mit	mit	P	APPR	Dat	46	pp	_	_
48	den	die	A	ART	Def|Masc|Dat|Pl	49	det	_	_
49	Flügeln	Flügel	N	NN	Masc|Dat|Pl	47	pn	_	_
50	und	und	K	KON	_	0	root	_	_
51	krähete	krähete	T	TRUNC	_	0	root	_	_
52	wild	wild	A	ADJD	Pos|	0	root	_	_
53	hinaus	hinaus	P	PTKVZ	_	0	root	_	_
54	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Feuer	Feuer	N	NN	Neut|_|_	0	root	121	121
3	!	!	$	$.	_	0	root	_	_

1	Feuerio	Feuerio	N	NE	_	0	root	_	_
2	!	!	$	$.	_	0	root	_	_
3	«	«	$	$(	_	0	root	_	_

1	Jetzt	jetzt	A	ADV	_	2	adv	_	_
2	sah	sehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	der	die	A	ART	Def|Masc|Nom|Sg	4	det	374	374
4	Vater	Vater	N	NN	Masc|Nom|Sg	2	subj	374	374
5	Adelhardus	Adelhardus	N	NE	Masc|Nom|Sg	4	app	374	374
6	am	an	P	APPRART	Dat	2	pp	_	_
7	hohen	hoch	A	ADJA	Pos|Neut|Dat|Sg|Wk|	8	attr	671	671
8	Bogenfenster	Bogenfenster	N	NN	Neut|Dat|Sg	6	pn	671	671
9	im	in	P	APPRART	Dat	2	pp	_	_
10	Korridor	Korridor	N	NN	Masc|Dat|Sg	9	pn	_	_
11	der	die	A	ART	Def|Fem|Gen|Sg	12	det	27	27
12	Abtei	Abtei	N	NN	Fem|Gen|Sg	10	gmod	27	27
13	den	die	A	ART	Def|Masc|Acc|Sg	14	det	466	466
14	Himmel	Himmel	N	NN	Masc|Acc|Sg	2	obja	466	466
15	rot	rot	A	ADJD	Pos|	2	adv	_	_
16	werden	werden	V	VAFIN	_|Pl|Pres|_	0	root	_	_
17	über	über	P	APPR	_	16	pp	_	_
18	Höxter	Höxter	N	NE	Neut|_|Sg	17	pn	10	10
19	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	O	O	N	NN	Neut|_|_	0	root	384	384
3	die	die	A	ART	Def|_|_|_	4	det	_	_
4	Incendiarii	Incendiarii	N	NN	_|_|_	0	root	_	_
5	!	!	$	$.	_	0	root	_	_

1	o	o	A	ADJD	_	4	adv	692	692
2	der	die	A	ART	Def|Masc|Gen|Pl	4	det	692	692
3	ruchlosen	ruchlos	A	ADJA	Pos|Masc|Gen|Pl|Wk|	4	attr	692	692
4	Mordbrenner	Mordbrenner	N	NN	Masc|Gen|Pl	0	root	692	692
5	!	!	$	$.	_	0	root	_	_
6	«	«	$	$(	_	0	root	_	_
7	sprach	sprechen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
8	er	er	P	PPER	3|Sg|Masc|Nom	7	subj	7	7
9	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Haben	haben	V	VAFIN	3|Pl|Pres|_	0	root	_	_
3	die	die	A	ART	Def|Masc|Nom|Pl	4	det	_	_
4	Bärenhäuter	Bärenhäuter	N	NN	Masc|Nom|Pl	2	subj	_	_
5	der	die	A	ART	Def|Neut|Gen|Pl	6	det	670	670
6	Dächer	Dach	N	NN	Neut|Gen|Pl	4	gmod	670	670
7	noch	noch	A	ADV	_	2	adv	_	_
8	zu	zu	P	PTKA	_	9	adv	_	_
9	viel	viel	P	PIS	_	2	obja	_	_
10	über	über	P	APPR	Dat	2	pp	_	_
11	den	die	A	ART	Def|Masc|Dat|Pl	13	det	_	_
12	gottverlassenen	gottverlassen	A	ADJA	Pos|Masc|Dat|Pl|_|	13	attr	_	_
13	Köpfen	Kopf	N	NN	Masc|Dat|Pl	10	pn	_	_
14	?	?	$	$.	_	0	root	_	_

1	Nun	nun	A	ADV	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	4	subj	113	113
4	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	_
5	den	die	A	ART	Def|Masc|Acc|Sg	7	det	49	49
6	guten	gut	A	ADJA	Pos|Masc|Acc|Sg|_|	7	attr	49	49
7	Heinrich	Heinrich	N	NE	Masc|Acc|Sg	8	obja	49	49
8	gewarnt	warnen	V	VVPP	_	4	aux	_	_
9	,	,	$	$,	_	0	root	_	_
10	daß	daß	K	KOUS	_	16	konj	_	_
11	er	er	P	PPER	3|Sg|Masc|Nom	16	subj	49	49
12	sich	sie	P	PRF	3|_|Dat	16	objd	_	_
13	nicht	nicht	P	PTKNEG	_	16	adv	_	_
14	die	die	A	ART	Def|Masc|_|Pl	15	det	809	809
15	Finger	Finger	N	NN	Masc|_|Pl	16	obja	809	809
16	verbrenne	verbrennen	V	VVFIN	3|Sg|Pres|Subj	8	objc	_	_
17	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	402	402
2	Herr	Herr	N	NN	Masc|Nom|Sg	7	subj	402	402
3	Prior	Prior	N	NE	_|Nom|Pl	2	app	402	402
4	und	und	K	KON	_	3	kon	_	_
5	die	die	A	ART	Def|_|_|_	6	det	_	_
6	übrigen	übrig	A	ADJA	_|_|Pl	4	cj	_	_
7	werden	werden	V	VAFIN	_|Pl|Pres|_	0	root	_	_
8	sich	sie	P	PRF	3|_|_	14	obja	_	_
9	wohl	wohl	A	ADV	_	14	adv	_	_
10	schon	schon	A	ADV	_	14	adv	_	_
11	selber	selber	A	ADV	_	13	adv	_	_
12	zu	zu	P	PTKZU	_	13	part	_	_
13	hüten	hüten	V	VVINF	_	14	obji	_	_
14	wissen	wissen	V	VVINF	_	7	aux	_	_
15	und	und	K	KON	_	14	kon	_	_
16	nicht	nicht	P	PTKNEG	_	19	adv	_	_
17	zu	zu	P	PTKA	_	18	adv	_	_
18	nahe	nahe	A	ADJD	_	19	adv	_	_
19	drangehen	drangehen	V	VVINF	_	15	cj	_	_
20	.	.	$	$.	_	0	root	_	_
21	«	«	$	$(	_	0	root	_	_

1	Darauf	Darauf	P	PROAV	_	2	pp	_	_
2	ließ	lassen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	2	subj	7	7
4	sich	sie	P	PRF	3|_|Dat	15	objd	_	_
5	von	von	P	APPR	Dat	15	pp	_	_
6	einem	eine	A	ART	Indef|Masc|Dat|Sg	7	det	_	_
7	Laienbruder	Laienbruder	N	NN	Masc|Dat|Sg	5	pn	_	_
8	einen	eine	A	ART	Indef|Masc|Acc|Sg	9	det	_	_
9	Sessel	Sessel	N	NN	Masc|Acc|Sg	15	obja	_	_
10	und	und	K	KON	_	9	kon	_	_
11	Fußschemel	Fußschemel	N	NN	Masc|Acc|_	10	cj	_	_
12	an	an	P	APPR	Acc	15	pp	_	_
13	das	die	A	ART	Def|Neut|Acc|Sg	14	det	671	671
14	Bogenfenster	Bogenfenster	N	NN	Neut|Acc|Sg	12	pn	671	671
15	rücken	rücken	V	VVINF	_	2	obji	_	_
16	,	,	$	$,	_	0	root	_	_
17	schickte	schicken	V	VVFIN	_|Sg|Past|_	2	kon	_	_
18	einen	eine	A	ART	Indef|Masc|Acc|Sg	20	det	_	_
19	zweiten	zweit	A	ADJA	_|Masc|Acc|Sg|_|	20	attr	_	_
20	Laienbruder	Laienbruder	N	NN	Masc|Acc|Sg	17	obja	_	_
21	in	in	P	APPR	Acc	17	pp	_	_
22	den	die	A	ART	Def|Masc|Acc|Sg	23	det	986	986
23	Keller	Keller	N	NN	Masc|Acc|Sg	21	pn	986	986
24	nach	nach	P	APPR	Dat	17	pp	_	_
25	einer	eine	A	ART	Indef|Fem|Dat|Sg	26	det	_	_
26	Flasche	Flasche	N	NN	Fem|Dat|Sg	24	pn	_	_
27	vom	von	P	APPRART	Dat	26	pp	_	_
28	Besseren	Bessere	N	NN	_|Dat|_	27	pn	_	_
29	,	,	$	$,	_	0	root	_	_
30	»	»	$	$(	_	0	root	_	_
31	gegen	gegen	P	APPR	Acc	28	pp	_	_
32	den	die	A	ART	Def|Masc|Acc|Sg	33	det	_	_
33	Zorn	Zorn	N	NN	Masc|Acc|Sg	31	pn	_	_
34	«	«	$	$(	_	0	root	_	_
35	,	,	$	$,	_	0	root	_	_
36	und	und	K	KON	_	17	kon	_	_
37	stellte	stellen	V	VVFIN	3|Sg|Past|_	36	cj	_	_
38	diese	diese	A	PDAT	Fem|Nom|Sg	39	det	_	_
39	Flasche	Flasche	N	NN	Fem|Nom|Sg	37	subj	_	_
40	mit	mit	P	APPR	Dat	37	pp	_	_
41	dem	die	A	ART	Def|Neut|Dat|Sg	42	det	_	_
42	Glase	Glas	N	NN	Neut|Dat|Sg	40	pn	_	_
43	handgerecht	handgerecht	A	ADJD	Pos|	37	adv	_	_
44	in	in	P	APPR	Acc	37	objp	_	_
45	die	die	A	ART	Def|Fem|Acc|Sg	46	det	_	_
46	Fensterbank	Fensterbank	N	NN	Fem|Acc|Sg	44	pn	_	_
47	.	.	$	$.	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	saß	sitzen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	2	subj	402	402
4	denn	denn	A	ADV	_	2	adv	_	_
5	,	,	$	$,	_	0	root	_	_
6	faltete	falten	V	VVFIN	_|Sg|Past|_	2	kon	_	_
7	die	die	A	ART	Def|Fem|_|Pl	8	det	104	104
8	Hände	Hand	N	NN	Fem|_|Pl	6	obja	104	104
9	über	über	P	APPR	Dat	6	pp	_	_
10	dem	die	A	ART	Def|Neut|Dat|Sg	11	det	_	_
11	Bäuchlein	Bäuchlein	N	NN	Neut|Dat|Sg	9	pn	_	_
12	und	und	K	KON	_	6	kon	_	_
13	hörte	hören	V	VVFIN	_|Sg|Past|_	12	cj	_	_
14	durchaus	durchaus	A	ADV	_	13	adv	_	_
15	nicht	nicht	P	PTKNEG	_	13	adv	_	_
16	,	,	$	$,	_	0	root	_	_
17	wie	wie	P	PWAV	_	33	adv	_	_
18	die	die	A	ART	Def|Masc|Nom|Pl	19	det	_	_
19	Herren	Herr	N	NN	Masc|Nom|Pl	33	subj	_	_
20	Patres	Pater	N	NN	Masc|Nom|Pl	19	app	_	_
21	ihn	er	P	PPER	3|Sg|Masc|Acc	33	obja	402	402
22	hinter	hinter	P	APPR	Dat	33	pp	_	_
23	seinem	seine	A	PPOSAT	_|Dat|Sg	24	det	402	402
24	Rücken	Rücken	N	NN	_|Dat|Sg	22	pn	793	793
25	mit	mit	P	APPR	Dat	33	objp	_	_
26	dem	die	A	ART	Def|Masc|Dat|Sg	28	det	_	_
27	grausamen	grausam	A	ADJA	Pos|Masc|Dat|Sg|Wk|	28	attr	_	_
28	Kaiser	Kaiser	N	NN	Masc|Dat|Sg	25	pn	_	_
29	Nero	Nero	N	NE	Masc|Dat|Sg	28	app	_	_
30	beim	bei	P	APPRART	Dat	28	pp	_	_
31	Brande	Brand	N	NN	Masc|Dat|Sg	30	pn	_	_
32	Roms	Rom	N	NE	Neut|Gen|Sg	31	gmod	_	_
33	verglichen	vergleichen	V	VVFIN	3|Pl|Past|_	13	objc	_	_
34	.	.	$	$.	_	0	root	_	_

1	In	in	P	APPR	Dat	15	pp	_	_
2	der	die	A	ART	Def|Fem|Dat|Sg	4	det	_	_
3	Stummerigen	stummerig	A	ADJA	Pos|Fem|Dat|Sg|Wk|	4	attr	_	_
4	Gasse	Gasse	N	NN	Fem|Dat|Sg	1	pn	_	_
5	aber	aber	A	ADV	_	4	adv	_	_
6	vor	vor	P	APPR	Dat	4	pp	_	_
7	dem	die	A	ART	Def|Neut|Dat|Sg	11	det	_	_
8	nun	nun	A	ADV	_	10	adv	_	_
9	lichterloh	lichterloh	A	ADJD	Pos|	10	adv	_	_
