1	Halt	Halt	N	NN	Masc|_|Sg	0	root	871	871
2	'	'	$	$(	_	0	root	_	_
3	s	s	P	PPER	_	0	root	404	404
4	Maul	Maul	N	NN	Neut|Nom|Sg	8	subj	417	417
5	,	,	$	$,	_	0	root	417	417
6	Burchhard	Burchhard	N	NN	Neut|Nom|Sg	4	app	417	417
7	,	,	$	$,	_	0	root	_	_
8	weiß	wissen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	was	was	P	PRELS	Neut|_|Sg	12	obja	417	417
11	du	du	P	PPER	2|Sg|_|Nom	13	subj	418	418
12	sagen	sagen	V	VVINF	_	13	aux	_	_
13	willst	wollen	V	VMFIN	2|Sg|Pres|Ind	8	objc	_	_
14	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Ich	ich	P	PPER	1|Sg|_|Nom	3	subj	419	419
3	war	sein	V	VAFIN	1|Sg|Past|Ind	0	root	_	_
4	damals	damals	A	ADV	_	7	adv	_	_
5	ein	eine	A	ART	Indef|Masc|Nom|Sg	7	det	_	_
6	schmucker	schmuck	A	ADJA	Pos|Masc|Nom|Sg|St|	7	attr	_	_
7	Bursch	Bursch	N	NN	Masc|Nom|Sg	3	pred	_	_
8	,	,	$	$,	_	0	root	_	_
9	wußte	wußte	V	VVFIN	_	3	kon	_	_
10	trefflich	trefflich	A	ADJD	Pos|	9	adv	_	_
11	mit	mit	P	APPR	Dat	14	objp	_	_
12	der	die	A	ART	Def|Fem|Dat|Sg	13	det	_	_
13	Büchse	Büchse	N	NN	Fem|Dat|Sg	11	pn	_	_
14	umzugehen	umgehen	V	VVIZU	_	9	obji	_	_
15	,	,	$	$,	_	0	root	_	_
16	und	und	K	KON	_	9	kon	_	_
17	war	sein	V	VAFIN	3|Sg|Past|Ind	16	cj	_	_
18	Andreas	Andrea	N	NE	_|Nom|Sg	17	subj	106	106
19	Ralff	Ralff	N	NE	_|Nom|Sg	18	app	106	106
20	bekannt	bekannt	A	ADJD	Pos|	17	adv	_	_
21	als	als	K	KOKOM	_	17	kom	_	_
22	Meisterschütze	Meisterschütz	N	NN	_|_|_	21	cj	_	_
23	auf	auf	P	APPR	_	17	pp	_	_
24	Kirchweihen	Kirchweih	N	NN	Fem|_|Pl	23	pn	_	_
25	und	und	K	KON	_	24	kon	_	_
