1	Natalie	Natalie	N	NE	Fem|Nom|Sg	2	subj	50	50
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	wohl	wohl	A	ADV	_	2	adv	_	_
4	und	und	K	KON	_	3	kon	_	_
5	auch	auch	A	ADV	_	4	cj	_	_
6	in	in	P	APPR	_	2	pp	_	_
7	Angst	Angst	N	NN	Fem|_|Sg	6	pn	1194	1194
8	und	und	K	KON	_	7	kon	_	_
9	Sorge	Sorge	N	NN	Fem|_|Sg	8	cj	_	_
10	um	um	P	APPR	Acc	9	pp	_	_
11	dich	du	P	PPER	2|Sg|_|Acc	10	pn	785	785
12	!	!	$	$.	_	0	root	_	_

1	Nicht	nicht	P	PTKNEG	_	2	adv	_	_
2	wahr	wahr	A	ADJD	Pos|	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	weiter	weiter	A	ADV	_	5	adv	_	_
5	wolltest	wollen	V	VMFIN	2|Sg|Past|_	0	root	_	_
6	du	du	P	PPER	2|Sg|_|Nom	5	subj	785	785
7	doch	doch	A	ADV	_	9	adv	_	_
8	nichts	nichts	P	PIS	_	9	obja	_	_
9	wissen	wissen	V	VVINF	_	5	aux	_	_
10	?	?	$	$.	_	0	root	_	_

1	O	O	N	NN	Neut|_|_	0	root	69	69
2	-	-	$	$(	_	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	4	subj	786	786
4	würde	werden	V	VAFIN	1|Sg|Past|Subj	0	root	_	_
5	dir	du	P	PPER	2|Sg|_|Dat	10	objd	785	785
6	die	die	A	ART	Def|Fem|_|Sg	7	det	696	696
7	Nachricht	Nachricht	N	NN	Fem|_|Sg	10	obja	696	696
8	auch	auch	A	ADV	_	10	adv	_	_
9	nicht	nicht	P	PTKNEG	_	10	adv	_	_
10	vorenthalten	vorenthalten	V	VVPP	_	11	aux	_	_
11	haben	haben	V	VAINF	_	4	aux	_	_
12	;	;	$	$.	_	0	root	_	_
13	jetzt	jetzt	A	ADV	_	14	adv	_	_
