1	Na	Na	I	ITJ	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	was	was	P	PWS	Neut|_|Sg	4	obja	_	_
4	meinst	meinen	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
5	du	du	P	PPER	2|Sg|_|Nom	4	subj	476	476
6	,	,	$	$,	_	0	root	_	_
7	Eduard	Eduard	N	NE	Masc|Nom|Sg	5	app	_	_
8	?	?	$	$.	_	0	root	_	_

1	Über	über	P	APPR	Acc	3	pp	_	_
2	mich	ich	P	PPER	1|Sg|_|Acc	1	pn	478	478
3	hast	haben	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
4	du	du	P	PPER	2|Sg|_|Nom	3	subj	476	476
5	deine	deine	A	PPOSAT	Fem|_|Sg	6	det	476	476
6	Meinung	Meinung	N	NN	Fem|_|Sg	3	obja	479	479
7	,	,	$	$,	_	0	root	_	_
8	dir	du	P	PPER	2|Sg|_|Dat	0	root	476	476
9	unbewußt	unbewußt	A	ADJD	Pos|	14	adv	_	_
10	,	,	$	$,	_	0	root	_	_
11	durch	durch	P	APPR	Acc	14	pp	_	_
12	Blick	Blick	N	NN	Masc|Acc|Sg	11	pn	_	_
13	,	,	$	$,	_	0	root	_	_
14	Mundaufsperren	Mundaufsperren	N	NN	Neut|_|Sg	0	root	_	_
15	,	,	$	$,	_	0	root	_	_
16	Hand-	Hand-	T	TRUNC	Fem|_|Sg	14	kon	_	_
17	und	und	K	KON	_	16	kon	_	_
18	Fußmimik	Fußmimik	N	NN	Fem|_|Sg	17	cj	_	_
19	bereits	bereits	A	ADV	_	18	adv	_	_
20	geäußert	äußern	V	VVPP	_	0	root	_	_
21	.	.	$	$.	_	0	root	_	_

1	Jetzt	jetzt	A	ADV	_	2	adv	_	_
2	sage	sagen	V	VVFIN	3|Sg|Pres|Subj	0	root	_	_
3	es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
4	mir	ich	P	PPER	1|Sg|_|Dat	2	objd	478	478
5	dreist	dreist	A	ADJD	Pos|	2	adv	_	_
6	aufrichtig	aufrichtig	A	ADJD	Pos|	2	adv	_	_
7	,	,	$	$,	_	0	root	_	_
8	wie	wie	P	PWAV	_	13	adv	_	_
9	du	du	P	PPER	2|Sg|_|Nom	13	subj	476	476
10	sie	sie	P	PPER	3|_|_|_	13	obja	479	479
11	im	in	P	APPRART	Dat	13	pp	_	_
12	Fleisch	Fleisch	N	NN	Neut|Dat|Sg	11	pn	1245	1245
13	findest	finden	V	VVFIN	2|Sg|Pres|_	2	objc	_	_
14	?	?	$	$.	_	0	root	_	_
15	«	«	$	$(	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	2	det	_	_
2	Handbewegung	Handbewegung	N	NN	Fem|Nom|Sg	16	subj	_	_
3	,	,	$	$,	_	0	root	_	_
4	der	die	A	ART	Def|Masc|Nom|Sg	5	det	_	_
5	Blick	Blick	N	NN	Masc|Nom|Sg	2	kon	_	_
6	und	und	K	KON	_	5	kon	_	_
7	was	was	P	PWS	Neut|Nom|Sg	6	cj	_	_
8	sonst	sonst	A	ADV	_	7	adv	_	_
9	zu	zu	P	APPR	Dat	16	objp	_	_
10	dieser	diese	A	PDAT	Fem|Dat|Sg	11	det	_	_
11	Vorstellung	Vorstellung	N	NN	Fem|Dat|Sg	9	pn	_	_
12	der	die	A	ART	Def|Fem|Gen|Sg	13	det	198	198
13	Frau	Frau	N	NN	Fem|Gen|Sg	11	gmod	198	198
14	Valentine	Valentine	N	NE	_|_|Sg	13	app	198	198
15	Schaumann	Schaumann	N	NE	_|_|Sg	14	app	198	198
16	gehörte	gehören	V	VVFIN	3|Sg|Past|_	0	root	_	_
17	-	-	$	$(	_	0	root	_	_
