1	Dassel	Dassel	N	NE	_|Nom|Sg	2	subj	315	315
2	brennt	brennen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	wieder	wieder	A	ADV	_	2	adv	_	_
4	einmal	einmal	A	ADV	_	2	adv	_	_
5	!	!	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	457	457
2	ganze	ganz	A	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	457	457
3	Solling	Solling	N	NN	Masc|Nom|Sg	4	subj	457	457
4	steht	stehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
5	in	in	P	APPR	_	4	pp	_	_
6	Feuer	Feuer	N	NN	Neut|_|_	5	pn	784	784
7	.	.	$	$.	_	0	root	_	_

1	Über	über	P	APPR	_	5	pp	_	_
2	Erichsburg	Erichsburg	N	NE	_|_|Sg	1	pn	1907	1907
3	und	und	K	KON	_	2	kon	_	_
4	Lüthorst	Lüthorst	N	NE	_|_|Sg	3	cj	_	_
5	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
6	sie	sie	P	PPER	3|Pl|_|Nom	5	subj	313	313
7	schon	schon	A	ADV	_	5	adv	_	_
8	mit	mit	P	APPR	Dat	5	pp	_	_
9	der	die	A	ART	Def|Fem|Dat|Sg	10	det	_	_
10	Hauptmacht	Hauptmacht	N	NN	Fem|Dat|Sg	8	pn	_	_
11	hinaus	hinaus	P	PTKVZ	_	5	avz	_	_
12	.	.	$	$.	_	0	root	_	_

1	In	in	P	APPR	_	3	pp	_	_
2	Stadtoldendorf	Stadtoldendorf	N	NE	Neut|_|Sg	1	pn	52	52
3	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
4	die	die	A	ART	Def|Masc|Nom|Pl	6	det	_	_
5	weißblauen	weißblau	A	ADJA	Pos|Masc|Nom|Pl|Wk|	6	attr	_	_
6	Dragoner	Dragoner	N	NN	Masc|Nom|Pl	3	subj	_	_
7	wieder	wieder	A	ADV	_	3	adv	_	_
8	,	,	$	$,	_	0	root	_	_
9	und	und	K	KON	_	3	kon	_	_
10	die	die	A	ART	Def|_|Nom|Pl	11	det	317	317
11	Schweizer	Schweizer	N	NN	_|Nom|Pl	12	subj	317	317
12	sind	sein	V	VAFIN	3|Pl|Pres|Ind	9	cj	_	_
13	auf	auf	P	APPR	Dat	12	pp	_	_
14	dem	die	A	ART	Def|Masc|Dat|Sg	15	det	192	192
15	Wege	Weg	N	NN	Masc|Dat|Sg	13	pn	192	192
16	hierher	hierher	P	PTKVZ	_	12	avz	_	_
17	und	und	K	KON	_	12	kon	_	_
18	sind	sein	V	VAFIN	_|Pl|Pres|Ind	17	cj	_	_
19	wieder	wieder	A	ADV	_	18	adv	_	_
20	die	die	A	ART	Def|_|Nom|Pl	21	det	_	_
21	Schlimmsten	Schlimmste	N	NN	_|Nom|Pl	18	pred	_	_
22	,	,	$	$,	_	0	root	_	_
23	wie	wie	K	KOKOM	_	0	root	_	_
24	im	in	P	APPRART	Dat	23	cj	_	_
25	Sommer	Sommer	N	NN	Masc|Dat|Sg	24	pn	316	316
26	!	!	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	sie	sie	P	PPER	3|Pl|_|Nom	3	subj	317	317
3	bringen	bringen	V	VVFIN	3|Pl|Pres|_	1	cj	_	_
4	wie	wie	K	KOKOM	_	3	kom	_	_
5	in	in	P	APPR	Dat	4	cj	_	_
6	der	die	A	ART	Def|Fem|Dat|Sg	7	det	_	_
7	Schwedenzeit	Schwedenzeit	N	NN	Fem|Dat|Sg	5	pn	_	_
8	ganze	ganz	A	ADJA	Pos|_|_|_|_|	9	attr	_	_
9	Wagen	Wage	N	NN	_|_|_	3	obja	_	_
10	voll	voll	A	ADJD	Pos|	11	adv	_	_
11	von	von	P	APPR	Dat	9	pp	_	_
12	den	die	A	ART	Def|Masc|Dat|Pl	14	det	_	_
13	alten	alt	A	ADJA	Pos|Masc|Dat|Pl|_|	14	attr	_	_
14	Mönchen	Mönch	N	NN	Masc|Dat|Pl	11	pn	_	_
15	mit	mit	P	PTKVZ	_	3	avz	_	_
16	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	nicht	nicht	P	PTKNEG	_	3	adv	_	_
3	mal	mal	A	ADV	_	4	adv	_	_
4	verkriechen	verkriechen	V	VVFIN	_|Pl|Pres|_	1	cj	_	_
5	im	in	P	APPRART	Dat	4	pp	_	_
6	Wald	Wald	N	NN	Masc|Dat|Sg	5	pn	86	86
7	und	und	K	KON	_	4	kon	_	_
8	in	in	P	APPR	Dat	11	pp	_	_
9	der	die	A	ART	Def|Fem|Dat|Sg	10	det	318	318
10	Erde	Erde	N	NN	Fem|Dat|Sg	8	pn	318	318
11	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	7	cj	_	_
12	man	man	P	PIS	_|Nom|Sg	11	subj	_	_
13	sich	sie	P	PRF	3|_|_	11	obja	_	_
14	vor	vor	P	APPR	Dat	11	pp	_	_
15	ihnen	sie	P	PPER	3|Pl|_|Dat	14	pn	317	317
16	!	!	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Pl|_|Nom	2	subj	317	317
2	hängen	hängen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
3	jeden	jede	P	PIS	Masc|_|Sg	2	obja	_	_
4	,	,	$	$,	_	0	root	_	_
5	den	die	P	PRELS	Masc|Acc|Sg	10	obja	_	_
6	sie	sie	P	PPER	3|Pl|_|Nom	10	subj	317	317
7	aus	aus	P	APPR	Dat	10	pp	_	_
8	dem	die	A	ART	Def|Masc|Dat|Sg	9	det	1055	1055
9	Busch	Busch	N	NN	Masc|Dat|Sg	7	pn	1055	1055
10	ziehen	zeihen	V	VVFIN	3|Pl|_|_	3	rel	_	_
11	,	,	$	$,	_	0	root	_	_
12	und	und	K	KON	_	10	kon	_	_
13	die	die	A	ART	Def|Neut|Nom|Pl	14	det	_	_
14	Mädchen	Mädchen	N	NN	Neut|Nom|Pl	15	subj	_	_
15	nehmen	nehmen	V	VVFIN	3|Pl|Pres|_	12	cj	_	_
16	sie	sie	P	PPER	3|_|_|Nom	21	subj	317	317
17	,	,	$	$,	_	0	root	_	_
18	über	über	P	APPR	Acc	21	objp	_	_
19	den	die	A	ART	Def|Masc|Acc|Sg	20	det	_	_
20	Sattelknopf	Sattelknopf	N	NN	Masc|Acc|Sg	18	pn	_	_
21	gelegt	legen	V	VVPP	_	15	neb	_	_
22	,	,	$	$,	_	0	root	_	_
23	mit	mit	P	PTKVZ	_	0	root	_	_
24	.	.	$	$.	_	0	root	_	_

1	Barmherziger	barmherzig	A	ADJA	Pos|Masc|Nom|Sg|St|	2	attr	_	_
2	Gott	Gott	N	NN	Masc|Nom|Sg	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	wer	wer	P	PWS	_|Nom|Sg	5	subj	_	_
5	hilft	helfen	V	VVFIN	3|Sg|Pres|Ind	2	objc	_	_
6	uns	wir	P	PPER	1|Pl|_|Dat	5	objd	319	319
7	diesmal	diesmal	A	ADV	_	5	adv	_	_
8	in	in	P	APPR	Dat	5	pp	_	_
9	der	die	A	ART	Def|Fem|Dat|Sg	11	det	_	_
10	allerhöchsten	allerhoch	A	ADJA	Sup|Fem|Dat|Sg|Wk|	11	attr	_	_
