1	Luise	Luise	N	NE	Fem|Nom|Sg	2	subj	542	542
2	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
3	mit	mit	P	APPR	Dat	9	pp	_	_
4	deines	deine	A	PPOSAT	_|Gen|Sg	6	det	1398	1398
5	seligen	selig	A	ADJA	Pos|Masc|Gen|Pl|Wk|	6	attr	_	_
6	Onkels	Onkel	N	NN	Masc|Gen|Pl	3	pn	_	_
7	Hausschlüssel	Hausschlüssel	N	NN	Masc|Gen|Pl	6	app	_	_
8	wach	wach	A	ADJD	Pos|	9	pred	_	_
9	bleiben	bleiben	V	VVINF	_	2	aux	_	_
10	,	,	$	$,	_	0	root	_	_
11	und	und	K	KON	_	2	kon	_	_
12	kommst	kommen	V	VVFIN	2|Sg|Pres|Ind	11	cj	_	_
13	du	du	P	PPER	2|Sg|_|Nom	12	subj	1398	1398
14	heim	heim	P	PTKVZ	_	12	avz	_	_
15	,	,	$	$,	_	0	root	_	_
16	so	so	A	ADV	_	17	adv	_	_
17	gehst	gehen	V	VVFIN	2|Sg|Pres|Ind	12	kon	_	_
18	du	du	P	PPER	2|Sg|_|Nom	17	subj	1398	1398
19	mir	ich	P	PPER	1|Sg|_|Dat	17	objd	1399	1399
20	leise	leise	A	ADJD	Pos|	17	adv	_	_
21	auf	auf	P	APPR	Dat	17	pp	_	_
22	der	die	A	ART	Def|Fem|Dat|Sg	23	det	314	314
23	Treppe	Treppe	N	NN	Fem|Dat|Sg	21	pn	314	314
24	und	und	K	KON	_	21	kon	_	_
25	vor	vor	P	APPR	Dat	24	cj	_	_
26	allen	alle	A	PIDAT	Neut|Dat|Pl	27	det	_	_
27	Dingen	Ding	N	NN	Neut|Dat|Pl	25	pn	_	_
28	vorsichtig	vorsichtig	A	ADJD	Pos|	17	adv	_	_
29	mit	mit	P	APPR	Dat	17	objp	_	_
30	dem	die	A	ART	Def|Neut|Dat|Sg	31	det	75	75
31	Lichte	Licht	N	NN	Neut|Dat|Sg	29	pn	75	75
32	um	um	P	PTKVZ	_	17	avz	_	_
33	.	.	$	$.	_	0	root	_	_

1	Gute	gut	A	ADJA	Pos|Fem|_|Sg|_|	2	attr	_	_
2	Nacht	Nacht	N	NN	Fem|_|Sg	0	root	_	_
3	für	für	P	APPR	Acc	2	pp	_	_
4	diesmal	diesmal	A	ADV	_	10	adv	_	_
5	in	in	P	APPR	Dat	10	pp	_	_
6	dieser	diese	A	PDAT	_|_|_	7	det	_	_
7	närrischen	närrisch	A	ADJA	_|_|_	5	pn	_	_
