1	Isothermen	Isotherme	N	NN	Fem|_|Pl	0	root	124	124
2	!	!	$	$.	_	0	root	_	_

1	Wie	Wie	P	PWAV	_	0	root	_	_
2	diese	diese	A	PDAT	Neut|_|Pl	4	det	233	233
3	gelehrten	gelehrt	A	ADJA	Pos|Neut|_|Pl|Wk|	4	attr	233	233
4	Worte	Wort	N	NN	Neut|_|Pl	0	root	233	233
5	zu	zu	P	APPR	Dat	4	pp	233	233
6	den	die	A	ART	Def|Masc|Dat|Pl	8	det	233	233
7	lieben	lieb	A	ADJA	Pos|Masc|Dat|Pl|_|	8	attr	233	233
8	Namen	Name	N	NN	Masc|Dat|Pl	5	pn	233	233
9	,	,	$	$,	_	0	root	233	233
10	den	die	A	ART	Def|Masc|Dat|Pl	11	det	233	233
11	Heimatsnamen	Heimatsname	N	NN	Masc|Dat|Pl	8	app	233	233
12	von	von	P	APPR	Dat	11	pp	233	233
13	allem	alle	P	PIS	_|Dat|Sg	12	pn	233	233
14	,	,	$	$,	_	0	root	_	_
15	was	was	P	PRELS	Neut|_|Sg	0	root	_	_
16	»	»	$	$(	_	0	root	_	_
17	auf	auf	P	APPR	Dat	0	root	_	_
18	dem	die	A	ART	Def|Neut|Dat|Sg	19	det	782	782
19	Felde	Feld	N	NN	Neut|Dat|Sg	17	pn	782	782
20	«	«	$	$(	_	0	root	_	_
21	(	(	$	$(	_	0	root	_	_
22	»	»	$	$(	_	0	root	_	_
23	Sehet	sehen	V	VVFIN	2|Pl|Pres|Subj	0	root	_	_
24	die	die	A	ART	Def|Fem|_|Pl	25	det	125	125
25	Lilien	Lilie	N	NN	Fem|_|Pl	23	obja	125	125
26	«	«	$	$(	_	0	root	_	_
27	und	und	K	KON	_	0	root	_	_
28	so	so	A	ADV	_	29	adv	_	_
29	weiter	weiter	A	ADV	_	27	cj	_	_
30	)	)	$	$(	_	0	root	_	_
31	wächst	wachsen	V	VVFIN	_|Sg|Pres|Ind	0	root	_	_
32	,	,	$	$,	_	0	root	_	_
33	paßten	paßten	V	VVFIN	_	0	root	_	_
34	,	,	$	$,	_	0	root	_	_
35	so	so	A	ADV	_	36	adv	_	_
36	paßten	paßten	V	VVFIN	3|_|_|_	0	root	_	_
37	sie	sie	P	PPER	3|_|_|Nom	36	subj	125	125
38	auch	auch	A	ADV	_	36	adv	_	_
39	zu	zu	P	APPR	Dat	36	pp	_	_
40	unserer	unsre	A	PPOSAT	Fem|Dat|Sg	42	det	126	126
41	übrigen	übrig	A	ADJA	Pos|Fem|Dat|Sg|Wk|	42	attr	_	_
42	Erdkunde	Erdkunde	N	NN	Fem|Dat|Sg	39	pn	_	_
43	(	(	$	$(	_	0	root	_	_
44	Geographie	Geographie	N	NN	Fem|Dat|Sg	42	app	_	_
45	)	)	$	$(	_	0	root	_	_
46	damals	damals	A	ADV	_	39	adv	_	_
47	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	doch	doch	A	ADV	_	1	cj	_	_
3	,	,	$	$,	_	0	root	_	_
4	was	was	P	PRELS	Neut|_|Sg	0	root	_	_
5	für	für	P	APPR	Acc	14	pp	_	_
6	wundervolle	wundervoll	A	ADJA	Pos|_|Acc|_|_|	7	attr	_	_
7	Geographen	Geographen	N	NN	_|Acc|_	5	pn	_	_
8	,	,	$	$,	_	0	root	_	_
9	Erdkundige	Erdkundige	N	NN	_|Acc|_	7	app	_	_
10	,	,	$	$,	_	0	root	_	_
11	Erdbeschreiber	Erdbeschreiber	N	NN	Masc|Nom|Pl	14	subj	_	_
12	wir	wir	P	PPER	1|Pl|_|Nom	14	pred	126	126
13	damals	damals	A	ADV	_	12	adv	_	_
14	waren	sein	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
15	,	,	$	$,	_	0	root	_	_
16	Störzer	Störzer	N	NN	Neut|Nom|Sg	14	vok	70	70
17	und	und	K	KON	_	16	kon	_	_
18	ich	ich	P	PPER	1|Sg|_|Nom	17	cj	2025	2025
19	!	!	$	$.	_	0	root	_	_

1	Wir	wir	P	PPER	1|Pl|_|Nom	2	subj	126	126
2	wären	sein	V	VAFIN	1|Pl|Past|Subj	0	root	_	_
3	die	die	A	ART	Def|_|Nom|Pl	5	det	_	_
4	rechten	recht	A	ADJA	Pos|_|Nom|Pl|Wk|	5	attr	_	_
5	Leute	Leute	N	NN	_|Nom|Pl	15	pred	_	_
6	damals	damals	A	ADV	_	5	adv	_	_
7	für	für	P	APPR	Acc	5	pp	_	_
8	den	die	A	ART	Def|Masc|Acc|Sg	13	det	127	127
9	alten	alt	A	ADJA	Pos|Masc|Acc|Sg|_|	13	attr	127	127
10	freundlichen	freundlich	A	ADJA	Pos|Masc|Acc|Sg|_|	13	attr	127	127
11	und	und	K	KON	_	10	kon	127	127
12	gelehrten	gelehrt	A	ADJA	Pos|_|Acc|_|_|	11	cj	127	127
13	Karl	Karl	N	NE	Masc|Acc|Sg	7	pn	127	127
14	Bitter	Bitter	N	NE	Masc|Acc|Sg	13	app	127	127
15	gewesen	sein	V	VAPP	_	2	aux	_	_
16	,	,	$	$,	_	0	root	_	_
17	wenn	wenn	K	KOUS	_	31	konj	_	_
18	er	er	P	PPER	3|Sg|Masc|Nom	31	subj	127	127
19	seine	seine	A	PPOSAT	_|_|_	20	det	127	127
20	Landschaftsbilder	Landschaftsbild	N	NN	_|_|_	31	obja	_	_
21	auf	auf	P	APPR	Acc	31	pp	_	_
22	die	die	A	ART	Def|Fem|Acc|Sg	25	det	_	_
23	große	groß	A	ADJA	Pos|Fem|Acc|Sg|_|	25	attr	_	_
24	schwarze	schwarz	A	ADJA	Pos|Fem|Acc|Sg|_|	25	attr	_	_
25	Tafel	Tafel	N	NN	Fem|Acc|Sg	21	pn	_	_
26	hinter	hinter	P	APPR	Dat	31	pp	_	_
27	seinem	seine	A	PPOSAT	Masc|Dat|Sg	28	det	127	127
28	Katheder	Katheder	N	NN	Masc|Dat|Sg	26	pn	_	_
29	in	in	P	APPR	_	31	pp	_	_
30	Berlin	Berlin	N	NE	_|_|Sg	29	pn	1418	1418
31	malte	malen	V	VVFIN	3|Sg|Past|_	2	neb	_	_
32	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	wie	wie	P	PWAV	_	28	adv	_	_
3	weit	weit	A	ADJD	Pos|	4	attr	_	_
4	man	man	P	PIS	_|Nom|Sg	28	subj	_	_
5	um	um	P	APPR	Acc	28	pp	_	_
6	diese	diese	A	PDAT	Fem|Acc|Sg	7	det	_	_
7	Lebenszeit	Lebenszeit	N	NN	Fem|Acc|Sg	5	pn	_	_
8	auf	auf	P	APPR	_	28	pp	_	_
9	den	die	A	ART	Def|_|_|_	11	det	_	_
10	paar	paar	A	PIDAT	_|_|_	11	attr	_	_
11	Stunden	Stunde	N	NN	_|_|_	8	pn	_	_
12	Weges	Weg	N	NN	Masc|Gen|Sg	11	app	_	_
13	von	von	P	APPR	Dat	12	pp	_	_
14	einem	eine	A	ART	Indef|Neut|Dat|Sg	15	det	787	787
15	Dorf	Dorf	N	NN	Neut|Dat|Sg	13	pn	787	787
16	,	,	$	$,	_	0	root	787	787
17	Pastorhaus	Pastorhaus	N	NN	Neut|Dat|Sg	15	kon	787	787
18	und	und	K	KON	_	17	kon	_	_
