1	Nettchen	Nettchen	N	NE	_	0	root	31	31
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	ein	eine	A	ART	Indef|Neut|Nom|Sg	5	det	_	_
4	hübsches	hübsch	A	ADJA	Pos|Neut|Nom|Sg|St|	5	attr	_	_
5	Fräulein	Fräulein	N	NN	Neut|Nom|Sg	2	subj	_	_
6	,	,	$	$,	_	0	root	_	_
7	äußerst	äußerst	A	ADV	_	8	adv	_	_
8	prächtig	prächtig	A	ADJD	Pos|	12	adv	_	_
9	,	,	$	$,	_	0	root	_	_
10	etwas	etwas	A	ADV	_	11	adv	_	_
11	stutzerhaft	stutzerhaft	A	ADJD	Pos|	8	kon	_	_
12	gekleidet	kleiden	V	VVPP	_	0	root	_	_
13	und	und	K	KON	_	12	kon	_	_
14	mit	mit	P	APPR	Dat	17	pp	_	_
15	Schmuck	Schmuck	N	NN	Masc|Dat|Sg	14	pn	_	_
16	reichlich	reichlich	A	ADJD	Pos|	17	adv	_	_
17	verziert	verzieren	V	VVPP	_	13	cj	_	_
18	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Wir	wir	P	PPER	1|Pl|_|Nom	3	subj	2	2
3	suchen	suchen	V	VVFIN	1|Pl|Pres|_	10	s	_	_
4	Sie	sie	P	PPER	3|_|_|_	3	obja	0	0
5	,	,	$	$,	_	0	root	0	0
6	Herr	Herr	N	NN	Masc|_|Sg	4	app	0	0
7	Graf	Graf	N	NE	_|_|Sg	6	app	0	0
8	«	«	$	$(	_	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	rief	rufen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
11	der	die	A	ART	Def|Masc|Nom|Sg	12	det	1	1
12	Amtsrat	Amtsrat	N	NN	Masc|Nom|Sg	10	subj	1	1
13	,	,	$	$,	_	0	root	_	_
14	»	»	$	$(	_	0	root	_	_
15	damit	damit	K	KOUS	_	22	konj	_	_
16	ich	ich	P	PPER	1|Sg|_|Nom	22	subj	1	1
17	Sie	sie	P	PPER	3|_|_|_	22	obja	0	0
18	erstens	erstens	A	ADV	_	22	adv	_	_
19	hier	hier	A	ADV	_	22	adv	_	_
20	meinem	meine	A	PPOSAT	Neut|Dat|Sg	21	det	1	1
21	Kinde	Kind	N	NN	Neut|Dat|Sg	22	objd	_	_
22	vorstelle	vorstellen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
23	und	und	K	KON	_	0	root	_	_
24	zweitens	zweitens	A	ADV	_	23	cj	_	_
25	,	,	$	$,	_	0	root	_	_
26	um	um	K	KOUI	_	0	root	_	_
27	Sie	sie	P	PPER	3|_|_|_	0	root	0	0
28	zu	zu	P	PTKZU	_	29	part	_	_
29	bitten	bitten	V	VVINF	_	0	root	_	_
30	,	,	$	$,	_	0	root	_	_
31	daß	daß	K	KOUS	_	37	konj	_	_
32	Sie	sie	P	PPER	3|Pl|_|Nom	37	subj	0	0
33	uns	wir	P	PPER	1|Pl|_|Dat	36	objd	2	2
34	die	die	A	ART	Def|Fem|_|Sg	35	det	_	_
35	Ehre	Ehre	N	NN	Fem|_|Sg	36	obja	_	_
36	erweisen	erweisen	V	VVINF	_	37	aux	_	_
37	möchten	mögen	V	VMFIN	3|Pl|Past|Subj	29	objc	_	_
38	,	,	$	$,	_	0	root	_	_
39	einen	eine	A	ART	Indef|Masc|Acc|Sg	40	det	_	_
40	Bissen	Biss	N	NN	Neut|Acc|Sg	45	obja	_	_
41	Abendbrot	Abendbrot	N	NN	Neut|Acc|Sg	40	app	_	_
42	mit	mit	P	APPR	Dat	45	pp	_	_
43	uns	wir	P	PPER	1|Pl|_|Dat	42	pn	2	2
44	zu	zu	P	PTKZU	_	45	part	_	_
45	nehmen	nehmen	V	VVINF	_	36	obji	_	_
46	;	;	$	$.	_	0	root	_	_
47	die	die	A	ART	Def|Masc|Nom|Pl	49	det	_	_
48	anderen	anderen	A	ADJA	_|Masc|Nom|Pl|_	49	attr	_	_
49	Herren	Herr	N	NN	Masc|Nom|Pl	50	subj	_	_
50	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
51	bereits	bereits	A	ADV	_	50	adv	_	_
52	im	in	P	APPRART	Dat	50	pp	_	_
53	Hause	Haus	N	NN	Neut|Dat|Sg	52	pn	_	_
54	.	.	$	$.	_	0	root	_	_
55	«	«	$	$(	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	3	3
2	Wanderer	Wanderer	N	NN	Masc|Nom|Sg	3	subj	3	3
3	nahm	nehmen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	schnell	schnell	A	ADJD	Pos|	3	adv	_	_
5	seine	seine	A	PPOSAT	Fem|_|Sg	6	det	3	3
6	Mütze	Mütze	N	NN	Fem|_|Sg	3	obja	_	_
7	vom	von	P	APPRART	Dat	6	pp	_	_
8	Kopfe	Kopf	N	NN	Masc|Dat|Sg	7	pn	_	_
9	und	und	K	KON	_	3	kon	_	_
10	machte	machen	V	VVFIN	_|Sg|Past|_	9	cj	_	_
11	ehrfurchtsvolle	ehrfurchtsvolle	N	NE	Fem|Nom|Pl	19	subj	_	_
12	,	,	$	$,	_	0	root	_	_
13	ja	ja	A	ADV	_	14	adv	_	_
14	furchtsame	furchtsam	A	ADJA	Pos|Fem|Nom|Pl|St|	15	attr	_	_
15	Verbeugungen	Verbeugung	N	NN	Fem|Nom|Pl	11	app	_	_
16	,	,	$	$,	_	0	root	_	_
17	von	von	P	APPR	Dat	19	pp	_	_
18	Rot	Rot	N	NN	Neut|Dat|Sg	17	pn	_	_
19	übergossen	übergießen	V	VVPP	_	10	neb	_	_
20	.	.	$	$.	_	0	root	_	_

1	Denn	denn	K	KON	_	0	root	_	_
2	eine	eine	A	ART	Indef|Fem|Nom|Sg	4	det	_	_
