1	Sie	sie	P	PPER	3|Pl|_|Nom	2	subj	28	28
2	kamen	kommen	V	VVFIN	3|Pl|Past|Ind	0	root	_	_
3	erst	erst	A	ADV	_	2	adv	_	_
4	in	in	P	APPR	Dat	2	pp	_	_
5	der	die	A	ART	Def|Fem|Dat|Sg	6	det	_	_
6	Nacht	Nacht	N	NN	Fem|Dat|Sg	4	pn	_	_
7	an	an	P	PTKVZ	_	2	avz	_	_
8	.	.	$	$.	_	0	root	_	_

1	Vrenchen	Vrenchen	N	NE	_|Nom|Sg	2	subj	0	0
2	ging	gehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	nach	nach	P	APPR	Dat	2	pp	_	_
4	dem	die	A	ART	Def|Neut|Dat|Sg	5	det	29	29
5	Hause	Haus	N	NN	Neut|Dat|Sg	3	pn	29	29
6	,	,	$	$,	_	0	root	_	_
7	in	in	P	APPR	Dat	0	root	_	_
8	dem	die	P	PRELS	_|Dat|Sg	7	pn	29	29
9	es	es	P	PPER	3|Sg|Neut|_	10	obja	_	_
10	geboren	gebären	V	VVPP	_	0	root	_	_
11	und	und	K	KON	_	0	root	_	_
12	nur	nur	A	ADV	_	15	adv	_	_
13	zwei	zwei	C	CARD	_	14	attr	_	_
14	Tage	Tag	N	NN	Masc|Nom|Pl	15	pred	_	_
15	bleiben	bleiben	V	VVINF	_	11	cj	_	_
16	durfte	dürfen	V	VMFIN	_|Sg|Past|Ind	0	root	_	_
17	,	,	$	$,	_	0	root	_	_
18	und	und	K	KON	_	16	kon	_	_
19	es	es	P	PPER	3|Sg|Neut|Nom	20	subj	_	_
20	war	sein	V	VAFIN	_|Sg|Past|Ind	18	cj	_	_
21	jetzt	jetzt	A	ADV	_	20	adv	_	_
22	zum	zu	P	APPRART	Dat	20	pp	_	_
23	erstenmal	erstenmal	N	NN	_|Dat|_	22	pn	_	_
24	in	in	P	APPR	Dat	20	pp	_	_
25	seinem	seine	A	PPOSAT	Neut|Dat|Sg	26	det	0	0
26	Leben	Leben	N	NN	Neut|Dat|Sg	24	pn	_	_
27	ganz	ganz	A	ADV	_	28	adv	_	_
28	allein	allein	A	ADV	_	24	adv	_	_
29	darin	darin	P	PROAV	_	20	pp	_	_
30	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	machte	machen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	ein	eine	A	ART	Indef|Neut|_|Sg	4	det	_	_
4	Feuer	Feuer	N	NN	Neut|_|Sg	2	obja	_	_
5	,	,	$	$,	_	0	root	_	_
6	um	um	K	KOUI	_	12	konj	_	_
7	das	die	A	ART	Def|Neut|_|Sg	9	det	30	30
8	letzte	letzte	A	ADJA	Pos|Neut|_|Sg|Wk|	9	attr	30	30
9	Restchen	Restchen	N	NN	Neut|_|Sg	12	obja	30	30
10	Kaffee	Kaffee	N	NN	Neut|_|Sg	9	app	30	30
11	zu	zu	P	PTKZU	_	12	part	_	_
12	kochen	kochen	V	VVINF	_	2	neb	_	_
13	,	,	$	$,	_	0	root	_	_
14	das	die	P	PRELS	Neut|Nom|Sg	17	subj	30	30
15	es	es	P	PPER	3|Sg|Neut|_	17	obja	_	_
16	noch	noch	A	ADV	_	17	adv	_	_
17	besaß	besitzen	V	VVFIN	3|Sg|Past|Ind	10	rel	_	_
