1	Zwei	zwei	C	CARD	_	2	attr	_	_
2	Tage	Tag	N	NN	Masc|Nom|Pl	3	subj	_	_
3	vergingen	vergehen	V	VVFIN	3|Pl|Past|_	0	root	_	_
4	.	.	$	$.	_	0	root	_	_

1	Dori	Dori	N	NE	_|Nom|Sg	2	subj	13	13
2	wurde	werden	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	zur	zu	P	APPRART	Dat	5	pp	_	_
4	Ruhe	Ruhe	N	NN	Fem|Dat|Sg	3	pn	_	_
5	getragen	tragen	V	VVPP	_	2	aux	_	_
6	.	.	$	$.	_	0	root	_	_

1	Das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	ein	eine	A	ART	Indef|Neut|Nom|Sg	4	det	_	_
4	Begräbnis	Begräbnis	N	NN	Neut|Nom|Sg	2	pred	_	_
5	,	,	$	$,	_	0	root	_	_
6	als	als	K	KOKOM	_	7	konj	_	_
7	würde	werden	V	VAFIN	3|Sg|Past|Subj	2	neb	_	_
8	der	die	A	ART	Def|Masc|Nom|Sg	10	det	_	_
9	reichste	reich	A	ADJA	Sup|Masc|Nom|Sg|Wk|	10	attr	_	_
10	Bauer	Bauer	N	NN	Masc|Nom|Sg	7	subj	_	_
11	des	die	A	ART	Def|Neut|Gen|Sg	12	det	_	_
12	Tals	Tal	N	NN	Neut|Gen|Sg	10	gmod	_	_
13	in	in	P	APPR	Acc	16	pp	_	_
14	die	die	A	ART	Def|Fem|Acc|Sg	15	det	_	_
15	Ewigkeit	Ewigkeit	N	NN	Fem|Acc|Sg	13	pn	_	_
16	befördert	befördern	V	VVPP	_	7	aux	_	_
17	,	,	$	$,	_	0	root	_	_
18	nicht	nicht	P	PTKNEG	_	21	adv	_	_
19	der	die	A	ART	Def|Masc|Nom|Sg	21	det	_	_
20	ärmste	arm	A	ADJA	Sup|Masc|Nom|Sg|Wk|	21	attr	_	_
21	Hüterbub	Hüterbub	N	NN	Masc|Nom|Sg	0	root	_	_
22	des	die	A	ART	Def|Neut|Gen|Sg	23	det	_	_
23	Dorfes	Dorf	N	NN	Neut|Gen|Sg	21	gmod	_	_
24	.	.	$	$.	_	0	root	_	_

1	Gerechtigkeit	Gerechtigkeit	N	NN	Fem|Nom|Sg	4	subj	0	0
2	im	in	P	APPRART	Dat	1	pp	0	0
3	Leben	Leben	N	NN	Neut|Dat|_	2	pn	0	0
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	selten	selten	A	ADJD	Pos|	4	pred	_	_
6	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	_	_
2	Tod	Tod	N	NN	Masc|Nom|Sg	3	subj	_	_
3	erinnert	erinnern	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	sich	sie	P	PRF	3|_|_	3	obja	_	_
5	ihrer	ihre	A	PPOSAT	_|_|_	0	root	0	0
6	zuweilen	zuweilen	A	ADV	_	0	root	_	_
7	.	.	$	$.	_	0	root	_	_

1	Wieder	wieder	A	ADV	_	2	adv	_	_
2	kehrte	kehren	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	Tag	Tag	N	NN	_|Nom|Sg	2	subj	_	_
4	um	um	P	APPR	Acc	2	pp	_	_
5	Tag	Tag	N	NN	_|Acc|Sg	4	pn	_	_
6	im	in	P	APPRART	Dat	2	pp	_	_
7	Finkenhof	Finkenhof	N	NN	Masc|Dat|Sg	6	pn	4	4
8	ein	ein	P	PTKVZ	_	2	avz	_	_
9	.	.	$	$.	_	0	root	_	_

1	Keiner	keine	P	PIS	Masc|Nom|Sg	2	subj	_	_
2	brachte	bringen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	den	die	A	ART	Def|Masc|Acc|Sg	4	det	3	3
4	Jörg	Jörg	N	NE	Masc|Acc|Sg	2	obja	3	3
5	.	.	$	$.	_	0	root	_	_

1	Gleich	gleich	A	ADJD	Pos|	5	adv	_	_
2	am	an	P	APPRART	Dat	1	pp	_	_
3	dritten	dritt	A	ADJA	_|_|Dat|Sg|Wk|	4	attr	1	1
4	Tag	Tag	N	NN	_|Dat|Sg	2	pn	1	1
5	nach	nach	P	APPR	Dat	8	pp	_	_
6	seiner	seine	A	PPOSAT	Fem|Dat|Sg	7	det	1	1
7	Verhaftung	Verhaftung	N	NN	Fem|Dat|Sg	5	pn	_	_
8	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
9	eine	eine	A	ART	Indef|Fem|Nom|Sg	10	det	_	_
10	Botschaft	Botschaft	N	NN	Fem|Nom|Sg	8	subj	_	_
11	an	an	P	APPR	Acc	10	pp	_	_
12	die	die	A	ART	Def|Fem|Acc|Sg	13	det	6	6
13	Bäuerin	Bäuerin	N	NN	Fem|Acc|Sg	11	pn	6	6
14	gekommen	kommen	V	VVPP	_	8	aux	_	_
15	:	\:	$	$.	_	0	root	_	_
