1	Na	Na	I	ITJ	_	0	root	_	_
2	wenn	wenn	K	KOUS	_	4	konj	_	_
3	gsagt	gsagt	N	NE	_	4	obja	313	313
4	hast	haben	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	nachher	nachher	A	ADV	_	7	adv	_	_
7	beiß	beißen	V	VVIMP	Sg	0	root	_	_
8	ich	ich	P	PPER	1|Sg|_|Nom	0	root	312	312
9	mir	ich	P	PRF	1|Sg|Dat	0	root	_	_
10	gleich	gleich	A	ADV	_	12	adv	_	_
11	den	die	A	ART	Def|Masc|Acc|Sg	12	det	_	_
12	Kopf	Kopf	N	NN	Masc|Acc|Sg	0	root	_	_
13	abi	abi	A	ADV	_	12	adv	_	_
14	.	.	$	$.	_	0	root	_	_

1	Bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	1	subj	312	312
3	net	net	A	ADV	_	1	adv	_	_
4	ein	eine	A	ART	Indef|Masc|Nom|Sg	5	det	314	314
5	Kerl	Kerl	N	NN	Masc|Nom|Sg	1	pred	314	314
6	,	,	$	$,	_	0	root	314	314
7	der	die	P	PRELS	Masc|Nom|Sg	13	subj	314	314
8	den	die	A	ART	Def|Masc|Acc|Sg	9	det	117	117
9	Teufel	Teufel	N	NN	Masc|Acc|Sg	13	obja	117	117
10	in	in	P	APPR	Dat	13	pp	_	_
11	der	die	A	ART	Def|Fem|Dat|Sg	12	det	315	315
12	Luft	Luft	N	NN	Fem|Dat|Sg	10	pn	315	315
13	beutelt	beuteln	V	VVFIN	3|Sg|Pres|Ind	5	rel	_	_
14	?	?	$	$.	_	0	root	_	_

1	Was	was	P	PWS	Neut|_|Sg	4	obja	_	_
2	kannst	können	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
3	denn	denn	A	ADV	_	4	adv	_	_
4	aussetzen	aussetzen	V	VVINF	_	2	aux	_	_
5	an	an	P	APPR	Dat	4	pp	_	_
6	mir	ich	P	PPER	1|Sg|_|Dat	5	pn	312	312
7	?	?	$	$.	_	0	root	_	_
8	«	«	$	$(	_	0	root	_	_

1	Loni	Loni	N	NE	_|Nom|Sg	2	subj	191	191
2	stand	stehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	am	an	P	APPRART	Dat	2	pp	_	_
4	Schänkkasten	Schänkkasten	N	NN	_|Dat|_	3	pn	159	159
5	und	und	K	KON	_	2	kon	_	_
6	stellte	stellen	V	VVFIN	_|Sg|Past|_	5	cj	_	_
7	die	die	A	ART	Def|Neut|_|Pl	9	det	_	_
8	frischgeputzten	frischgeputzt	A	ADJA	Pos|Neut|_|Pl|Wk|	9	attr	_	_
9	Gläser	Glas	N	NN	Neut|_|Pl	6	obja	_	_
10	in	in	P	APPR	Acc	6	objp	_	_
11	die	die	A	ART	Def|_|Acc|Pl	12	det	316	316
12	Fächer	Fach	N	NN	_|Acc|Pl	10	pn	316	316
13	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Gar	gar	A	ADV	_	3	adv	_	_
3	nix	nix	P	PIS	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	aber	aber	K	KON	_	0	root	_	_
6	heiraten	heiraten	V	VVINF	_	7	obji	_	_
7	tu	tun	V	VVFIN	1|Sg|Pres|Ind	5	cj	_	_
8	ich	ich	P	PPER	1|Sg|_|Nom	7	subj	312	312
9	dich	du	P	PPER	2|Sg|_|Acc	7	obja	_	_
10	net	net	A	ADV	_	7	adv	_	_
11	!	!	$	$.	_	0	root	_	_
12	«	«	$	$(	_	0	root	_	_
13	Sie	sie	P	PPER	3|Sg|Fem|Nom	14	subj	191	191
14	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
15	nicht	nicht	P	PTKNEG	_	19	adv	_	_
16	einmal	einmal	A	ADV	_	19	adv	_	_
17	das	die	A	ART	Def|Neut|_|Sg	18	det	66	66
18	Gsicht	Gsicht	N	NN	Neut|_|Sg	19	obja	66	66
19	gedreht	drehen	V	VVPP	_	14	aux	_	_
20	,	,	$	$,	_	0	root	_	_
21	als	als	K	KOUS	_	24	konj	_	_
22	sie	sie	P	PPER	3|Sg|Fem|Nom	24	subj	191	191
23	das	die	P	PDS	Neut|_|Sg	24	obja	_	_
24	sagte	sagen	V	VVFIN	3|Sg|Past|_	14	neb	_	_
25	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Und	und	K	KON	_	0	root	_	_
3	warum	warum	P	PWAV	_	4	adv	_	_
4	net	net	A	ADJD	_	2	cj	_	_
5	?	?	$	$.	_	0	root	_	_
6	«	«	$	$(	_	0	root	_	_
7	fragte	fragen	V	VVFIN	3|Sg|Past|_	0	root	_	_
