1	›	›	N	NE	_|Nom|Sg	2	subj	285	285
2	Sei	sein	V	VAFIN	3|Sg|Pres|Subj	0	root	_	_
3	im	in	P	APPRART	Dat	2	pp	_	_
4	Besitze	Besitz	N	NN	Masc|Dat|Sg	3	pn	_	_
5	,	,	$	$,	_	0	root	_	_
6	und	und	K	KON	_	2	kon	_	_
7	du	du	P	PPER	2|Sg|_|Nom	8	subj	679	679
8	bist	sein	V	VAFIN	2|Sg|Pres|Ind	6	cj	_	_
9	im	in	P	APPRART	Dat	8	pp	_	_
10	Recht	Recht	N	NN	Neut|Dat|Sg	9	pn	_	_
11	‹	‹	N	NE	_|Nom|_	8	pred	286	286
12	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
13	vorläufig	vorläufig	A	ADJD	Pos|	17	adv	_	_
14	noch	noch	A	ADV	_	17	adv	_	_
15	für	für	P	APPR	Acc	17	pp	_	_
16	uns	wir	P	PPER	1|Pl|_|Acc	15	pn	681	681
17	geschrieben	schreiben	V	VVPP	_	12	aux	_	_
18	.	.	$	$.	_	0	root	_	_

1	Warum	Warum	P	PWAV	_	7	adv	_	_
2	sich	sie	P	PRF	3|_|_	7	obja	_	_
3	selbst	selbst	A	ADV	_	7	adv	_	_
4	um	um	P	APPR	Acc	7	objp	_	_
5	diesen	diese	A	PDAT	Masc|Acc|Sg	6	det	704	704
6	Besitz	Besitz	N	NN	Masc|Acc|Sg	4	pn	704	704
7	bringen	bringen	V	VVFIN	_|Pl|Pres|_	0	root	_	_
8	und	und	K	KON	_	0	root	_	_
9	auf	auf	P	APPR	Acc	13	pp	_	_
10	eigene	eigen	A	ADJA	Pos|_|Acc|_|_|	11	attr	682	682
11	Kosten	Kosten	N	NN	_|Acc|_	9	pn	682	682
12	eine	eine	A	ART	Indef|Fem|Nom|Sg	13	det	_	_
13	Zukunft	Zukunft	N	NN	Fem|Nom|Sg	14	subj	_	_
14	heraufbeschwören	heraufbeschwören	V	VVPP	_	8	cj	_	_
15	,	,	$	$,	_	0	root	_	_
16	von	von	P	APPR	Dat	20	objp	_	_
17	der	die	P	PRELS	Fem|Dat|Sg	16	pn	682	682
18	vielleicht	vielleicht	A	ADV	_	20	adv	_	_
19	keiner	keine	P	PIS	Masc|Nom|Sg	20	subj	_	_
