1	Sieh	Sieh	N	NE	_	4	vok	452	452
2	,	,	$	$,	_	0	root	_	_
3	so	so	A	ADV	_	4	adv	_	_
4	hab	hab	V	VAFIN	1|Sg|_|_	0	root	_	_
5	'	'	$	$(	_	0	root	_	_
6	ich	ich	P	PPER	1|Sg|_|Nom	4	subj	183	183
7	dich	du	P	PPER	2|Sg|_|Acc	4	obja	185	185
8	gern	gern	A	ADV	_	4	adv	_	_
9	.	.	$	$.	_	0	root	_	_

1	Übermütig	übermütig	A	ADJD	Pos|	0	root	_	_
2	und	und	K	KON	_	1	kon	_	_
3	boshaft	boshaft	A	ADJD	Pos|	2	cj	_	_
4	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	3	koord	_	_
2	nun	nun	A	ADV	_	3	adv	_	_
3	sage	sagen	V	VVFIN	_|Sg|Pres|_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	was	was	P	PWS	Neut|_|Sg	6	obja	_	_
6	beginnen	beginnen	V	VVFIN	1|Pl|Pres|_	3	objc	_	_
7	wir	wir	P	PPER	1|Pl|_|Nom	6	subj	184	184
8	,	,	$	$,	_	0	root	_	_
9	wohin	wohin	P	PWAV	_	10	pp	_	_
10	gondeln	gondeln	V	VVFIN	1|Pl|_|_	0	root	_	_
11	wir	wir	P	PPER	1|Pl|_|Nom	10	subj	184	184
12	?	?	$	$.	_	0	root	_	_
13	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ich	ich	P	PPER	1|Sg|_|Nom	3	subj	183	183
3	bitte	bitten	V	VVFIN	1|Sg|Pres|_	0	root	_	_
4	dich	du	P	PPER	2|Sg|_|Acc	3	obja	185	185
5	,	,	$	$,	_	0	root	_	_
6	Ezel	Ezel	N	NE	_|Acc|_	4	kon	67	67
7	,	,	$	$,	_	0	root	67	67
8	nur	nur	A	ADV	_	10	adv	67	67
9	keine	keine	A	PIAT	_|Acc|_	10	det	67	67
10	Berolinismen	Berolinismen	N	NN	_|Acc|_	6	kon	67	67
11	.	.	$	$.	_	0	root	_	_

1	Du	du	P	PPER	2|Sg|_|Nom	2	subj	185	185
2	hast	haben	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
3	mir	ich	P	PPER	1|Sg|_|Dat	2	objd	183	183
4	doch	doch	A	ADV	_	2	adv	_	_
5	gestern	gestern	A	ADV	_	2	adv	_	_
6	erst	erst	A	ADV	_	2	adv	_	_
7	...	...	$	$.	_	0	root	_	_
8	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Und	und	K	KON	_	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	cj	183	183
4	halt	halt	A	ADV	_	3	adv	_	_
5	'	'	$	$(	_	0	root	_	_
6	es	es	P	PPER	3|Sg|Neut|_	0	root	_	_
7	auch	auch	A	ADV	_	6	adv	_	_
8	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	wenn	wenn	K	KOUS	_	7	konj	_	_
3	mir	ich	P	PPER	1|Sg|_|Dat	7	objd	183	183
4	wohl	wohl	A	ADV	_	7	adv	_	_
5	ums	um	P	APPRART	Acc	7	pp	_	_
6	Herze	Herze	N	NN	_|Acc|_	5	pn	_	_
7	wird	werden	V	VAFIN	3|Sg|Pres|Ind	10	neb	_	_
8	,	,	$	$,	_	0	root	_	_
9	da	da	A	ADV	_	10	adv	_	_
10	bricht	brechen	V	VVFIN	3|Sg|Pres|Ind	1	cj	_	_
11	es	es	P	PPER	3|Sg|Neut|Nom	10	subj	_	_
12	wieder	wieder	A	ADV	_	10	adv	_	_
13	durch	durch	P	PTKVZ	_	10	avz	_	_
14	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	jetzt	jetzt	A	ADV	_	3	adv	_	_
3	komm	komm	A	ADJD	_	1	cj	_	_
4	,	,	$	$,	_	0	root	_	_
5	wir	wir	P	PPER	1|Pl|_|Nom	6	subj	_	_
6	wollen	wollen	V	VMFIN	1|Pl|Pres|_	0	root	_	_
7	zu	zu	P	APPR	Dat	13	pp	_	_
8	Haas	Haas	N	NE	_|Dat|Sg	7	pn	_	_
9	und	und	K	KON	_	8	kon	_	_
10	uns	wir	P	PPER	1|Pl|_|Dat	9	cj	_	_
11	einen	eine	A	ART	Indef|Masc|Acc|Sg	12	det	_	_
12	Teppich	Teppich	N	NN	Masc|Acc|Sg	13	obja	_	_
13	ansehen	ansehen	V	VVINF	_	6	aux	_	_
14	...	...	$	$.	_	0	root	_	_
15	›	›	F	FM	_	0	root	_	_
16	Gerade	gerade	A	ADV	_	17	adv	_	_
17	alt	alt	A	ADJD	Pos|	0	root	_	_
18	genug	genug	A	ADV	_	17	adv	_	_
19	,	,	$	$,	_	0	root	_	_
20	...	...	$	$.	_	0	root	_	_
21	Vorzüglich	vorzüglich	A	ADJD	Pos|	0	root	_	_
22	,	,	$	$,	_	0	root	_	_
23	vorzüglich	vorzüglich	A	ADJD	Pos|	0	root	_	_
24	...	...	$	$.	_	0	root	_	_
25	‹	‹	F	FM	_	0	root	_	_
