1	Leo	Leo	N	NE	Masc|Nom|Sg	2	subj	53	53
2	schloß	schloß	V	VVFIN	_|Sg|_|_	0	root	_	_
3	sich	sie	P	PRF	3|_|_	2	obja	_	_
4	,	,	$	$,	_	0	root	_	_
5	noch	noch	A	ADV	_	6	adv	_	_
6	ehe	ehe	K	KOUS	_	11	konj	_	_
7	der	die	A	ART	Def|Masc|Nom|Sg	8	det	751	751
8	Januar	Januar	N	NN	Masc|Nom|Sg	11	subj	751	751
9	zu	zu	P	APPR	Dat	11	pp	_	_
10	Ende	Ende	N	NN	Neut|Dat|Sg	9	pn	159	159
11	ging	gehen	V	VVFIN	3|Sg|Past|Ind	2	neb	_	_
12	,	,	$	$,	_	0	root	_	_
13	einem	eine	A	ART	Indef|_|Dat|Sg	15	det	_	_
14	katholischen	katholisch	A	ADJA	Pos|_|Dat|Sg|Wk|	15	attr	_	_
15	Geistlichen	Geistliche	N	NN	_|Dat|Sg	0	root	_	_
16	an	an	P	PTKVZ	_	0	root	_	_
17	,	,	$	$,	_	0	root	_	_
18	der	die	A	ART	Def|Masc|Nom|Sg	19	det	_	_
19	Dogmenstrenge	Dogmenstrenge	N	NN	Masc|Nom|Sg	27	subj	_	_
20	mit	mit	P	APPR	Dat	26	objp	_	_
21	Skat	Skat	N	NN	Masc|Dat|Sg	20	pn	752	752
22	und	und	K	KON	_	21	kon	_	_
23	Fidelität	Fidelität	N	NE	Masc|Dat|Sg	22	cj	_	_
24	glücklich	glücklich	A	ADJD	Pos|	26	adv	_	_
25	zu	zu	P	PTKZU	_	26	part	_	_
26	vereinigen	vereinigen	V	VVINF	_	27	obji	_	_
27	wußte	wußte	V	VVFIN	_|Sg|_|_	0	root	_	_
28	,	,	$	$,	_	0	root	_	_
29	welche	welche	A	PWAT	Fem|Nom|Sg	31	det	753	753
30	neue	neu	A	ADJA	Pos|Fem|Nom|Sg|_|	31	attr	753	753
31	Bekanntschaft	Bekanntschaft	N	NN	Fem|Nom|Sg	44	subj	753	753
32	denn	denn	A	ADV	_	44	adv	_	_
33	auch	auch	A	ADV	_	44	adv	_	_
34	sofort	sofort	A	ADV	_	44	adv	_	_
35	verhängnisvoll	verhängnisvoll	A	ADJD	Pos|	44	pred	_	_
36	für	für	P	APPR	Acc	44	pp	_	_
37	die	die	A	ART	Def|Fem|Acc|Sg	39	det	_	_
38	weitere	weit	A	ADJA	Comp|Fem|Acc|Sg|_|	39	attr	_	_
39	Erörterung	Erörterung	N	NN	Fem|Acc|Sg	36	pn	_	_
40	der	die	A	ART	Def|_|_|_	41	det	_	_
41	Esther-	Esther-	T	TRUNC	Fem|_|Sg	39	gmod	_	_
42	und	und	K	KON	_	41	kon	_	_
43	Flora-Frage	Flora-Frage	N	NN	Fem|_|Sg	42	cj	_	_
44	wurde	werden	V	VAFIN	3|Sg|Past|Ind	27	objc	_	_
45	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	753	753
2	starb	sterben	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	sehr	sehr	A	ADV	_	4	adv	_	_
4	bald	bald	A	ADV	_	2	adv	_	_
5	ab	ab	P	PTKVZ	_	2	avz	_	_
6	.	.	$	$.	_	0	root	_	_

1	Ja	ja	P	PTKANT	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	die	die	A	ART	Def|Fem|Nom|Sg	4	det	_	_
4	Korrespondenz	Korrespondenz	N	NN	Fem|Nom|Sg	8	subj	_	_
5	nach	nach	P	APPR	Dat	4	pp	_	_
6	Thorn	Thorn	N	NN	Neut|Dat|Sg	5	pn	498	498
7	hin	hin	A	APZR	_	5	part	_	_
8	erlosch	erlöschen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
9	rasch	rasch	A	ADJD	Pos|	8	adv	_	_
10	,	,	$	$,	_	0	root	_	_
11	aber	aber	K	KON	_	0	root	_	_
12	die	die	A	ART	Def|_|_|_	11	cj	_	_
13	zwischen	zwischen	P	APPR	_	17	pp	_	_
14	Sophie	Sophie	N	NE	Fem|_|Sg	13	pn	37	37
15	und	und	K	KON	_	14	kon	_	_
16	Manon	Manon	N	NE	Fem|_|Sg	15	cj	39	39
17	setzte	setzen	V	VVFIN	_|Sg|Past|_	0	root	_	_
18	sich	sie	P	PRF	3|_|_	17	obja	_	_
19	fort	fort	P	PTKVZ	_	17	avz	_	_
20	,	,	$	$,	_	0	root	_	_
21	und	und	K	KON	_	17	kon	_	_
22	keine	keine	A	PIAT	Fem|Nom|Sg	23	det	754	754
23	Woche	Woche	N	NN	Fem|Nom|Sg	24	subj	754	754
24	verging	vergehen	V	VVFIN	3|Sg|Past|Ind	21	cj	_	_
25	,	,	$	$,	_	0	root	_	_
26	ohne	ohne	P	APPR	Acc	27	konj	_	_
27	daß	daß	K	KOUS	_	33	konj	_	_
28	ein	eine	A	ART	Indef|Masc|Nom|Sg	29	det	_	_
29	Brief	Brief	N	NN	Masc|Nom|Sg	33	subj	_	_
30	aus	aus	P	APPR	Dat	32	pp	_	_
31	Adamsdorf	Adamsdorf	N	NE	Neut|Dat|Sg	30	pn	553	553
32	eingetroffen	eintreffen	V	VVPP	_	33	aux	_	_
33	wäre	sein	V	VAFIN	3|Sg|Past|Subj	24	neb	_	_
34	,	,	$	$,	_	0	root	_	_
35	meistens	meistens	A	ADV	_	36	adv	_	_
36	gleichzeitig	gleichzeitig	A	ADJD	Pos|	37	adv	_	_
37	mit	mit	P	APPR	Dat	32	pp	_	_
38	einer	eine	A	ART	Indef|Fem|Dat|Sg	41	det	_	_
39	sorglich	sorglich	A	ADJD	Pos|	40	adv	_	_
40	gepackten	gepackt	A	ADJA	Pos|Fem|Dat|Sg|Wk|	41	attr	_	_
41	Kiste	Kiste	N	NN	Fem|Dat|Sg	37	pn	_	_
42	,	,	$	$,	_	0	root	_	_
