1	Franziska	Franziska	N	NE	Fem|Nom|Sg	2	subj	148	148
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	es	es	P	PPER	3|Sg|Neut|_	2	expl	_	_
4	nicht	nicht	P	PTKNEG	_	2	adv	_	_
5	recht	recht	A	ADJD	Pos|	2	pred	_	_
6	,	,	$	$,	_	0	root	_	_
7	aber	aber	K	KON	_	2	kon	_	_
8	Phemi	Phemi	N	NE	_|Nom|Sg	9	subj	325	325
9	lachte	lachen	V	VVFIN	3|Sg|Past|_	7	cj	_	_
10	nur	nur	A	ADV	_	9	adv	_	_
11	und	und	K	KON	_	9	kon	_	_
12	sagte	sagen	V	VVFIN	_|Sg|Past|_	11	cj	_	_
13	:	\:	$	$.	_	0	root	_	_
14	»	»	$	$(	_	0	root	_	_
15	Sieh	sehen	V	VVIMP	Sg	0	root	_	_
16	doch	doch	A	ADV	_	15	adv	_	_
17	,	,	$	$,	_	0	root	_	_
18	er	er	P	PPER	3|Sg|Masc|Nom	19	subj	325	325
19	freut	freuen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
20	sich	sie	P	PRF	3|_|_	19	obja	_	_
21	,	,	$	$,	_	0	root	_	_
22	das	die	A	ART	Def|Neut|_|Sg	23	det	343	343
23	Kind	Kind	N	NN	Neut|_|Sg	28	obja	343	343
24	an	an	P	APPR	Dat	28	pp	_	_
25	der	die	A	ART	Def|Fem|Dat|Sg	26	det	68	68
26	Hand	Hand	N	NN	Fem|Dat|Sg	24	pn	68	68
27	zu	zu	P	PTKZU	_	28	part	_	_
28	haben	haben	V	VAINF	_	19	obji	_	_
29	.	.	$	$.	_	0	root	_	_

1	Ach	ach	I	ITJ	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	Fränzl	Fränzl	N	NE	_	0	root	356	356
4	,	,	$	$,	_	0	root	_	_
5	du	du	P	PPER	2|Sg|_|Nom	6	subj	_	_
6	glaubst	glauben	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
7	gar	gar	A	ADV	_	8	adv	_	_
8	nicht	nicht	P	PTKNEG	_	6	adv	_	_
9	,	,	$	$,	_	0	root	_	_
10	wie	wie	P	PWAV	_	11	adv	_	_
11	gleichgültig	gleichgültig	A	ADJD	Pos|	13	adv	_	_
12	Legitimitätsfragen	Legitimitätsfragen	N	NN	_|Nom|Pl	13	subj	_	_
13	sind	sein	V	VAFIN	3|Pl|Pres|Ind	6	objc	_	_
14	.	.	$	$.	_	0	root	_	_

1	Natürlich	natürlich	A	ADJD	Pos|	4	adv	_	_
2	den	die	A	ART	Def|Masc|Acc|Sg	3	det	_	_
3	Erbschaftspunkt	Erbschaftspunkt	N	NN	Masc|Acc|Sg	4	obja	_	_
4	abgerechnet	abrechnen	V	VVPP	_	0	root	_	_
5	.	.	$	$.	_	0	root	_	_
6	«	«	$	$(	_	0	root	_	_

1	In	in	P	APPR	Dat	5	pp	_	_
2	derselben	dieselbe	A	PDAT	Fem|Dat|Sg	4	det	596	596
3	halben	halb	A	ADJA	Pos|Fem|Dat|Sg|Wk|	4	attr	596	596
4	Stunde	Stunde	N	NN	Fem|Dat|Sg	1	pn	596	596
5	saß	sitzen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
6	die	die	A	ART	Def|Fem|Nom|Sg	7	det	104	104
7	Gräfin	Gräfin	N	NN	Fem|Nom|Sg	5	subj	104	104
8	drüben	drüben	N	NE	Fem|Nom|Sg	7	app	104	104
9	vor	vor	P	APPR	Dat	5	pp	_	_
10	einem	eine	A	ART	Indef|Masc|Dat|Sg	15	det	982	982
11	an	an	P	APPR	Dat	14	pp	982	982
12	ihrem	ihre	A	PPOSAT	Neut|Dat|Sg	13	det	596	596
13	Balkonfenster	Balkonfenster	N	NN	Neut|Dat|Sg	11	pn	_	_
14	stehenden	stehend	A	ADJA	Pos|Masc|Dat|Sg|Wk|<PPRES	15	attr	_	_
15	Schreibtisch	Schreibtisch	N	NN	Masc|Dat|Sg	9	pn	_	_
16	,	,	$	$,	_	0	root	_	_
17	um	um	K	KOUI	_	23	konj	_	_
18	einen	eine	A	ART	Indef|Masc|Acc|Sg	19	det	653	653
19	Brief	Brief	N	NN	Masc|Acc|Sg	23	obja	653	653
20	an	an	P	APPR	_	19	pp	653	653
21	Feßler	Feßler	N	NN	_|_|_	20	pn	179	179
22	zu	zu	P	PTKZU	_	23	part	_	_
23	richten	richten	V	VVINF	_	5	neb	_	_
24	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	das	die	A	ART	Def|Neut|Nom|Sg	4	det	597	597
3	entzückende	entzückend	A	ADJA	Pos|Neut|Nom|Sg|Wk|<PPRES	4	attr	597	597
4	Bild	Bild	N	NN	Neut|Nom|Sg	12	subj	597	597
5	,	,	$	$,	_	0	root	597	597
6	das	die	P	PRELS	Neut|Nom|Sg	10	subj	597	597
7	sich	sie	P	PRF	3|_|_	10	obja	_	_
8	vor	vor	P	APPR	Dat	10	pp	_	_
9	ihr	ihr	P	PPER	3|Sg|Fem|Dat	8	pn	104	104
10	ausbreitete	ausbreiten	V	VVFIN	3|Sg|Past|_	4	rel	_	_
11	,	,	$	$,	_	0	root	_	_
12	machte	machen	V	VVFIN	3|Sg|Past|_	1	cj	_	_
13	,	,	$	$,	_	0	root	_	_
14	daß	daß	K	KOUS	_	31	konj	_	_
15	sie	sie	P	PPER	3|Sg|Fem|Nom	31	subj	104	104
16	die	die	A	ART	Def|Fem|_|Sg	17	det	598	598
17	Feder	Feder	N	NN	Fem|_|Sg	31	obja	598	598
18	,	,	$	$,	_	0	root	598	598
19	die	die	P	PRELS	Fem|Nom|Sg	28	subj	598	598
20	sie	sie	P	PPER	3|_|_|_	27	obja	104	104
21	vor	vor	P	APPR	Dat	27	pp	_	_
22	einer	eine	A	ART	Indef|Fem|Dat|Sg	23	det	_	_
23	Weile	Weile	N	NN	Fem|Dat|Sg	21	pn	_	_
24	schon	schon	A	ADV	_	27	adv	_	_
25	zur	zu	P	APPRART	Dat	27	objp	_	_
26	Hand	Hand	N	NN	Fem|Dat|Sg	25	pn	11	11
27	genommen	nehmen	V	VVPP	_	28	aux	_	_
28	hatte	haben	V	VAFIN	3|Sg|Past|Ind	17	rel	_	_
29	,	,	$	$,	_	0	root	_	_
30	wieder	wieder	A	ADV	_	31	adv	_	_
31	niederlegte	niederlegen	V	VVFIN	3|Sg|Past|_	12	objc	_	_
32	.	.	$	$.	_	0	root	_	_

1	Hoch	hoch	A	ADJD	Pos|	2	adv	_	_
2	über	über	P	APPR	Acc	11	objp	_	_
3	die	die	A	ART	Def|Masc|Acc|Pl	9	det	_	_
4	mit	mit	P	APPR	Dat	8	pp	_	_
5	Wein	Wein	N	NN	Masc|Dat|Sg	4	pn	_	_
6	und	und	K	KON	_	5	kon	_	_
7	Laubholz	Laubholz	N	NN	Neut|Dat|Sg	6	cj	_	_
8	besetzten	besetzt	A	ADJA	Pos|Masc|Acc|Pl|Wk|	9	attr	_	_
9	Berge	Berg	N	NN	Masc|Acc|Pl	2	pn	_	_
10	hin	hin	A	APZR	_	2	part	_	_
