1	Van	Van	N	NE	_|Nom|Sg	4	subj	62	62
2	der	die	A	ART	Def|_|Gen|_	3	det	8	8
3	Straaten	Straaten	N	NE	_|Gen|_	1	gmod	8	8
4	las	lesen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
5	und	und	K	KON	_	4	kon	_	_
6	war	sein	V	VAFIN	_|Sg|Past|Ind	5	cj	_	_
7	sofort	sofort	A	ADV	_	6	adv	_	_
8	wie	wie	K	KOKOM	_	6	kom	_	_
9	elektrisiert	elektrisieren	V	VVPP	_	8	cj	_	_
10	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ah	Ah	N	NN	Fem|_|Sg	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	von	von	P	APPR	_	2	pp	_	_
5	Salviati	Salviati	N	NE	_|_|_	4	pn	69	69
6	!	!	$	$.	_	0	root	_	_
7	...	...	$	$.	_	0	root	_	_

1	Das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	hübsch	hübsch	A	ADJD	Pos|	2	pred	_	_
4	,	,	$	$,	_	0	root	_	_
5	das	die	P	PDS	Neut|Nom|Sg	6	subj	_	_
6	ist	sein	V	VAFIN	3|Sg|Pres|Ind	2	kon	_	_
7	schön	schön	A	ADJD	Pos|	6	pred	_	_
8	...	...	$	$.	_	0	root	_	_

1	Gleich	gleich	A	ADJD	Pos|	4	adv	_	_
2	die	die	A	ART	Def|Fem|_|Sg	3	det	73	73
3	Kiste	Kiste	N	NN	Fem|_|Sg	4	obja	73	73
4	heraufschaffen	heraufschaffen	V	VVINF	_	0	root	_	_
5	!	!	$	$.	_	0	root	_	_

1	...	...	$	$.	_	0	root	_	_
2	Und	und	K	KON	_	0	root	_	_
3	du	du	P	PPER	2|Sg|_|Nom	4	subj	72	72
4	bleibst	bleiben	V	VVFIN	2|Sg|Pres|Ind	2	cj	_	_
5	,	,	$	$,	_	0	root	_	_
6	Melanie	Melanie	N	NE	Fem|_|Sg	4	vok	20	20
7	...	...	$	$.	_	0	root	_	_
8	Hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
9	er	er	P	PPER	3|Sg|Masc|Nom	8	subj	69	69
10	doch	doch	A	ADV	_	12	adv	_	_
11	Wort	Wort	N	NN	Neut|_|Sg	12	obja	70	70
12	gehalten	halten	V	VVPP	_	8	aux	_	_
13	...	...	$	$.	_	0	root	_	_
14	Freut	freuen	V	VVFIN	_|_|Pres|Ind	17	neb	_	_
15	mich	ich	P	PPER	1|Sg|_|Acc	14	obja	71	71
16	,	,	$	$,	_	0	root	_	_
17	freut	freuen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
18	mich	ich	P	PPER	1|Sg|_|Acc	17	obja	71	71
19	wirklich	wirklich	A	ADJD	Pos|	17	adv	_	_
20	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	dich	du	P	PPER	2|Sg|_|Acc	6	obja	72	72
3	wird	werden	V	VAFIN	3|Sg|Pres|Ind	1	cj	_	_
4	es	es	P	PPER	3|Sg|Neut|Nom	3	subj	_	_
5	auch	auch	A	ADV	_	6	adv	_	_
6	freuen	freuen	V	VVINF	_	3	aux	_	_
7	.	.	$	$.	_	0	root	_	_

1	Etwas	etwas	A	PIAT	Neut|_|Sg	2	det	_	_
2	Venezianisches	Venezianisches	N	NN	Neut|_|Sg	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	Lanni	Lanni	N	NN	Neut|_|Sg	2	app	_	_
5	...	...	$	$.	_	0	root	_	_
6	Du	du	P	PPER	2|Sg|_|Nom	7	subj	72	72
7	warst	sein	V	VAFIN	2|Sg|Past|Ind	0	root	_	_
8	so	so	A	ADV	_	9	adv	_	_
9	gern	gern	A	ADV	_	7	adv	_	_
10	in	in	P	APPR	_	7	pp	_	_
11	Venedig	Venedig	N	NE	Neut|_|Sg	10	pn	94	94
12	.	.	$	$.	_	0	root	_	_
13	«	«	$	$(	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	während	während	K	KOUS	_	0	root	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	0	root	13	13
4	in	in	P	APPR	Dat	10	pp	_	_
5	derartig	derartig	A	ADJD	_	6	adv	_	_
6	kurzen	kurz	A	ADJA	Pos|Masc|Dat|Pl|_|	7	attr	_	_
7	Sätzen	Satz	N	NN	Masc|Dat|Pl	4	pn	_	_
8	immer	immer	A	ADV	_	9	adv	_	_
9	weiter	weiter	A	ADV	_	10	adv	_	_
10	perorierte	perorierte	V	VVIZU	_	0	root	_	_
11	,	,	$	$,	_	0	root	_	_
12	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
13	er	er	P	PPER	3|Sg|Masc|Nom	12	subj	13	13
14	aus	aus	P	APPR	Dat	21	objp	_	_
15	einem	eine	A	ART	Indef|Masc|Dat|Sg	16	det	_	_
16	Kasten	Kasten	N	NN	Masc|Dat|Sg	14	pn	_	_
17	seines	seine	A	PPOSAT	Masc|Gen|Sg	18	det	13	13
18	Arbeitstisches	Arbeitstisch	N	NN	Masc|Gen|Sg	16	gmod	_	_
19	ein	eine	A	ART	Indef|Neut|_|Sg	20	det	_	_
20	Stemmeisen	Stemmeisen	N	NN	Neut|_|Sg	21	obja	_	_
21	herausgenommen	herausnehmen	V	VVPP	_	12	neb	_	_
22	und	und	K	KON	_	12	kon	_	_
23	hantierte	hantieren	V	VVFIN	_|Sg|Past|_	22	cj	_	_
24	damit	damit	P	PROAV	_	23	objp	_	_
25	,	,	$	$,	_	0	root	_	_
26	als	als	K	KOUS	_	31	konj	_	_
27	die	die	A	ART	Def|Fem|Nom|Sg	28	det	73	73
28	Kiste	Kiste	N	NN	Fem|Nom|Sg	31	subj	73	73
29	hereingebracht	hereinbringen	V	VVPP	_	30	aux	_	_
30	worden	werden	V	VAPP	_	31	aux	_	_
31	war	sein	V	VAFIN	3|Sg|Past|Ind	23	neb	_	_
32	,	,	$	$,	_	0	root	_	_
33	so	so	A	ADV	_	34	adv	_	_
34	vertraut	vertraut	A	ADJD	Pos|	37	adv	_	_
35	und	und	K	KON	_	34	kon	_	_
36	so	so	A	ADV	_	35	cj	_	_
37	geschickt	schicken	V	VVPP	_	31	neb	_	_
38	,	,	$	$,	_	0	root	_	_
39	als	als	K	KOKOM	_	0	root	_	_
40	ob	ob	K	KOUS	_	51	konj	_	_
41	es	es	P	PPER	3|Sg|Neut|Nom	51	subj	_	_
42	ein	eine	A	ART	Indef|Masc|Nom|Sg	43	det	_	_
43	Korkzieher	Korkzieher	N	NN	Masc|Nom|Sg	50	pred	_	_
44	oder	oder	K	KON	_	43	kon	_	_
45	irgendein	irgendeine	A	PIAT	Neut|Nom|Sg	47	det	_	_
46	anderes	anderes	A	ADJA	_|Neut|Nom|Sg|_	47	attr	_	_
47	Werkzeug	Werkzeug	N	NN	Neut|Nom|Sg	44	cj	_	_
48	alltäglicher	alltäglich	A	ADJA	Pos|Fem|Gen|Sg|St|	49	attr	_	_
49	Benutzung	Benutzung	N	NN	Fem|Gen|Sg	47	gmod	_	_
50	gewesen	sein	V	VAPP	_	51	aux	_	_
51	wäre	sein	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
52	.	.	$	$.	_	0	root	_	_

1	Mit	mit	P	APPR	Dat	3	pp	_	_
2	Leichtigkeit	Leichtigkeit	N	NN	Fem|Dat|Sg	1	pn	_	_
3	hob	heben	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	er	er	P	PPER	3|Sg|Masc|Nom	3	subj	13	13
5	den	die	A	ART	Def|Masc|Acc|Sg	6	det	663	663
6	Deckel	Deckel	N	NN	Masc|Acc|Sg	3	obja	663	663
7	ab	ab	P	PTKVZ	_	3	avz	_	_
8	und	und	K	KON	_	0	root	_	_
9	setzte	setzen	V	VVFIN	3|Sg|Past|_	0	root	_	_
10	das	die	P	PDS	Neut|Nom|Sg	9	subj	_	_
11	daran	daran	P	PROAV	_	12	pp	75	75
12	angeschraubte	angeschraubt	A	ADJA	Pos|Neut|_|Sg|Wk|	13	attr	75	75
13	Bild	Bild	N	NN	Neut|_|Sg	9	obja	75	75
14	auf	auf	P	APPR	Acc	9	objp	_	_
15	ein	eine	A	ART	Indef|Neut|Acc|Sg	19	det	74	74
16	großes	groß	A	ADJA	Pos|Neut|Acc|Sg|St|	19	attr	74	74
17	,	,	$	$,	_	0	root	74	74
18	staffeleiartiges	staffeleiartig	A	ADJA	Pos|Neut|Acc|Sg|St|	16	kon	74	74
19	Gestell	Gestell	N	NN	Neut|Acc|Sg	14	pn	74	74
20	,	,	$	$,	_	0	root	_	_
21	das	die	P	PRELS	Neut|_|Sg	0	root	74	74
22	er	er	P	PPER	3|Sg|Masc|Nom	0	root	13	13
23	schon	schon	A	ADV	_	25	adv	_	_
24	vorher	vorher	A	ADV	_	25	adv	_	_
25	aus	aus	P	APPR	Dat	0	root	_	_
26	einer	eine	A	ART	Indef|Fem|_|Sg	0	root	_	_
27	der	die	A	ART	Def|_|_|_	0	root	_	_
28	Zimmerecken	Zimmereck	N	NN	Neut|Nom|Sg	32	subj	_	_
