1	Weihnachten	Weihnachten	N	NN	_|Nom|Sg	2	subj	2003	2003
2	rückte	rücken	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	heran	heran	P	PTKVZ	_	2	avz	_	_
4	und	und	K	KON	_	2	kon	_	_
5	schon	schon	A	ADV	_	8	adv	_	_
6	die	die	A	ART	Def|Fem|_|Sg	8	det	_	_
7	ganze	ganz	A	ADJA	Pos|Fem|_|Sg|_|	8	attr	_	_
8	Woche	Woche	N	NN	Fem|_|Sg	9	grad	_	_
9	vorher	vorher	A	ADV	_	10	adv	_	_
10	hieß	heißen	V	VVFIN	3|Sg|Past|Ind	4	cj	_	_
11	es	es	P	PPER	3|Sg|Neut|Nom	10	subj	_	_
12	:	\:	$	$.	_	0	root	_	_
13	»	»	$	$(	_	0	root	_	_
14	Aber	aber	K	KON	_	0	root	_	_
15	diesmal	diesmal	A	ADV	_	16	adv	_	_
16	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
17	es	es	P	PPER	3|Sg|Neut|Nom	16	subj	_	_
18	eine	eine	A	ART	Indef|Fem|Nom|Sg	19	det	_	_
19	Freude	Freude	N	NN	Fem|Nom|Sg	20	pred	_	_
20	sein	sein	V	VAINF	_	16	aux	_	_
21	,	,	$	$,	_	0	root	_	_
22	...	...	$	$.	_	0	root	_	_
23	so	so	A	ADV	_	24	adv	_	_
24	was	was	A	PIAT	Neut|_|Sg	25	det	_	_
25	Schönes	Schönes	N	NN	Neut|_|Sg	0	root	_	_
26	«	«	$	$(	_	0	root	_	_
27	,	,	$	$,	_	0	root	_	_
28	und	und	K	KON	_	0	root	_	_
29	wenn	wenn	K	KOUS	_	34	konj	_	_
30	ich	ich	P	PPER	1|Sg|_|Nom	34	subj	1884	1884
31	dann	dann	A	ADV	_	33	adv	_	_
32	mehr	mehr	A	ADV	_	33	adv	_	_
33	wissen	wissen	V	VVINF	_	34	aux	_	_
34	wollte	wollen	V	VMFIN	1|Sg|Past|_	36	neb	_	_
35	,	,	$	$,	_	0	root	_	_
36	setzte	setzen	V	VVFIN	3|Sg|Past|_	28	cj	_	_
37	die	die	A	ART	Def|Fem|Nom|Sg	39	det	845	845
38	gute	gut	A	ADJA	Pos|Fem|Nom|Sg|_|	39	attr	845	845
39	Schröder	Schröder	N	NE	Fem|Nom|Sg	36	subj	845	845
40	hinzu	hinzu	P	PTKVZ	_	36	avz	_	_
41	:	\:	$	$.	_	0	root	_	_
42	»	»	$	$(	_	0	root	_	_
43	Gerade	gerade	A	ADV	_	0	root	_	_
44	was	was	P	PWS	Neut|_|Sg	47	obja	_	_
45	du	du	P	PPER	2|Sg|_|Nom	48	subj	_	_
46	dir	du	P	PPER	2|Sg|_|Dat	47	objd	_	_
47	gewünscht	wünschen	V	VVPP	_	48	aux	_	_
48	hast	haben	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
49	...	...	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	2	det	436	436
2	Mama	Mama	N	NN	Fem|Nom|Sg	3	subj	436	436
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	viel	viel	A	ADV	_	6	adv	_	_
5	zu	zu	P	PTKA	_	6	adv	_	_
6	gut	gut	A	ADJD	Pos|	3	pred	_	_
7	;	;	$	$.	_	0	root	_	_
8	denn	denn	K	KON	_	0	root	_	_
9	eigentlich	eigentlich	A	ADV	_	10	adv	_	_
10	seid	sein	V	VAFIN	2|Pl|Pres|Ind	8	cj	_	_
11	ihr	ihr	P	PPER	2|Pl|_|Nom	10	subj	_	_
12	doch	doch	A	ADV	_	10	adv	_	_
13	bloß	bloß	A	ADV	_	10	adv	_	_
14	Rangen	Range	N	NN	Fem|Nom|Pl	10	pred	_	_
15	.	.	$	$.	_	0	root	_	_
16	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Aber	aber	K	KON	_	0	root	_	_
3	was	was	P	PWS	Neut|_|Sg	4	obja	_	_
4	is	is	V	VVFIN	3|Sg|_|_	2	cj	_	_
5	es	es	P	PPER	3|Sg|Neut|Nom	4	subj	_	_
6	denn	denn	A	ADV	_	4	adv	_	_
7	?	?	$	$.	_	0	root	_	_
8	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Abwarten	Abwarten	N	NN	Neut|_|Sg	0	root	1917	1917
3	.	.	$	$.	_	0	root	_	_
4	«	«	$	$(	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	so	so	A	ADV	_	3	adv	_	_
3	fieberhaft	fieberhaft	A	ADJD	Pos|	4	adv	_	_
4	gespannt	gespannt	A	ADJD	Pos|	5	adv	_	_
5	sahen	sehen	V	VVFIN	1|Pl|Past|Ind	1	cj	_	_
6	wir	wir	P	PPER	1|Pl|_|Nom	5	subj	1885	1885
7	dem	die	A	ART	Def|Masc|Dat|Sg	8	det	_	_
8	Heiligabend	Heiligabend	N	NN	Masc|Dat|Sg	5	objd	_	_
9	entgegen	entgegen	P	PTKVZ	_	5	avz	_	_
10	.	.	$	$.	_	0	root	_	_

1	Endlich	endlich	A	ADJD	Pos|	2	pred	_	_
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	2	subj	7	7
4	da	da	A	ADV	_	2	adv	_	_
5	.	.	$	$.	_	0	root	_	_

1	Wie	Wie	P	PWAV	_	2	adv	_	_
2	herkömmlich	herkömmlich	A	ADJD	Pos|	3	adv	_	_
3	verbrachten	verbringen	V	VVFIN	1|Pl|Past|Ind	0	root	_	_
4	wir	wir	P	PPER	1|Pl|_|Nom	3	subj	1885	1885
5	die	die	A	ART	Def|Fem|_|Sg	6	det	1286	1286
6	Stunde	Stunde	N	NN	Fem|_|Sg	7	grad	1286	1286
7	vor	vor	P	APPR	Dat	3	pp	_	_
8	der	die	A	ART	Def|Fem|Dat|Sg	10	det	_	_
9	eigentlichen	eigentlich	A	ADJA	Pos|Fem|Dat|Sg|Wk|	10	attr	_	_
10	Bescherung	Bescherung	N	NN	Fem|Dat|Sg	7	pn	_	_
11	in	in	P	APPR	Dat	3	pp	_	_
12	dem	die	A	ART	Def|Neut|Dat|Sg	20	det	1886	1886
13	kleinen	klein	A	ADJA	Pos|Neut|Dat|Sg|Wk|	20	attr	1886	1886
14	,	,	$	$,	_	0	root	1886	1886
15	nach	nach	P	APPR	Dat	19	pp	1886	1886
16	dem	die	A	ART	Def|Masc|Dat|Sg	17	det	307	307
17	Garten	Garten	N	NN	Masc|Dat|Sg	15	pn	307	307
18	hinaus	hinaus	A	APZR	_	15	part	_	_
19	gelegenen	gelegen	A	ADJA	Pos|_|Dat|_|_|	13	kon	_	_
20	Wohnzimmer	Wohnzimmer	N	NN	Neut|Dat|Sg	11	pn	_	_
21	meines	meine	A	PPOSAT	Masc|Gen|Sg	22	det	1888	1888
22	Vaters	Vater	N	NN	Masc|Gen|Sg	20	gmod	_	_
23	,	,	$	$,	_	0	root	_	_
24	das	die	P	PRELS	Neut|Nom|Sg	28	subj	1886	1886
25	absichtlich	absichtlich	A	ADJD	Pos|	28	pred	_	_
26	ohne	ohne	P	APPR	Acc	28	objp	_	_
27	Licht	Licht	N	NN	Neut|Acc|Sg	26	pn	1805	1805
28	blieb	bleiben	V	VVFIN	3|Sg|Past|Ind	20	rel	_	_
29	,	,	$	$,	_	0	root	_	_
30	um	um	K	KOUI	_	46	konj	_	_
31	dann	dann	A	ADV	_	44	adv	_	_
32	den	die	A	ART	Def|Masc|Acc|Sg	34	det	1887	1887
33	brennenden	brennend	A	ADJA	Pos|Masc|Acc|Sg|_|<PPRES	34	attr	1887	1887
34	Weihnachtsbaum	Weihnachtsbaum	N	NN	Masc|Acc|Sg	44	obja	1887	1887
35	,	,	$	$,	_	0	root	1887	1887
36	den	die	P	PRELS	Masc|Acc|Sg	40	obja	1887	1887
37	meine	meine	A	PPOSAT	Fem|Nom|Sg	38	det	1888	1888
38	Mama	Mama	N	NN	Fem|Nom|Sg	40	subj	_	_
39	mittlerweile	mittlerweile	A	ADV	_	40	adv	_	_
40	zurechtmachte	zurechtmachen	V	VVFIN	3|Sg|Past|_	34	rel	_	_
41	,	,	$	$,	_	0	root	_	_
42	desto	desto	A	ADV	_	43	adv	_	_
43	glänzender	glänzend	A	ADJD	Comp|_	44	adv	_	_
44	erscheinen	erscheinen	V	VVINF	_	46	obji	_	_
45	zu	zu	P	PTKZU	_	46	part	_	_
46	lassen	lassen	V	VVINF	_	28	neb	_	_
47	.	.	$	$.	_	0	root	_	_

1	Mein	meine	A	PPOSAT	Masc|Nom|Sg	2	det	1888	1888
2	Vater	Vater	N	NN	Masc|Nom|Sg	3	subj	1889	1889
3	unterhielt	unterhalten	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	uns	wir	P	PPER	1|Pl|_|_	3	obja	1885	1885
5	während	während	P	APPR	_	3	pp	_	_
6	dieser	diese	A	PDAT	Fem|_|Sg	7	det	1107	1107
7	Dunkelstunde	Dunkelstunde	N	NN	Fem|_|Sg	5	pn	1107	1107
8	,	,	$	$,	_	0	root	_	_
9	so	so	A	ADV	_	10	adv	_	_
10	gut	gut	A	ADJD	Pos|	11	adv	_	_
11	er	er	P	PPER	3|Sg|Masc|Nom	12	subj	1889	1889
12	konnte	können	V	VMFIN	3|Sg|Past|Ind	3	kon	_	_
13	,	,	$	$,	_	0	root	_	_
14	was	was	P	PRELS	Neut|Nom|Sg	18	subj	_	_
15	ihm	er	P	PPER	3|Sg|_|Dat	18	objd	1889	1889
