1	Ach	ach	I	ITJ	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	Kind	Kind	N	NN	Neut|_|Sg	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	Sie	sie	P	PPER	3|Pl|_|Nom	6	subj	894	894
6	glauben	glauben	V	VVFIN	3|Pl|Pres|_	3	par	_	_
7	gar	gar	A	ADV	_	8	adv	_	_
8	nicht	nicht	P	PTKNEG	_	6	adv	_	_
9	,	,	$	$,	_	0	root	_	_
10	was	was	P	PWS	Neut|_|Sg	14	obja	_	_
11	jetzt	jetzt	A	ADV	_	14	adv	_	_
12	alles	alle	P	PIS	Neut|Nom|Sg	14	subj	_	_
13	so	so	A	ADV	_	14	adv	_	_
14	mitläuft	mitlaufen	V	VVFIN	3|Sg|Pres|Ind	3	rel	_	_
15	;	;	$	$.	_	0	root	_	_
16	nu	nu	A	ADV	_	17	adv	_	_
17	ja	ja	A	ADV	_	0	root	_	_
18	,	,	$	$,	_	0	root	_	_
19	sie	sie	P	PPER	3|Sg|Fem|Nom	20	subj	893	893
20	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
21	'	'	$	$(	_	0	root	_	_
22	ne	ne	A	ADJD	_	20	adv	_	_
23	hübsche	hübsch	A	ADJA	Pos|Fem|_|Sg|_|	24	attr	_	_
24	Figur	Figur	N	NN	Fem|_|Sg	20	obja	_	_
25	und	und	K	KON	_	20	kon	_	_
26	hält	halten	V	VVFIN	3|Sg|Pres|Ind	25	cj	_	_
27	auf	auf	P	APPR	_	26	pp	_	_
28	ihre	ihre	A	PPOSAT	Masc|Nom|Sg	29	det	893	893
29	Handschuh	Handschuh	N	NN	Masc|Nom|Sg	27	pn	_	_
30	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	sie	sie	P	PPER	3|Sg|Fem|Nom	3	subj	893	893
3	sollte	sollen	V	VMFIN	3|Sg|Past|_	1	cj	_	_
4	lieber	lieb	A	ADJD	Comp|	3	adv	_	_
5	auf	auf	P	APPR	Acc	8	objp	_	_
6	was	was	P	PWS	Neut|Acc|Sg	5	pn	_	_
7	andres	andere	P	PIS	Neut|Acc|Sg	6	app	_	_
8	halten	halten	V	VVFIN	_|Pl|Pres|_	3	objc	_	_
