1	Zehn	zehn	C	CARD	_	2	attr	_	_
2	Minuten	Minute	N	NN	Fem|Dat|Pl	3	objd	_	_
3	harrte	harren	V	VVFIN	1|Sg|Past|_	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	168	168
5	vor	vor	P	APPR	Dat	3	pp	_	_
6	dem	die	A	ART	Def|_|Dat|Sg	7	det	173	173
7	Tor	Tor	N	NN	_|Dat|Sg	5	pn	173	173
8	klopfenden	klopfend	A	ADJA	Pos|Neut|Gen|Sg|_|<PPRES	9	attr	452	452
9	Herzens	Herzen	N	NN	Neut|Gen|Sg	7	gmod	173	173
10	.	.	$	$.	_	0	root	_	_

1	Was	was	P	PWS	Neut|_|Sg	2	obja	_	_
2	sagen	sagen	V	VVFIN	_|Pl|Pres|_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	wenn	wenn	K	KOUS	_	9	konj	_	_
5	er	er	P	PPER	3|Sg|Masc|Nom	9	subj	12	12
6	nach	nach	P	APPR	Dat	9	pp	_	_
7	meinen	meine	A	PPOSAT	_|Dat|Pl	8	det	168	168
8	Studien	Studie	N	NN	_|Dat|Pl	6	pn	_	_
9	fragte	fragen	V	VVFIN	3|Sg|Past|_	2	neb	_	_
10	,	,	$	$,	_	0	root	_	_
11	wie	wie	P	PWAV	_	13	adv	_	_
12	ihm	er	P	PPER	3|Sg|_|Dat	13	objd	12	12
13	bekennen	bekennen	V	VVFIN	_|Pl|Pres|_	9	objc	_	_
14	,	,	$	$,	_	0	root	_	_
15	daß	daß	K	KOUS	_	25	konj	_	_
16	alles	alle	A	PIDAT	Neut|Nom|Sg	17	det	_	_
17	Dichterische	Dichterisch	N	NN	Neut|Nom|Sg	25	subj	_	_
18	weder	weder	K	KON	_	20	kon	_	_
19	meine	meine	A	PPOSAT	Fem|_|Sg	20	det	168	168
20	Arbeit	Arbeit	N	NN	Fem|_|Sg	25	obja	_	_
21	noch	noch	K	KON	_	20	kon	_	_
22	meine	meine	A	PPOSAT	_|_|_	23	det	168	168
23	Mußestunden	Mußestunde	N	NN	_|_|_	21	cj	_	_
24	je	je	A	ADV	_	25	adv	_	_
25	beschäftigt	beschäftigen	V	VVFIN	3|Sg|Pres|Ind	13	objc	_	_
26	?	?	$	$.	_	0	root	_	_

1	Würde	werden	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
2	er	er	P	PPER	3|Sg|Masc|Nom	1	subj	173	173
3	mich	ich	P	PPER	1|Sg|_|Acc	5	obja	168	168
4	nicht	nicht	P	PTKNEG	_	5	adv	_	_
5	mißachten	mißachten	V	VVINF	_	1	aux	_	_
6	oder	oder	K	KON	_	1	kon	_	_
7	am	an	P	APPRART	Dat	11	pp	_	_
8	Ende	Ende	N	NN	Neut|Dat|Sg	7	pn	_	_
9	von	von	P	APPR	_	8	pp	_	_
10	vornherein	vornherein	A	ADV	_	9	adv	_	_
11	ausschließen	ausschließen	V	VVFIN	_|Pl|Pres|_	6	cj	_	_
12	aus	aus	P	APPR	Dat	11	pp	_	_
13	jenem	jene	A	PDAT	Masc|Dat|Sg	15	det	174	174
14	feurigen	feurig	A	ADJA	Pos|Masc|Dat|Sg|Wk|	15	attr	174	174
15	Kreis	Kreis	N	NN	Masc|Dat|Sg	12	pn	174	174
16	,	,	$	$,	_	0	root	174	174
17	der	die	P	PRELS	Fem|Dat|Sg	21	objd	173	173
