1	Willst	wollen	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
2	du	du	P	PPER	2|Sg|_|Nom	1	subj	352	352
3	also	also	A	ADV	_	1	adv	_	_
4	,	,	$	$,	_	0	root	_	_
5	Esther	Esther	N	NE	Fem|_|Sg	1	vok	349	349
6	?	?	$	$.	_	0	root	_	_
7	«	«	$	$(	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	16	16
2	hielt	halten	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	ihr	ihr	P	PPER	3|Sg|Fem|Dat	2	objd	353	353
4	seine	seine	A	PPOSAT	Fem|_|Sg	7	det	16	16
5	große	groß	A	ADJA	Pos|Fem|_|Sg|_|	7	attr	354	354
6	gebräunte	gebräunt	A	ADJA	Pos|Fem|_|Sg|_|	7	attr	354	354
7	Bauernhand	Bauernhand	N	NN	Fem|_|Sg	2	obja	354	354
8	einladend	einladen	A	ADJD	_|<PPRES	2	adv	_	_
9	entgegen	entgegen	P	PTKVZ	_	2	avz	_	_
10	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	354	354
2	zögerte	zögern	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	einen	eine	A	ART	Indef|Masc|Acc|Sg	4	det	_	_
4	Augenblick	Augenblick	N	NN	Masc|Acc|Sg	2	obja	_	_
5	,	,	$	$,	_	0	root	_	_
6	dann	dann	A	ADV	_	7	adv	_	_
7	legte	legen	V	VVFIN	3|Sg|Past|_	2	kon	_	_
8	sie	sie	P	PPER	3|Sg|Fem|Nom	7	subj	354	354
9	verschämt	verschämen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
10	und	und	K	KON	_	0	root	_	_
11	wortlos	wortlos	A	ADJD	Pos|	15	adv	_	_
12	ihre	ihre	A	PPOSAT	Fem|_|Sg	15	det	354	354
13	kleine	klein	A	ADJA	Pos|Fem|_|Sg|_|	15	attr	_	_
14	weiße	weiß	A	ADJA	Pos|Fem|_|Sg|_|	15	attr	_	_
15	Hand	Hand	N	NN	Fem|_|Sg	10	cj	_	_
16	zustimmend	zustimmen	A	ADJD	_|<PPRES	20	adv	355	355
17	in	in	P	APPR	Acc	16	pp	355	355
18	die	die	P	PDS	_|Acc|_	17	pn	355	355
19	des	die	A	ART	Def|Masc|Gen|Sg	20	det	355	355
20	Malers	Maler	N	NN	Masc|Gen|Sg	15	gmod	355	355
21	,	,	$	$,	_	0	root	355	355
22	die	die	P	PRELS	_|Nom|_	28	subj	355	355
23	sich	sie	P	PRF	3|_|_	28	obja	_	_
24	eine	eine	A	ART	Indef|Fem|Acc|Sg	25	det	_	_
25	Sekunde	Sekunde	N	NN	Fem|Acc|Sg	26	pn	_	_
26	lang	lang	P	APPO	Acc	28	pp	_	_
27	darum	darum	P	PROAV	_	28	pp	_	_
28	schloß	schloß	V	VVFIN	_|_|_|_	18	rel	_	_
29	,	,	$	$,	_	0	root	_	_
30	wie	wie	P	PWAV	_	0	root	_	_
31	um	um	P	APPR	Acc	0	root	_	_
32	eine	eine	A	ART	Indef|Fem|Acc|Sg	34	det	_	_
33	gefangene	gefangen	A	ADJA	Pos|Fem|Acc|Sg|_|	34	attr	_	_
34	Beute	Beute	N	NN	Fem|Acc|Sg	31	pn	_	_
35	.	.	$	$.	_	0	root	_	_

1	Dann	dann	A	ADV	_	2	adv	_	_
2	gab	geben	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	2	subj	355	355
4	sie	sie	P	PPER	3|_|_|_	2	obja	354	354
5	mit	mit	P	APPR	Dat	2	pp	_	_
6	freundlichem	freundlich	A	ADJA	Pos|Masc|Dat|Sg|St|	7	attr	_	_
7	Blick	Blick	N	NN	Masc|Dat|Sg	5	pn	_	_
8	frei	frei	P	PTKVZ	_	2	avz	_	_
9	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	264	264
2	Wirt	Wirt	N	NN	Masc|Nom|Sg	3	subj	264	264
3	staunte	staunen	V	VVFIN	3|Sg|Past|_	0	root	_	_
4	über	über	P	APPR	Acc	3	objp	_	_
5	den	die	A	ART	Def|Masc|Acc|Sg	9	det	_	_
6	so	so	A	ADV	_	8	adv	_	_
7	rasch	rasch	A	ADJD	Pos|	8	adv	_	_
8	abgeschlossenen	abgeschlossen	A	ADJA	Pos|Masc|Acc|Sg|_|	9	attr	_	_
9	Handel	Handel	N	NN	Masc|Acc|Sg	4	pn	_	_
10	und	und	K	KON	_	3	kon	_	_
11	rief	rufen	V	VVFIN	_|Sg|Past|Ind	10	cj	_	_
12	einige	einige	A	PIAT	Masc|_|Pl	13	det	_	_
13	Matrosen	Matrose	N	NN	Masc|_|Pl	11	obja	_	_
14	von	von	P	APPR	Dat	13	pp	_	_
15	den	die	A	ART	Def|_|Dat|Pl	16	det	_	_
16	Tischen	Tisch	N	NN	_|Dat|Pl	14	pn	_	_
17	herbei	herbei	P	PTKVZ	_	11	avz	_	_
18	,	,	$	$,	_	0	root	_	_
19	um	um	K	KOUI	_	25	konj	_	_
20	ihnen	sie	P	PPER	3|Pl|_|Dat	25	objd	_	_
21	das	die	A	ART	Def|Neut|_|Sg	23	det	_	_
22	seltsame	seltsam	A	ADJA	Pos|Neut|_|Sg|Wk|	23	attr	_	_
23	Geschehnis	Geschehnis	N	NN	Neut|_|Sg	25	obja	_	_
24	zu	zu	P	PTKZU	_	25	part	_	_
25	zeigen	zeigen	V	VVINF	_	11	neb	_	_
26	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	das	die	A	ART	Def|Neut|Nom|Sg	3	det	356	356
3	Mädchen	Mädchen	N	NN	Neut|Nom|Sg	13	subj	356	356
4	,	,	$	$,	_	0	root	356	356
5	das	die	P	PRELS	Neut|Nom|Sg	7	subj	356	356
6	sich	sie	P	PRF	3|_|_	7	obja	_	_
7	verschämt	verschämen	V	VVFIN	3|Sg|Pres|Ind	3	rel	_	_
8	im	in	P	APPRART	Dat	13	pp	_	_
9	Mittelpunkt	Mittelpunkt	N	NN	Masc|Dat|Sg	8	pn	_	_
10	der	die	A	ART	Def|Fem|Gen|Sg	12	det	_	_
11	allgemeinen	allgemein	A	ADJA	Pos|Fem|Gen|Sg|Wk|	12	attr	_	_
12	Aufmerksamkeit	Aufmerksamkeit	N	NN	Fem|Gen|Sg	9	gmod	_	_
