1	Oh	oh	I	ITJ	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	der	die	A	ART	Def|Masc|Nom|Sg	4	det	104	104
4	Herr	Herr	N	NN	Masc|Nom|Sg	0	root	104	104
5	Standhartner	Standhartner	N	NE	Masc|Nom|Sg	4	app	104	104
6	,	,	$	$,	_	0	root	_	_
7	o	o	A	ADJD	_	9	adv	_	_
8	mein	meine	A	PPOSAT	Masc|Nom|Sg	9	det	117	117
9	Gott	Gott	N	NN	Masc|Nom|Sg	5	app	_	_
10	,	,	$	$,	_	0	root	_	_
11	der	die	P	PDS	Masc|Nom|Sg	12	subj	_	_
12	habe	haben	V	VAFIN	3|Sg|Pres|Subj	0	root	_	_
13	längst	längst	A	ADV	_	16	adv	_	_
14	das	die	A	ART	Def|Neut|_|Sg	15	det	123	123
15	Café	Café	N	NN	Neut|_|Sg	16	obja	123	123
16	verkauft	verkaufen	V	VVPP	_	12	aux	_	_
17	,	,	$	$,	_	0	root	_	_
18	der	die	P	PDS	Masc|Nom|Sg	19	subj	_	_
19	sei	sein	V	VAFIN	3|Sg|Pres|Subj	12	kon	_	_
20	gestorben	sterben	V	VVPP	_	19	aux	_	_
21	,	,	$	$,	_	0	root	_	_
22	und	und	K	KON	_	0	root	_	_
23	der	die	A	ART	Def|Masc|Nom|Sg	25	det	119	119
24	alte	alt	A	ADJA	Pos|Masc|Nom|Sg|Wk|	25	attr	119	119
25	Oberkellner	Oberkellner	N	NN	Masc|Nom|Sg	22	cj	119	119
26	,	,	$	$,	_	0	root	119	119
27	der	die	P	PRELS	Masc|Nom|Sg	28	subj	119	119
28	lebe	leben	V	VVFIN	3|Sg|Pres|Subj	25	rel	_	_
29	jetzt	jetzt	A	ADV	_	28	adv	_	_
30	auf	auf	P	APPR	Dat	28	pp	_	_
31	seinem	seine	A	PPOSAT	_|Dat|Sg	32	det	119	119
32	Gütel	Gütel	N	NN	_|Dat|Sg	30	pn	_	_
33	bei	bei	P	APPR	Dat	28	pp	_	_
34	Krems	Krem	N	NN	Fem|Dat|Pl	33	pn	_	_
35	.	.	$	$.	_	0	root	_	_

