1	Berlin	Berlin	N	NE	_|_|Sg	8	vok	305	305
2	,	,	$	$,	_	0	root	_	_
3	den	die	A	ART	Def|Masc|Acc|Sg	5	det	21	21
4	3.	3.	A	ADJA	_|Masc|Acc|Sg|_|	5	attr	21	21
5	Mai	Mai	N	NN	Masc|Acc|Sg	8	obja		

1	Ma	Ma	N	NE	_	0	root	501	501
2	chère	chère	N	NE	_	1	app	501	501
3	Lisette	Lisette	N	NE	_	2	app	501	501
4	.	.	$	$.	_	0	root	_	_

1	Wie	Wie	P	PWAV	_	2	adv	_	_
2	froh	froh	A	ADJD	Pos|	3	adv	_	_
3	war	sein	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	3	pred	452	452
5	,	,	$	$,	_	0	root	_	_
6	endlich	endlich	A	ADJD	Pos|	10	adv	_	_
7	von	von	P	APPR	Dat	10	pp	_	_
8	Dir	du	P	PPER	2|Sg|_|Dat	7	pn	_	_
9	zu	zu	P	PTKZU	_	10	part	_	_
10	hören	hören	V	VVINF	_	3	subjc	_	_
11	,	,	$	$,	_	0	root	_	_
12	und	und	K	KON	_	0	root	_	_
13	so	so	A	ADV	_	14	adv	_	_
14	Gutes	Gut	N	NN	Neut|_|Sg	12	cj	_	_
15	.	.	$	$.	_	0	root	_	_

1	Nicht	nicht	P	PTKNEG	_	2	adv	_	_
2	als	als	K	KOKOM	_	0	root	_	_
3	ob	ob	K	KOUS	_	8	konj	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	8	subj	452	452
5	es	es	P	PPER	3|Sg|Neut|_	7	obja	_	_
6	anders	anders	A	ADV	_	7	adv	_	_
7	erwartet	erwarten	V	VVPP	_	8	aux	_	_
8	hätte	haben	V	VAFIN	1|Sg|Past|Subj	0	root	_	_
9	;	;	$	$.	_	0	root	_	_
10	wenige	wenige	A	PIDAT	Masc|_|Pl	11	det	453	453
11	Männer	Mann	N	NN	Masc|_|Pl	14	obja	453	453
12	hab	hab	V	VAFIN	1|Sg|_|_	0	root	453	453
13	ich	ich	P	PPER	1|Sg|_|Nom	12	subj	452	452
14	kennengelernt	kennengelernt	V	VVPP	_	12	aux	_	_
15	,	,	$	$,	_	0	root	_	_
16	die	die	P	PRELS	Masc|Nom|Pl	26	subj	453	453
17	mir	ich	P	PPER	1|Sg|_|Dat	26	objd	452	452
18	so	so	A	ADV	_	21	adv	_	_
19	ganz	ganz	A	ADV	_	21	adv	_	_
20	eine	eine	A	ART	Indef|Fem|_|Sg	21	det	_	_
21	Garantie	Garantie	N	NN	Fem|_|Sg	25	obja	_	_
22	des	die	A	ART	Def|Neut|Gen|Sg	23	det	454	454
23	Glückes	Glück	N	NN	Neut|Gen|Sg	21	gmod	454	454
24	zu	zu	P	PTKZU	_	25	part	_	_
25	bieten	bieten	V	VVINF	_	26	obji	_	_
26	scheinen	scheinen	V	VVFIN	3|Pl|Pres|_	11	rel	_	_
27	wie	wie	K	KOKOM	_	26	kom	_	_
28	der	die	A	ART	Def|_|_|_	29	det	_	_
29	Deinige	Deinige	N	NN	_|_|_	27	cj	_	_
30	.	.	$	$.	_	0	root	_	_

1	Gesund	gesund	A	ADJD	Pos|	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	wohlwollend	wohlwollen	A	ADJD	_|<PPRES	1	kon	_	_
4	,	,	$	$,	_	0	root	_	_
5	anspruchslos	anspruchslos	A	ADJD	Pos|	3	kon	_	_
6	und	und	K	KON	_	5	kon	_	_
7	von	von	P	APPR	Dat	6	cj	_	_
8	jenem	jene	A	PDAT	_|Dat|Sg	10	det	_	_
9	schönen	schön	A	ADJA	Pos|_|_|_|_|	10	attr	_	_
10	Wissens-	Wissens-	T	TRUNC	Neut|Dat|Sg	7	pn	_	_
11	und	und	K	KON	_	10	kon	_	_
12	Bildungsmaß	Bildungsmaß	N	NN	Neut|_|Sg	11	cj	455	455
13	,	,	$	$,	_	0	root	455	455
14	das	die	P	PRELS	Neut|Nom|Sg	21	subj	455	455
15	ein	eine	A	ART	Indef|_|_|Sg	17	det	_	_
16	gleich	gleich	A	ADJD	Pos|	17	adv	_	_
17	gefährliches	gefährlich	A	ADJA	Neut|_|Sg	21	obja	_	_
18	Zuviel	zuviel	A	ADV	_	17	adv	_	_
19	und	und	K	KON	_	17	kon	_	_
20	Zuwenig	zuwenig	P	PIS	_	19	cj	_	_
21	vermeidet	vermeiden	V	VVFIN	3|Sg|Pres|Ind	12	rel	_	_
22	.	.	$	$.	_	0	root	_	_

1	Wobei	Wobei	P	PWAV	_	0	root	_	_
2	ein	eine	A	ART	Indef|_|_|Sg	0	root	_	_
3	»	»	$	$(	_	0	root	_	_
4	Zuviel	zuviel	A	ADV	_	10	adv	_	_
5	«	«	$	$(	_	0	root	_	_
6	das	die	P	PDS	Neut|Nom|Sg	10	subj	_	_
7	vielleicht	vielleicht	A	ADV	_	10	adv	_	_
8	noch	noch	A	ADV	_	10	adv	_	_
9	Gefährlichere	Gefährlichere	N	NN	_|Nom|_	10	pred	_	_
10	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
11	.	.	$	$.	_	0	root	_	_

1	Denn	denn	K	KON	_	0	root	_	_
2	junge	jung	A	ADJA	Pos|Fem|Nom|Pl|St|	3	attr	456	456
3	Frauen	Frau	N	NN	Fem|Nom|Pl	4	subj	456	456
4	sind	sein	V	VAFIN	3|Pl|Pres|Ind	1	cj	_	_
5	nur	nur	A	ADV	_	4	adv	_	_
6	zu	zu	P	PTKA	_	7	adv	_	_
7	geneigt	geneigt	A	ADJD	Pos|	4	pred	_	_
8	,	,	$	$,	_	0	root	_	_
9	die	die	A	ART	Def|Fem|_|Sg	10	det	_	_
10	Forderung	Forderung	N	NN	Fem|_|Sg	12	obja	_	_
11	zu	zu	P	PTKZU	_	12	part	_	_
12	stellen	stellen	V	VVINF	_	4	obji	_	_
13	:	\:	$	$.	_	0	root	_	_
14	»	»	$	$(	_	0	root	_	_
15	Du	du	P	PPER	2|Sg|_|Nom	16	subj	458	458
16	sollst	sollen	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
17	keine	keine	A	PIAT	Masc|_|Pl	19	det	_	_
18	andren	andere	A	PIDAT	Masc|_|Pl	19	attr	_	_
19	Götter	Gott	N	NN	Masc|_|Pl	20	obja	_	_
20	haben	haben	V	VAINF	_	16	aux	_	_
21	neben	neben	P	APPR	Dat	20	pp	_	_
22	mir	ich	P	PPER	1|Sg|_|Dat	21	pn	452	452
23	.	.	$	$.	_	0	root	_	_
24	«	«	$	$(	_	0	root	_	_
25	Ich	ich	P	PPER	1|Sg|_|Nom	26	subj	452	452
26	sehe	sehen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
27	das	die	P	PDS	Neut|_|Sg	26	obja	_	_
28	beinah	beinah	A	ADV	_	26	adv	_	_
29	täglich	täglich	A	ADJD	Pos|	26	adv	_	_
30	bei	bei	P	APPR	Dat	26	pp	_	_
31	Rombergs	Romberg	N	NN	Masc|Gen|Sg	30	pn	_	_
32	,	,	$	$,	_	0	root	_	_
33	und	und	K	KON	_	0	root	_	_
34	Marie	Marie	N	NE	_	33	cj	_	_
35	weiß	wissen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
36	es	es	P	PPER	3|Sg|Neut|_	35	expl	_	_
37	ihrem	ihre	A	PPOSAT	Masc|Dat|Sg	41	det	456	456
38	klugen	klug	A	ADJA	Pos|Masc|Dat|Sg|Wk|	41	attr	_	_
39	und	und	K	KON	_	38	kon	_	_
40	liebenswürdigen	liebenswürdig	A	ADJA	Pos|_|Dat|_|_|	39	cj	_	_
41	Gatten	Gatte	N	NN	Masc|Dat|Sg	35	objd	_	_
42	wenig	wenig	A	PIDAT	Masc|Nom|Sg	43	det	457	457
43	Dank	Dank	N	NN	Masc|Nom|Sg	35	subj	457	457
44	,	,	$	$,	_	0	root	_	_
45	daß	daß	K	KOUS	_	56	konj	_	_
46	er	er	P	PPER	3|Sg|Masc|Nom	56	subj	457	457
47	über	über	P	APPR	Acc	56	pp	_	_
48	Politik	Politik	N	NN	Fem|Acc|Sg	47	pn	_	_
49	und	und	K	KON	_	48	kon	_	_
50	französische	französisch	A	ADJA	Pos|_|Acc|_|_|	51	attr	_	_
51	Zeitungen	Zeitung	N	NN	_|Acc|_	49	cj	_	_
52	die	die	A	ART	Def|Fem|_|Pl	53	det	_	_
53	Visiten	Visite	N	NN	Fem|_|Pl	56	obja	_	_
54	und	und	K	KON	_	53	kon	_	_
55	Toiletten	Toilette	N	NN	Fem|_|Pl	54	cj	_	_
56	vergißt	vergißt	V	VVFIN	3|Sg|_|_	35	objc	_	_
57	.	.	$	$.	_	0	root	_	_

1	Was	was	P	PWS	Neut|_|Sg	6	obja	_	_
2	mir	ich	P	PPER	1|Sg|_|Dat	6	objd	452	452
3	allein	allein	A	ADV	_	6	adv	_	_
4	eine	eine	A	ART	Indef|Fem|Nom|Sg	5	det	_	_
5	Sorge	Sorge	N	NN	Fem|Nom|Sg	6	subj	_	_
6	machte	machen	V	VVFIN	3|Sg|Past|_	8	objc	_	_
7	,	,	$	$,	_	0	root	_	_
8	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
9	Deine	deine	A	PPOSAT	Fem|Nom|Sg	12	det	458	458
10	neue	neu	A	ADJA	Pos|Fem|Nom|Sg|_|	12	attr	_	_
11	masurische	masurisch	A	ADJA	Pos|Fem|Nom|Sg|_|	12	attr	_	_
12	Heimat	Heimat	N	NN	Fem|Nom|Sg	8	subj	_	_
13	,	,	$	$,	_	0	root	_	_
14	ein	eine	A	ART	Indef|Neut|Nom|Sg	15	det	_	_
15	Stück	Stück	N	NN	Neut|Nom|Sg	12	app	_	_
16	Land	Land	N	NN	Neut|Nom|Sg	15	app	_	_
17	,	,	$	$,	_	0	root	_	_
18	das	die	P	PRELS	Neut|_|Sg	32	obja	_	_
19	ich	ich	P	PPER	1|Sg|_|Nom	33	subj	452	452
20	mir	ich	P	PRF	1|Sg|Dat	32	objd	_	_
21	immer	immer	A	ADV	_	32	adv	_	_
22	als	als	K	KOKOM	_	32	kom	_	_
23	einen	eine	A	ART	Indef|Masc|Acc|Sg	26	det	_	_
24	einzigen	einzig	A	ADJA	Pos|Masc|Acc|Sg|_|	26	attr	_	_
25	großen	groß	A	ADJA	Pos|Masc|Acc|Sg|_|	26	attr	_	_
26	Wald	Wald	N	NN	Masc|Acc|Sg	22	cj	_	_
27	mit	mit	P	APPR	Dat	32	pp	_	_
28	hundert	hundert	C	CARD	_	29	attr	_	_
29	Seen	See	N	NN	_|Dat|Pl	27	pn	_	_
30	und	und	K	KON	_	29	kon	_	_
31	Sümpfen	Sumpf	N	NN	Masc|Dat|Pl	30	cj	_	_
32	vorgestellt	vorstellen	V	VVPP	_	33	aux	_	_
33	habe	haben	V	VAFIN	1|Sg|Pres|_	16	rel	_	_
34	.	.	$	$.	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	dacht	dacht	V	VVFIN	1|Sg|_|_	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	452	452
4	denn	denn	A	ADV	_	2	adv	_	_
5	,	,	$	$,	_	0	root	_	_
6	diese	diese	A	PDAT	Fem|Nom|Sg	8	det	_	_
7	neue	neu	A	ADJA	Pos|Fem|Nom|Sg|_|	8	attr	_	_
8	Heimat	Heimat	N	NN	Fem|Nom|Sg	9	subj	_	_
9	könne	können	V	VMFIN	3|Sg|Pres|Subj	2	kon	_	_
10	Dich	Dich	N	NE	_	16	obja	505	505
11	leicht	leicht	A	ADJD	Pos|	16	adv	_	_
12	in	in	P	APPR	Acc	16	objp	_	_
13	ein	eine	A	ART	Indef|Neut|Acc|Sg	15	det	459	459
14	melancholisches	melancholisch	A	ADJA	Pos|Neut|Acc|Sg|St|	15	attr	459	459
15	Träumen	Traum	N	NN	Neut|Acc|Sg	12	pn	459	459
16	versetzen	versetzen	V	VVINF	_	9	aux	459	459
17	,	,	$	$,	_	0	root	459	459
18	das	die	P	PRELS	Neut|Nom|Sg	32	subj	459	459
19	dann	dann	A	ADV	_	32	adv	_	_
20	immer	immer	A	ADV	_	32	adv	_	_
21	der	die	A	ART	Def|Masc|Nom|Sg	22	det	460	460
22	Anfang	Anfang	N	NN	Masc|Nom|Sg	32	pred	460	460
23	zu	zu	P	APPR	Dat	32	pp	_	_
24	Heimweh	Heimweh	N	NN	Neut|Dat|Sg	23	pn	_	_
25	oder	oder	K	KON	_	23	kon	_	_
26	wohl	wohl	A	ADV	_	27	adv	_	_
27	gar	gar	A	ADV	_	25	cj	_	_
28	zu	zu	P	APPR	Dat	32	pp	_	_
29	Trauer	Trauer	N	NN	_|Dat|Sg	28	pn	_	_
30	und	und	K	KON	_	29	kon	_	_
31	Tränen	Träne	N	NN	Fem|Dat|Pl	30	cj	960	960
32	ist	sein	V	VAFIN	3|Sg|Pres|Ind	15	rel	_	_
33	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	davor	davor	P	PROAV	_	11	pp	_	_
3	,	,	$	$,	_	0	root	_	_
4	so	so	A	ADV	_	5	adv	_	_
5	hab	hab	V	VAFIN	1|Sg|_|_	2	par	_	_
6	ich	ich	P	PPER	1|Sg|_|Nom	5	subj	452	452
7	mir	ich	P	PRF	1|Sg|Dat	9	objd	_	_
8	sagen	sagen	V	VVINF	_	9	obji	_	_
9	lassen	lassen	V	VVINF	_	5	aux	_	_
10	,	,	$	$,	_	0	root	_	_
11	erschrecken	erschrecken	V	VVFIN	3|Pl|Pres|_	1	cj	_	_
12	die	die	A	ART	Def|Masc|Nom|Pl	13	det	453	453
13	Männer	Mann	N	NN	Masc|Nom|Pl	11	subj	453	453
14	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	452	452
3	sehe	sehen	V	VVFIN	1|Sg|Pres|_	1	cj	_	_
4	zu	zu	P	APPR	Dat	3	pp	_	_
5	meiner	meine	A	PPOSAT	Fem|Dat|Sg	7	det	452	452
6	herzlichen	herzlich	A	ADJA	Pos|Fem|Dat|Sg|Wk|	7	attr	_	_
7	Freude	Freude	N	NN	Fem|Dat|Sg	4	pn	_	_
8	,	,	$	$,	_	0	root	_	_
9	daß	daß	K	KOUS	_	15	konj	_	_
10	Du	du	P	PPER	2|Sg|_|Nom	15	subj	458	458
11	auch	auch	A	ADV	_	14	adv	_	_
12	dieser	diese	A	PDAT	Fem|Dat|Sg	13	det	461	461
13	Gefahr	Gefahr	N	NN	Fem|Dat|Sg	14	objd	461	461
14	entgangen	entgehen	V	VVPP	_	15	aux	_	_
15	bist	sein	V	VAFIN	2|Sg|Pres|Ind	3	objc	_	_
16	und	und	K	KON	_	0	root	_	_
17	daß	daß	K	KOUS	_	0	root	_	_
18	die	die	A	ART	Def|Fem|_|Pl	19	det	462	462
19	Birken	Birk	N	NN	Fem|_|Pl	0	root	462	462
20	,	,	$	$,	_	0	root	462	462
21	die	die	P	PRELS	Fem|Nom|Pl	31	subj	462	462
22	Dein	deine	A	PPOSAT	Neut|Nom|Sg	23	det	458	458
23	Schloß	Schloß	N	NN	Neut|Nom|Sg	31	pred	_	_
24	umstehn	umstehn	N	NE	Fem|Nom|Pl	23	app	_	_
25	,	,	$	$,	_	0	root	_	_
26	grüne	grün	A	ADJA	Pos|Fem|Nom|Pl|St|	27	attr	_	_
27	Pfingstmaien	Pfingstmaien	N	NN	Fem|Nom|Pl	24	kon	_	_
28	und	und	K	KON	_	27	kon	_	_
29	keine	keine	A	PIAT	Fem|Nom|Pl	30	det	_	_
30	Trauerbirken	Trauerbirke	N	NN	Fem|Nom|Pl	28	cj	_	_
31	sind	sein	V	VAFIN	3|Pl|Pres|Ind	19	rel	_	_
32	.	.	$	$.	_	0	root	_	_

1	Apropos	apropos	A	ADV	_	2	adv	_	_
2	über	über	P	APPR	Acc	5	pp	_	_
3	das	die	A	ART	Def|Neut|Acc|Sg	4	det	_	_
4	Birkenwasser	Birkenwasser	N	NN	Neut|Acc|Sg	2	pn	_	_
5	mußt	müssen	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
6	Du	du	P	PPER	2|Sg|_|Nom	5	subj	458	458
7	mir	ich	P	PPER	1|Sg|_|Dat	9	objd	452	452
8	gelegentlich	gelegentlich	A	ADJD	Pos|	9	adv	_	_
9	schreiben	schreiben	V	VVINF	_	5	aux	_	_
10	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	gehört	gehören	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	zu	zu	P	APPR	Dat	2	objp	_	_
4	den	die	A	ART	Def|Neut|Dat|Pl	5	det	463	463
5	Dingen	Ding	N	NN	Neut|Dat|Pl	3	pn	463	463
6	,	,	$	$,	_	0	root	463	463
7	die	die	P	PRELS	Neut|Nom|Pl	12	subj	463	463
8	mich	ich	P	PPER	1|Sg|_|Acc	11	obja	452	452
9	immer	immer	A	ADV	_	10	adv	_	_
10	neugierig	neugierig	A	ADJD	Pos|	11	pred	_	_
11	gemacht	machen	V	VVPP	_	12	aux	_	_
12	haben	haben	V	VAFIN	3|Pl|Pres|_	5	rel	_	_
13	und	und	K	KON	_	12	kon	_	_
14	die	die	A	ART	Def|Fem|Nom|Sg	15	det	_	_
15	kennenzulernen	kennenzulernen	N	NN	Fem|Nom|Sg	22	subj	_	_
16	mir	ich	P	PPER	1|Sg|_|Dat	21	objd	452	452
17	bis	bis	P	APPR	Acc	21	pp	_	_
18	diesen	diese	A	PDAT	Masc|Acc|Sg	19	det	464	464
19	Augenblick	Augenblick	N	NN	Masc|Acc|Sg	17	pn	464	464
20	versagt	versagt	A	ADJD	Pos|	21	pred	_	_
21	geblieben	bleiben	V	VVPP	_	22	aux	_	_
22	ist	sein	V	VAFIN	3|Sg|Pres|Ind	13	cj	_	_
23	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	nun	nun	A	ADV	_	3	adv	_	_
3	soll	sollen	V	VMFIN	1|Sg|Pres|Ind	1	cj	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	452	452
5	Dir	du	P	PPER	2|Sg|_|Dat	8	objd	458	458
6	über	über	P	APPR	_	8	pp	_	_
7	uns	wir	P	PPER	1|Pl|_|_	6	pn	465	465
8	berichten	berichten	V	VVINF	_	3	aux	_	_
9	.	.	$	$.	_	0	root	_	_

1	Du	du	P	PPER	2|Sg|_|Nom	0	root	458	458
2	frägst	frägst	A	ADV	_	3	adv	_	_
3	teilnehmend	teilnehmend	A	ADJD	Pos|<PPRES	0	root	_	_
4	nach	nach	P	APPR	Dat	3	pp	_	_
5	all	all	A	PIDAT	_|Dat|Sg	4	pn	_	_
6	und	und	K	KON	_	5	kon	_	_
7	jedem	jede	P	PIS	_|Dat|Sg	6	cj	_	_
8	und	und	K	KON	_	0	root	_	_
9	verlangst	verlangen	V	VVFIN	2|Sg|Pres|Ind	8	cj	_	_
10	sogar	sogar	A	ADV	_	9	adv	_	_
11	von	von	P	APPR	_	9	pp	_	_
12	Tante	Tante	N	NN	Fem|_|Sg	11	pn	298	298
13	Margueritens	Margueritens	N	NE	Fem|_|Sg	12	app	298	298
14	neuester	neu	A	ADJA	Sup|Fem|Gen|Sg|St|	15	attr	_	_
15	Prinzessin	Prinzessin	N	NN	Fem|Gen|Sg	13	gmod	_	_
16	und	und	K	KON	_	15	kon	_	_
17	neuester	neu	A	ADJA	Sup|Fem|Gen|Sg|St|	18	attr	_	_
