1	O	O	N	NN	Neut|_|_	5	vok	34	34
2	Franz	Franz	N	NE	_|_|Sg	1	app	34	34
3	,	,	$	$,	_	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	5	subj	173	173
5	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
6	ein	eine	A	ART	Indef|Neut|Nom|Sg	8	det	_	_
7	feiges	feig	A	ADJA	Pos|Neut|Nom|Sg|St|	8	attr	_	_
8	Geschöpf	Geschöpf	N	NN	Neut|Nom|Sg	5	pred	_	_
9	,	,	$	$,	_	0	root	_	_
10	aber	aber	K	KON	_	5	kon	_	_
11	mein	meine	A	PPOSAT	Masc|Nom|Sg	12	det	173	173
12	Leib	Leib	N	NN	Masc|Nom|Sg	13	subj	_	_
13	hat	haben	V	VAFIN	3|Sg|Pres|Ind	10	cj	_	_
14	nie	nie	A	ADV	_	17	adv	_	_
15	von	von	P	APPR	Dat	17	pp	_	_
16	Schmerz	Schmerz	N	NN	Masc|Dat|Sg	15	pn	_	_
17	gelitten	leiden	V	VVPP	_	13	aux	_	_
18	,	,	$	$,	_	0	root	_	_
19	so	so	A	ADV	_	20	konj	_	_
20	daß	daß	K	KOUS	_	34	konj	_	_
21	ich	ich	P	PPER	1|Sg|_|Nom	34	subj	173	173
22	,	,	$	$,	_	0	root	_	_
23	wenn	wenn	K	KOUS	_	25	konj	_	_
24	andere	andere	P	PIS	_|Nom|Pl	25	subj	_	_
25	klagten	klagen	V	VVFIN	3|Pl|Past|_	34	neb	_	_
26	,	,	$	$,	_	0	root	_	_
27	mir	ich	P	PPER	1|Sg|_|Dat	33	objd	173	173
28	oft	oft	A	ADV	_	33	adv	_	_
29	als	als	K	KOKOM	_	33	kom	_	_
30	eine	eine	A	ART	Indef|Fem|_|Sg	32	det	_	_
31	fast	fast	A	ADV	_	32	adv	_	_
32	Begnadete	Begnadete	N	NE	Fem|_|Sg	29	cj	_	_
33	erschienen	erscheinen	V	VVPP	_	34	aux	_	_
34	bin	sein	V	VAFIN	1|Sg|Pres|Ind	13	neb	_	_
35	;	;	$	$.	_	0	root	_	_
36	dafür	dafür	P	PROAV	_	38	pp	_	_
37	aber	aber	A	ADV	_	36	adv	_	_
38	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
39	ich	ich	P	PPER	1|Sg|_|Nom	38	subj	173	173
40	mit	mit	P	APPR	Dat	38	pp	_	_
41	einer	eine	A	ART	Indef|Fem|Dat|Sg	42	det	_	_
42	Todesangst	Todesangst	N	NN	Fem|Dat|Sg	40	pn	_	_
43	vor	vor	P	APPR	Dat	38	pp	_	_
44	aller	alle	A	PIDAT	Fem|Dat|Sg	45	det	_	_
45	Körperqual	Körperqual	N	NN	Fem|Dat|Sg	43	pn	_	_
46	behaftet	behaftet	A	ADJD	Pos|	38	pred	_	_
47	.	.	$	$.	_	0	root	_	_

1	Als	Als	K	KOKOM	_	7	kom	_	_
2	eine	eine	A	ART	Indef|Fem|_|Sg	4	det	_	_
3	jüngere	jung	A	ADJA	Comp|Fem|_|Sg|_|	4	attr	_	_
4	Schwester	Schwester	N	NN	Fem|_|Sg	1	cj	_	_
5	von	von	P	APPR	Dat	4	pp	_	_
6	mir	ich	P	PPER	1|Sg|_|Dat	5	pn	173	173
7	geimpft	impfen	V	VVPP	_	8	aux	_	_
8	werden	werden	V	VAINF	_	9	aux	_	_
9	sollte	sollen	V	VMFIN	_|Sg|Past|_	0	root	_	_
10	und	und	K	KON	_	9	kon	_	_
11	ich	ich	P	PPER	1|Sg|_|Nom	17	subj	173	173
12	den	die	A	ART	Def|Masc|Acc|Sg	13	det	126	126
13	Arzt	Arzt	N	NN	Masc|Acc|Sg	17	obja	126	126
14	die	die	A	ART	Def|_|_|_	15	det	198	198
15	Lanzette	Lanzette	N	NN	_|_|_	16	obja	198	198
16	hervorholen	hervorholen	V	VVINF	_	17	obji	_	_
17	sah	sehen	V	VVFIN	1|Sg|Past|Ind	10	cj	_	_
18	,	,	$	$,	_	0	root	_	_
19	bin	sein	V	VAFIN	1|Sg|Pres|Ind	9	kon	_	_
20	ich	ich	P	PPER	1|Sg|_|Nom	0	root	173	173
21	fortgelaufen	fortlaufen	V	VVPP	_	0	root	_	_
22	und	und	K	KON	_	0	root	_	_
23	habe	haben	V	VAFIN	_|Sg|Pres|_	0	root	_	_
24	mich	ich	P	PRF	1|Sg|Acc	33	obja	_	_
25	in	in	P	APPR	Dat	33	pp	_	_
26	einem	eine	A	ART	Indef|Neut|Dat|Sg	27	det	_	_
27	Hinterhöfchen	Hinterhöfchen	N	NN	Neut|Dat|Sg	25	pn	_	_
28	so	so	A	ADV	_	29	adv	_	_
29	tief	tief	A	ADJD	Pos|	30	adv	_	_
30	zwischen	zwischen	P	APPR	Acc	33	pp	_	_
31	alte	alt	A	ADJA	Pos|_|Acc|Pl|St|	32	attr	_	_
32	Fässer	Fass	N	NN	_|Acc|Pl	30	pn	_	_
33	versteckt	verstecken	V	VVPP	_	23	aux	_	_
34	,	,	$	$,	_	0	root	_	_
35	daß	daß	K	KOUS	_	43	konj	_	_
36	man	man	P	PIS	_|Nom|Sg	43	subj	_	_
37	erst	erst	A	ADV	_	43	adv	_	_
38	spät	spät	A	ADJD	Pos|	43	adv	_	_
39	am	an	P	APPRART	Dat	43	pp	_	_
40	Abend	Abend	N	NN	Masc|Dat|Sg	39	pn	197	197
41	mich	ich	P	PRF	1|Sg|Acc	43	obja	_	_
42	dort	dort	A	ADV	_	43	adv	_	_
43	auffand	auffinden	V	VVFIN	3|Sg|Past|Ind	23	subjc	_	_
44	und	und	K	KON	_	43	kon	_	_
45	halb	halb	A	ADJD	Pos|	46	adv	_	_
46	tot	tot	A	ADJD	_	49	adv	_	_
47	vor	vor	P	APPR	_	49	pp	_	_
48	Angst	Angst	N	NN	Fem|_|Sg	47	pn	_	_
49	hervorzog	hervorziehen	V	VVFIN	_|Sg|Past|Ind	44	cj	_	_
50	.	.	$	$.	_	0	root	_	_

1	Als	Als	K	KOKOM	_	7	kom	_	_
2	du	du	P	PPER	2|Sg|_|Nom	1	cj	195	195
3	von	von	P	APPR	_	2	pp	_	_
4	unserer	unsre	A	PPOSAT	_|_|_	6	det	_	_
