1	Selbige	selbige	P	PDS	_|Nom|Sg	3	subj	_	_
2	aber	aber	A	ADV	_	1	adv	_	_
3	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	wie	wie	P	PWAV	_	0	root	_	_
6	ich	ich	P	PPER	1|Sg|_|Nom	10	subj	389	389
7	noch	noch	A	ADV	_	10	adv	_	_
8	tags	tags	A	ADV	_	9	adv	_	_
9	zuvor	zuvor	A	ADJD	_	10	adv	_	_
10	gesehen	sehen	V	VVPP	_	0	root	_	_
11	,	,	$	$,	_	0	root	_	_
12	nicht	nicht	P	PTKNEG	_	15	adv	_	_
13	überall	überall	A	ADV	_	12	adv	_	_
14	so	so	A	ADV	_	15	adv	_	_
15	hoch	hoch	A	ADJD	Pos|	0	root	_	_
16	,	,	$	$,	_	0	root	_	_
17	daß	daß	K	KOUS	_	23	konj	_	_
18	nicht	nicht	P	PTKNEG	_	23	adv	_	_
19	das	die	A	ART	Def|Neut|Nom|Sg	21	det	_	_
20	wüthige	wüthige	A	ADJA	_|Neut|Nom|Sg|_	21	attr	_	_
21	Gethier	Gethier	N	NN	Neut|Nom|Sg	23	subj	_	_
22	hinüber	hinüber	A	ADV	_	23	adv	_	_
23	konnte	können	V	VMFIN	3|Sg|Past|Ind	0	root	_	_
24	;	;	$	$.	_	0	root	_	_
25	und	und	K	KON	_	0	root	_	_
26	rings	rings	A	ADV	_	27	adv	_	_
27	im	in	P	APPRART	Dat	29	pp	_	_
28	Garten	Garten	N	NN	Masc|Dat|Sg	27	pn	302	302
29	war	sein	V	VAFIN	_|Sg|Past|Ind	25	cj	_	_
30	kein	keine	A	PIAT	Masc|Nom|Sg	31	det	_	_
31	Baum	Baum	N	NN	Masc|Nom|Sg	29	subj	_	_
32	,	,	$	$,	_	0	root	_	_
33	nichts	nichts	P	PIS	Masc|Nom|Sg	31	kon	_	_
34	als	als	K	KOKOM	_	33	kom	_	_
35	die	die	A	ART	Def|Fem|Nom|Pl	37	det	442	442
36	dichten	dicht	A	ADJA	Pos|Fem|Nom|Pl|Wk|	37	attr	442	442
37	Hecken	Heck	N	NN	Fem|_|Pl	34	cj	442	442
38	und	und	K	KON	_	33	kon	_	_
39	drüben	drüben	N	NN	Masc|Nom|Sg	38	cj	_	_
40	gegen	gegen	P	APPR	Acc	39	pp	_	_
41	das	die	A	ART	Def|Neut|Acc|Sg	42	det	57	57
42	Haus	Haus	N	NN	Neut|Acc|Sg	40	pn	57	57
43	die	die	A	ART	Def|Neut|Nom|Pl	44	det	_	_
44	Blumenbeete	Blumenbeet	N	NN	Neut|Nom|Pl	29	pred	_	_
45	des	die	A	ART	Def|_|Gen|Sg	47	det	_	_
46	seligen	selig	A	ADJA	Pos|_|Gen|Sg|_|	47	attr	_	_
47	Herrn	Herrn	N	NN	_|Gen|Sg	44	gmod	_	_
48	.	.	$	$.	_	0	root	_	_

1	Da	Da	K	KOUS	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	als	als	K	KOKOM	_	15	kom	_	_
4	eben	eben	A	ADV	_	3	cj	_	_
