1	Wer	wer	P	PWS	_|Nom|Sg	2	pred	_	_
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
4	?	?	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	939	939
3	wußte	wußte	V	VVFIN	1|Sg|_|_	1	cj	_	_
4	es	es	P	PPER	3|Sg|Neut|_	3	obja	_	_
5	schon	schon	A	ADV	_	3	adv	_	_
6	und	und	K	KON	_	3	kon	_	_
7	ging	gehen	V	VVFIN	_|Sg|Past|Ind	6	cj	_	_
8	mit	mit	P	APPR	Dat	7	pp	_	_
9	raschen	rasch	A	ADJA	Pos|Masc|Dat|Pl|_|	10	attr	_	_
10	Schritten	Schritt	N	NN	Masc|Dat|Pl	8	pn	_	_
11	nach	nach	P	APPR	Dat	7	pp	_	_
12	der	die	A	ART	Def|Fem|Dat|Sg	13	det	364	364
13	Tür	Tür	N	NN	Fem|Dat|Sg	11	pn	364	364
14	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	2	det	810	810
2	Tante	Tante	N	NN	Fem|Nom|Sg	3	subj	810	810
3	rief	rufen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	kläglich	kläglich	A	ADJD	Pos|	3	adv	_	_
5	aus	aus	P	APPR	Dat	3	pp	_	_
6	ihrem	ihre	A	PPOSAT	Neut|Dat|Sg	7	det	810	810
7	Bette	Bett	N	NN	Neut|Dat|Sg	5	pn	_	_
8	:	\:	$	$.	_	0	root	_	_
9	»	»	$	$(	_	0	root	_	_
10	Will	wollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
11	Er	er	P	PPER	3|Sg|Masc|Nom	10	subj	11	11
12	mich	ich	P	PPER	1|Sg|_|Acc	10	obja	939	939
13	schon	schon	A	ADV	_	14	adv	_	_
14	verlassen	verlassen	V	VVPP	_	10	neb	_	_
15	,	,	$	$,	_	0	root	_	_
16	Pastor	Pastor	N	NN	_|_|Sg	10	vok	374	374
17	?	?	$	$.	_	0	root	_	_
18	«	«	$	$(	_	0	root	_	_
19	Aber	aber	K	KON	_	0	root	_	_
20	ich	ich	P	PPER	1|Sg|_|Nom	21	subj	939	939
21	vernahm	vernehmen	V	VVFIN	1|Sg|Past|Ind	19	cj	_	_
22	es	es	P	PPER	3|Sg|Neut|_	21	obja	_	_
23	kaum	kaum	A	ADV	_	21	adv	_	_
24	;	;	$	$.	_	0	root	_	_
25	ich	ich	P	PPER	1|Sg|_|Nom	26	subj	939	939
26	eilte	eilen	V	VVFIN	1|Sg|Past|_	0	root	_	_
27	über	über	P	APPR	Acc	26	pp	_	_
28	den	die	A	ART	Def|Masc|Acc|Sg	29	det	107	107
29	Hof	Hof	N	NN	Masc|Acc|Sg	27	pn	107	107
30	und	und	K	KON	_	29	kon	_	_
31	holete	holete	F	FM	Masc|Acc|Sg	30	cj	_	_
32	den	die	A	ART	Def|Masc|Acc|Sg	33	det	941	941
33	Schlüssel	Schlüssel	N	NN	Masc|Acc|Sg	26	obja	941	941
34	aus	aus	P	APPR	Dat	26	pp	941	941
35	des	die	A	ART	Def|_|Gen|Sg	36	det	941	941
36	Verwalters	Verwalter	N	NN	Fem|Gen|Sg	34	pn	941	941
37	Schlafkammer	Schlafkammer	N	NN	Fem|Gen|Sg	36	app	941	941
38	,	,	$	$,	_	0	root	941	941
39	der	die	P	PRELS	Masc|Nom|Sg	51	subj	941	941
40	seit	seit	P	APPR	Dat	51	pp	_	_
41	Nachmittage	Nachmittag	N	NN	_|Dat|Sg	40	pn	520	520
42	mit	mit	P	APPR	Dat	51	pp	_	_
43	dem	die	A	ART	Def|Masc|Dat|Sg	44	det	669	669
44	Vetter	Vetter	N	NN	Masc|Dat|Sg	42	pn	669	669
45	jenseit	jenseit	F	FM	Masc|Dat|Sg	44	app	669	669
46	des	die	A	ART	Def|_|Gen|Sg	47	det	942	942
47	Waldes	Wald	N	NN	_|Gen|Sg	45	gmod	669	669
48	auf	auf	P	APPR	Dat	51	pp	_	_
49	dem	die	A	ART	Def|Masc|Dat|Sg	50	det	447	447
50	Meierhofe	Meierhof	N	NN	Masc|Dat|Sg	48	pn	447	447
51	war	sein	V	VAFIN	3|Sg|Past|Ind	33	rel	_	_
52	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	16	16
2	Wind	Wind	N	NN	Masc|Nom|Sg	3	subj	16	16
3	fegte	fegen	V	VVFIN	3|Sg|Past|_	0	root	_	_
4	durch	durch	P	APPR	Acc	3	pp	_	_
5	die	die	A	ART	Def|Fem|Acc|Sg	6	det	236	236
6	Torfahrt	Torfahrt	N	NN	Fem|Acc|Sg	4	pn	236	236
7	,	,	$	$,	_	0	root	_	_
8	es	es	P	PPER	3|Sg|Neut|Nom	9	subj	_	_
9	war	sein	V	VAFIN	3|Sg|Past|Ind	3	kon	_	_
10	eisig	eisig	A	ADJD	Pos|	9	adv	_	_
11	kalt	kalt	A	ADJD	Pos|	9	pred	_	_
12	;	;	$	$.	_	0	root	_	_
13	draußen	draußen	A	ADV	_	14	adv	_	_
14	aber	aber	A	ADV	_	15	adv	_	_
15	vor	vor	P	APPR	Dat	18	objp	_	_
16	dem	die	A	ART	Def|Neut|Dat|Sg	17	det	943	943
17	Gitter	Gitter	N	NN	Neut|Dat|Sg	15	pn	943	943
18	stand	stehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
19	ein	eine	A	ART	Indef|Neut|Nom|Sg	21	det	_	_
20	schlankes	schlank	A	ADJA	Pos|Neut|Nom|Sg|St|	21	attr	_	_
21	Mädchen	Mädchen	N	NN	Neut|Nom|Sg	18	subj	_	_
22	mit	mit	P	APPR	Dat	18	pp	_	_
23	wehenden	wehend	A	ADJA	Pos|Masc|Dat|Pl|_|<PPRES	24	attr	_	_
24	Röcken	Rock	N	NN	Masc|Dat|Pl	22	pn	_	_
25	,	,	$	$,	_	0	root	_	_
26	ein	eine	A	ART	Indef|Neut|Nom|Sg	27	det	_	_
27	Tüchlein	Tüchlein	N	NN	Neut|Nom|Sg	31	subj	_	_
28	um	um	P	APPR	Acc	31	pp	_	_
29	den	die	A	ART	Def|Masc|Acc|Sg	30	det	133	133
30	Kopf	Kopf	N	NN	Masc|Acc|Sg	28	pn	133	133
31	gebunden	binden	V	VVPP	_	18	neb	_	_
32	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Jungfer	Jungfer	N	NN	Fem|_|Sg	0	root	828	828
3	Abel	Abel	N	NE	_|_|Sg	2	app	828	828
4	!	!	$	$.	_	0	root	_	_
5	«	«	$	$(	_	0	root	_	_
6	rief	rufen	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	6	subj	944	944
8	und	und	K	KON	_	6	kon	_	_
9	schloß	schloß	V	VVFIN	_	8	cj	_	_
10	das	die	A	ART	Def|Neut|_|Sg	11	det	943	943
