1	Du	du	P	PPER	2|Sg|_|Nom	2	subj	840	840
2	bekommst	bekommen	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
3	es	es	P	PPER	3|Sg|Neut|_	2	obja	_	_
4	nicht	nicht	P	PTKNEG	_	2	adv	_	_
5	!	!	$	$.	_	0	root	_	_
6	«	«	$	$(	_	0	root	_	_

1	Bei	bei	P	APPR	Dat	4	pp	_	_
2	diesen	diese	A	PDAT	Neut|Dat|Pl	3	det	163	163
3	Worten	Wort	N	NN	Neut|Dat|Pl	1	pn	163	163
4	wendete	wenden	V	VVFIN	1|Sg|Past|_	0	root	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	4	subj	833	833
6	mich	ich	P	PRF	1|Sg|Acc	4	obja	_	_
7	von	von	P	APPR	Dat	4	pp	_	_
8	ihm	er	P	PPER	3|Sg|_|Dat	7	pn	8	8
9	ab	ab	P	PTKVZ	_	4	avz	_	_
10	,	,	$	$,	_	0	root	_	_
11	und	und	K	KON	_	4	kon	_	_
12	er	er	P	PPER	3|Sg|Masc|Nom	13	subj	8	8
13	machte	machen	V	VVFIN	3|Sg|Past|_	11	cj	_	_
14	keinen	keine	A	PIAT	Masc|Acc|Sg	15	det	_	_
15	Versuch	Versuch	N	NN	Masc|Acc|Sg	13	obja	_	_
16	,	,	$	$,	_	0	root	_	_
17	mich	ich	P	PPER	1|Sg|_|Acc	22	obja	833	833
18	zu	zu	P	APPR	Dat	22	objp	_	_
19	einer	eine	A	ART	Indef|Fem|Dat|Sg	20	det	_	_
20	Änderung	Änderung	N	NN	Fem|Dat|Sg	18	pn	_	_
21	zu	zu	P	PTKZU	_	22	part	_	_
22	bewegen	bewegen	V	VVINF	_	13	obji	_	_
23	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|_	13	expl	_	_
2	war	sein	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
3	gar	gar	A	ADV	_	4	adv	_	_
4	nicht	nicht	P	PTKNEG	_	2	adv	_	_
5	meine	meine	A	PPOSAT	Fem|Nom|Sg	6	det	833	833
6	Absicht	Absicht	N	NN	Fem|Nom|Sg	2	pred	_	_
7	,	,	$	$,	_	0	root	_	_
8	das	die	A	ART	Def|Neut|_|Sg	9	det	_	_
9	Geld	Geld	N	NN	Neut|_|Sg	13	obja	_	_
10	für	für	P	APPR	Acc	9	pp	_	_
11	mich	ich	P	PPER	1|Sg|_|Acc	10	pn	833	833
12	zu	zu	P	PTKZU	_	13	part	_	_
13	verwenden	verwenden	V	VVINF	_	2	subjc	_	_
14	;	;	$	$.	_	0	root	_	_
15	aber	aber	K	KON	_	17	koord	_	_
16	ich	ich	P	PPER	1|Sg|_|Nom	17	subj	833	833
17	konnte	können	V	VMFIN	1|Sg|Past|Ind	0	root	_	_
18	damit	damit	P	PROAV	_	21	pp	_	_
19	größeren	groß	A	ADJA	Comp|_|_|_|_|	20	attr	_	_
20	Nutzen	Nutzen	N	NN	_|_|_	21	obja	_	_
21	schaffen	schaffen	V	VVINF	_	17	aux	_	_
22	,	,	$	$,	_	0	root	_	_
23	als	als	K	KOKOM	_	0	root	_	_
24	wenn	wenn	K	KOUS	_	34	konj	_	_
25	ich	ich	P	PPER	1|Sg|_|Nom	34	subj	833	833
26	es	es	P	PPER	3|Sg|Neut|_	34	obja	_	_
27	in	in	P	APPR	Acc	33	objp	_	_
28	die	die	A	ART	Def|Fem|Acc|Sg	30	det	_	_
29	bodenlose	bodenlos	A	ADJA	Pos|Fem|Acc|Sg|_|	30	attr	_	_
30	Tasche	Tasche	N	NN	Fem|Acc|Sg	27	pn	_	_
31	des	die	A	ART	Def|Masc|Gen|Sg	32	det	369	369
32	Beamten	Beamter	N	NN	Masc|Gen|Sg	30	gmod	369	369
33	gelangen	gelangen	V	VVINF	_	34	obji	_	_
34	ließ	lassen	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
35	.	.	$	$.	_	0	root	_	_

1	Jetzt	jetzt	A	ADV	_	2	adv	_	_
2	setzten	setzen	V	VVFIN	1|Pl|Past|_	0	root	_	_
3	wir	wir	P	PPER	1|Pl|_|Nom	2	subj	842	842
4	uns	wir	P	PRF	1|Pl|_	2	obja	_	_
5	in	in	P	APPR	_	2	objp	_	_
6	Bewegung	Bewegung	N	NN	Fem|_|Sg	5	pn	841	841
7	,	,	$	$,	_	0	root	_	_
8	Alle	alle	P	PIS	_|_|_	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	die	die	P	PRELS	_|_|_	0	root	841	841
11	wir	wir	P	PPER	1|Pl|_|Nom	13	subj	842	842
12	betheiligt	betheiligt	A	ADJD	_	13	pred	_	_
13	waren	sein	V	VAFIN	1|Pl|Past|Ind	0	root	_	_
14	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|_|Nom|Pl	2	det	139	139
2	Khawassen	Khawassen	N	NN	_|Nom|Pl	3	subj	139	139
3	erhielten	erhalten	V	VVFIN	3|Pl|Past|_	0	root	_	_
4	den	die	A	ART	Def|Masc|Acc|Sg	5	det	598	598
5	Befehl	Befehl	N	NN	Masc|Acc|Sg	3	obja	598	598
6	,	,	$	$,	_	0	root	_	_
7	uns	wir	P	PPER	1|Pl|_|Dat	11	objd	842	842
8	von	von	P	APPR	Dat	11	pp	_	_
9	Weitem	Weiter	N	NN	_|Dat|Sg	8	pn	14	14
10	zu	zu	P	PTKZU	_	11	part	_	_
11	folgen	folgen	V	VVINF	_	3	obji	_	_
12	,	,	$	$,	_	0	root	_	_
13	damit	damit	K	KOUS	_	19	konj	_	_
14	ein	eine	A	ART	Indef|Neut|Nom|Sg	17	det	_	_
15	allzu	allzu	P	PTKA	_	16	adv	_	_
16	großes	groß	A	ADJA	Pos|Neut|Nom|Sg|St|	17	attr	_	_
17	Aufsehen	Aufsehen	N	NN	Neut|Nom|Sg	19	subj	_	_
18	vermieden	vermeiden	V	VVPP	_	19	aux	_	_
19	werde	werden	V	VAFIN	3|Sg|Pres|Subj	11	neb	_	_
