1	Sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	406	406
2	holte	holen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	tief	tief	A	ADJD	Pos|	2	adv	_	_
4	Athem	Athem	N	NN	Masc|_|Sg	2	obja	_	_
5	und	und	K	KON	_	2	kon	_	_
6	legte	legen	V	VVFIN	3|Sg|Past|_	5	cj	_	_
7	die	die	A	ART	Def|Fem|_|Sg	8	det	216	216
8	Hand	Hand	N	NN	Fem|_|Sg	6	obja	216	216
9	wie	wie	K	KOKOM	_	6	kom	_	_
10	beruhigend	beruhigen	A	ADJD	_|<PPRES	9	cj	_	_
11	über	über	P	APPR	Acc	6	objp	_	_
12	das	die	A	ART	Def|Neut|Acc|Sg	13	det	407	407
13	Auge	Auge	N	NN	Neut|Acc|Sg	11	pn	407	407
14	,	,	$	$,	_	0	root	407	407
15	in	in	P	APPR	Acc	24	objp	407	407
16	welches	welche	P	PRELS	Neut|Acc|Sg	15	pn	407	407
17	die	die	A	ART	Def|Fem|Nom|Sg	18	det	_	_
18	Thräne	Thräne	N	NN	Fem|Nom|Sg	25	subj	_	_
19	der	die	A	ART	Def|Fem|Gen|Sg	20	det	408	408
20	Erinnerung	Erinnerung	N	NN	Fem|Gen|Sg	18	gmod	408	408
21	warm	warm	A	ADJD	Pos|	24	adv	_	_
22	und	und	K	KON	_	21	kon	_	_
23	feucht	feucht	A	ADJD	Pos|	22	cj	_	_
24	getreten	treten	V	VVPP	_	25	aux	_	_
25	war	sein	V	VAFIN	3|Sg|Past|Ind	13	rel	_	_
26	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Meine	meine	A	PPOSAT	Fem|_|Sg	3	det	409	409
3	Mutter	Mutter	N	NN	Fem|_|Sg	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	meine	meine	A	PPOSAT	Fem|_|Sg	9	det	409	409
6	liebe	lieb	A	ADJA	Pos|Fem|_|Sg|_|	9	attr	_	_
7	,	,	$	$,	_	0	root	_	_
8	liebe	lieb	A	ADJA	Pos|_|_|_|_|	6	kon	_	_
9	Mutter	Mutter	N	NN	Fem|_|Sg	3	app	_	_
10	!	!	$	$.	_	0	root	_	_
11	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ja	ja	P	PTKANT	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	mein	meine	A	PPOSAT	Neut|_|Sg	5	det	409	409
5	Kind	Kind	N	NN	Neut|_|Sg	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	Du	du	P	PPER	2|Sg|_|Nom	8	subj	410	410
8	bist	sein	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
9	mein	meine	A	PPOSAT	Masc|Nom|Sg	11	det	409	409
10	größter	groß	A	ADJA	Sup|Masc|Nom|Sg|St|	11	attr	_	_
11	Reichthum	Reichthum	N	NN	Masc|Nom|Sg	8	pred	_	_
12	;	;	$	$.	_	0	root	_	_
13	Du	du	P	PPER	2|Sg|_|Nom	14	subj	410	410
14	bist	sein	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
15	das	die	A	ART	Def|Neut|Nom|Sg	17	det	411	411
16	einzige	einzig	A	ADJA	Pos|Neut|Nom|Sg|Wk|	17	attr	411	411
17	Gut	Gut	N	NN	Neut|Nom|Sg	14	pred	411	411
18	,	,	$	$,	_	0	root	411	411
19	welches	welche	P	PRELS	Neut|Nom|Sg	22	subj	411	411
20	mir	ich	P	PPER	1|Sg|_|Dat	21	objd	409	409
21	geblieben	bleiben	V	VVPP	_	22	aux	_	_
22	ist	sein	V	VAFIN	3|Sg|Pres|Ind	17	rel	_	_
23	,	,	$	$,	_	0	root	_	_
24	und	und	K	KON	_	22	kon	_	_
25	ohne	ohne	P	APPR	Acc	27	pp	_	_
26	Dich	Dich	N	NN	_|Acc|_	25	pn	311	311
27	könnte	können	V	VMFIN	1|Sg|Past|Subj	24	cj	_	_
28	ich	ich	P	PPER	1|Sg|_|Nom	27	subj	409	409
29	nicht	nicht	P	PTKNEG	_	30	adv	_	_
30	sein	sein	V	VAINF	_	27	aux	_	_
31	und	und	K	KON	_	30	kon	_	_
32	nicht	nicht	P	PTKNEG	_	33	adv	_	_
33	leben	leben	V	VVINF	_	31	cj	_	_
34	.	.	$	$.	_	0	root	_	_
35	«	«	$	$(	_	0	root	_	_

1	Wieder	wieder	A	ADV	_	2	adv	_	_
2	erfolgte	erfolgen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	eine	eine	A	ART	Indef|Fem|_|Sg	5	det	_	_
4	jener	jener	A	ADJA	_|Fem|Nom|Sg|_	5	attr	_	_
5	Pausen	Pause	N	NN	Fem|Nom|Sg	2	subj	_	_
6	,	,	$	$,	_	0	root	_	_
7	welche	welche	P	PRELS	_|Nom|Pl	17	subj	_	_
8	so	so	A	ADV	_	9	adv	_	_
9	beruhigenden	beruhigend	A	ADJA	Pos|Masc|_|Sg|_|<PPRES	12	attr	_	_
10	und	und	K	KON	_	9	kon	_	_
11	wohlthätigen	wohlthätigen	A	ADJA	_|Masc|_|Sg|_|_	10	cj	_	_
12	Einfluß	Einfluß	N	NN	Masc|_|Sg	17	obja	_	_
13	auf	auf	P	APPR	Acc	17	pp	_	_
14	eine	eine	A	ART	Indef|Fem|Acc|Sg	16	det	660	660
15	geistige	geistig	A	ADJA	Pos|Fem|Acc|Sg|_|	16	attr	660	660
16	Aufregung	Aufregung	N	NN	Fem|Acc|Sg	13	pn	660	660
17	ausüben	ausüben	V	VVFIN	3|Pl|Pres|_	5	rel	_	_
18	,	,	$	$,	_	0	root	_	_
19	und	und	K	KON	_	17	kon	_	_
20	diesmal	diesmal	A	ADV	_	21	adv	_	_
21	übernahm	übernehmen	V	VVFIN	3|Sg|Past|Ind	19	cj	_	_
22	Auguste	August	N	NN	Masc|_|_	21	obja	412	412
23	die	die	A	ART	Def|Fem|Nom|Sg	24	det	_	_
24	Unterbrechung	Unterbrechung	N	NN	Fem|Nom|Sg	21	subj	_	_
25	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ob	ob	K	KOUS	_	6	konj	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	6	subj	7	7
4	wohl	wohl	A	ADV	_	5	adv	_	_
5	gestorben	sterben	V	VVPP	_	6	aux	_	_
6	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
7	?	?	$	$.	_	0	root	_	_
8	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Es	es	P	PPER	3|Sg|Neut|Nom	3	subj	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	mir	ich	P	PPER	1|Sg|_|Dat	3	objd	413	413
5	unmöglich	unmöglich	A	ADJD	Pos|	3	pred	_	_
6	,	,	$	$,	_	0	root	_	_
7	an	an	P	APPR	Acc	9	pp	_	_
8	ihn	er	P	PPER	3|Sg|Masc|Acc	7	pn	7	7
9	als	als	K	KOKOM	_	0	root	_	_
10	einen	eine	A	ART	Indef|Masc|Acc|Sg	11	det	_	_
11	Todten	Todten	N	NN	Masc|Acc|Sg	9	cj	_	_
12	zu	zu	P	PTKZU	_	13	part	_	_
13	denken	denken	V	VVINF	_	0	root	_	_
14	,	,	$	$,	_	0	root	_	_
15	und	und	K	KON	_	0	root	_	_
16	noch	noch	A	ADV	_	17	adv	_	_
17	heut	heut	A	ADJD	Pos|	22	adv	_	_
18	wie	wie	K	KOKOM	_	17	kom	_	_
19	früher	früh	A	ADJD	_|	18	cj	_	_
20	und	und	K	KON	_	19	kon	_	_
21	immer	immer	A	ADV	_	20	cj	_	_
22	sehe	sehen	V	VVFIN	1|Sg|Pres|_	15	cj	_	_
23	ich	ich	P	PPER	1|Sg|_|Nom	22	subj	413	413
24	ihn	er	P	PPER	3|Sg|Masc|Acc	22	obja	7	7
25	in	in	P	APPR	Dat	22	pp	_	_
26	voller	voll	A	ADJA	Pos|Fem|Dat|Sg|St|	25	pn	_	_
27	,	,	$	$,	_	0	root	_	_
28	frischer	frisch	A	ADJA	Pos|Fem|Dat|Sg|St|	29	attr	_	_
29	Jugendkraft	Jugendkraft	N	NN	Fem|Dat|Sg	32	objd	_	_
30	vor	vor	P	APPR	Dat	29	pp	_	_
31	mir	ich	P	PPER	1|Sg|_|Dat	30	pn	413	413
32	stehen	stehen	V	VVFIN	_|Pl|Pres|_	22	kon	_	_
33	,	,	$	$,	_	0	root	_	_
34	wie	wie	P	PWAV	_	40	adv	_	_
35	ich	ich	P	PPER	1|Sg|_|Nom	40	subj	413	413
36	ihn	er	P	PPER	3|Sg|Masc|Acc	40	obja	7	7
37	beim	bei	P	APPRART	Dat	40	pp	_	_
38	ersten	erst	A	ADJA	_|Neut|Dat|Sg|Wk|	39	attr	_	_
