1	Ihr	ihr	P	PPER	2|Pl|_|Nom	2	subj	995	995
2	befindet	befinden	V	VVFIN	2|Pl|Pres|_	0	root	_	_
3	Euch	ihr	P	PPER	2|Pl|_|_	2	obja	_	_
4	sehr	sehr	A	ADV	_	2	adv	_	_
5	im	in	P	APPRART	Dat	2	objp	_	_
6	Irrtum	Irrtum	N	NN	Masc|Dat|Sg	5	pn	999	999
7	,	,	$	$,	_	0	root	_	_
8	wenn	wenn	K	KOUS	_	0	root	_	_
9	-	-	$	$(	_	0	root	_	_
10	-	-	$	$(	_	0	root	_	_
11	«	«	$	$(	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	998	998
2	hielt	halten	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
3	mitten	mitten	A	ADV	_	4	adv	_	_
4	in	in	P	APPR	Dat	2	pp	_	_
5	der	die	A	ART	Def|Fem|Dat|Sg	6	det	1000	1000
6	Rede	Rede	N	NN	Fem|Dat|Sg	4	pn	1000	1000
7	inne	inne	P	PTKVZ	_	2	avz	_	_
8	,	,	$	$,	_	0	root	_	_
9	denn	denn	K	KON	_	2	kon	_	_
10	in	in	P	APPR	Dat	13	pp	_	_
11	diesem	diese	A	PDAT	Masc|Dat|Sg	12	det	182	182
12	Augenblicke	Augenblick	N	NN	Masc|Dat|Sg	10	pn	182	182
13	erscholl	erschallen	V	VVFIN	3|Sg|Past|Ind	9	cj	_	_
14	von	von	P	APPR	Dat	13	pp	_	_
15	dem	die	A	ART	Def|_|Dat|Sg	16	det	1001	1001
16	Wagen	Wage	N	NN	_|Dat|Sg	14	pn	1001	1001
17	,	,	$	$,	_	0	root	1001	1001
18	in	in	P	APPR	Dat	23	objp	1001	1001
19	welchem	welche	P	PRELS	_|Dat|Sg	18	pn	1001	1001
20	sich	sie	P	PRF	3|_|_	23	obja	_	_
21	der	die	A	ART	Def|Masc|Nom|Sg	22	det	954	954
22	Herkules	Herkules	N	NN	Masc|Nom|Sg	23	subj	954	954
23	befand	befinden	V	VVFIN	3|Sg|Past|Ind	16	rel	_	_
24	,	,	$	$,	_	0	root	_	_
25	ein	eine	A	ART	Indef|_|_|Sg	26	det	_	_
26	überlauter	überlaut	A	ADJA	Masc|Nom|Sg	13	subj	_	_
27	,	,	$	$,	_	0	root	_	_
28	ein	eine	A	ART	Indef|Masc|Nom|Sg	30	det	_	_
29	gräßlicher	gräßlich	A	ADJA	Pos|Masc|Nom|Sg|St|	30	attr	_	_
30	Schrei	Schrei	N	NN	Masc|Nom|Sg	26	app	_	_
31	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	998	998
2	eilte	eilen	V	VVFIN	1|Sg|Past|_	0	root	_	_
3	hin	hin	P	PTKVZ	_	2	avz	_	_
4	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	977	977
2	Verwundete	Verwundete	N	NN	Masc|Nom|Sg	3	subj	977	977
3	saß	sitzen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	aufrecht	aufrecht	A	ADJD	Pos|	3	adv	_	_
5	unter	unter	P	APPR	Dat	3	pp	_	_
6	dem	die	A	ART	Def|Neut|Dat|Sg	8	det	_	_
7	aufgespannten	aufgespannt	A	ADJA	Pos|Neut|Dat|Sg|Wk|	8	attr	_	_
8	Wagentuch	Wagentuch	N	NN	Neut|Dat|Sg	5	pn	_	_
9	,	,	$	$,	_	0	root	_	_
10	stierte	stieren	V	VVFIN	_|Sg|Past|_	3	kon	_	_
11	mit	mit	P	APPR	Dat	10	pp	_	_
12	blutunterlaufenen	blutunterlauft	A	ADJA	Pos|Neut|Dat|Pl|_|	13	attr	1002	1002
13	Augen	Auge	N	NN	Neut|Dat|Pl	11	pn	1002	1002
14	heraus	heraus	P	PTKVZ	_	10	avz	_	_
15	und	und	K	KON	_	10	kon	_	_
16	schrie	schreien	V	VVFIN	_|Sg|Past|_	15	cj	_	_
17	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Gieb	Gieb	N	NE	_	0	root	_	_
3	sie	sie	P	PPER	3|_|_|_	0	root	1002	1002
4	her	her	P	PTKVZ	_	0	root	_	_
5	;	;	$	$.	_	0	root	_	_
6	gieb	gieb	F	FM	_	0	root	_	_
7	sie	sie	P	PPER	3|_|_|_	0	root	1002	1002
8	her	her	P	PTKVZ	_	0	root	_	_
9	!	!	$	$.	_	0	root	_	_

1	Judith	Judith	N	NE	Fem|Nom|Sg	5	subj	1003	1003
2	,	,	$	$,	_	0	root	1003	1003
3	Judith	Judith	N	NE	Fem|Nom|Sg	1	app	1003	1003
4	,	,	$	$,	_	0	root	_	_
5	folge	folgen	V	VVFIN	3|Sg|Pres|Subj	0	root	_	_
6	mir	ich	P	PPER	1|Sg|_|Dat	5	objd	998	998
7	;	;	$	$.	_	0	root	_	_
8	er	er	P	PPER	3|Sg|Masc|Nom	9	subj	1003	1003
9	betrügt	betrügen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
10	dich	du	P	PPER	2|Sg|_|Acc	9	obja	_	_
11	doch	doch	A	ADV	_	9	adv	_	_
12	!	!	$	$.	_	0	root	_	_
13	«	«	$	$(	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	7	7
2	ballte	ballen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	die	die	A	ART	Def|Fem|_|Pl	4	det	1004	1004
4	Fäuste	Faust	N	NN	Fem|_|Pl	2	obja	1004	1004
5	und	und	K	KON	_	2	kon	_	_
6	knirschte	knirschen	V	VVFIN	_|Sg|Past|_	5	cj	_	_
7	mit	mit	P	APPR	Dat	6	pp	_	_
8	den	die	A	ART	Def|Masc|Dat|Pl	9	det	785	785
9	Zähnen	Zahn	N	NN	Masc|Dat|Pl	7	pn	785	785
10	,	,	$	$,	_	0	root	_	_
11	daß	daß	K	KOUS	_	17	konj	_	_
12	man	man	P	PIS	_|Nom|Sg	17	subj	_	_
13	es	es	P	PPER	3|Sg|Neut|_	17	obja	_	_
14	fünfzehn	fünfzehn	C	CARD	_	15	attr	_	_
15	Schritte	Schritt	N	NN	Masc|_|Pl	16	grad	_	_
16	weit	weit	A	ADJD	Pos|	17	adv	_	_
17	hörte	hören	V	VVFIN	3|Sg|Past|_	6	objc	_	_
18	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	7	7
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	zwar	zwar	A	ADV	_	4	adv	_	_
4	erwacht	erwachen	V	VVPP	_	2	aux	_	_
5	,	,	$	$,	_	0	root	_	_
6	aber	aber	K	KON	_	0	root	_	_
7	noch	noch	A	ADV	_	8	adv	_	_
8	nicht	nicht	P	PTKNEG	_	9	adv	_	_
9	bei	bei	P	APPR	Dat	6	cj	_	_
10	Sinnen	Sinn	N	NN	_|Dat|_	9	pn	1005	1005
11	und	und	K	KON	_	0	root	_	_
12	phantasierte	phantasieren	V	VVFIN	_|Sg|Past|_	11	cj	_	_
13	von	von	P	APPR	_	12	pp	_	_
14	seiner	seine	A	PPOSAT	_|_|_	15	det	7	7
15	Geliebten	Geliebte	N	NN	_|_|_	13	pn	_	_
16	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	7	7
2	ergriff	ergreifen	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
3	seine	seine	A	PPOSAT	Fem|_|Pl	5	det	7	7
4	beiden	beide	A	PIDAT	Fem|_|Pl	5	attr	_	_
5	Fäuste	Faust	N	NN	Fem|_|Pl	2	obja	_	_
6	,	,	$	$,	_	0	root	_	_
7	hielt	halten	V	VVFIN	_|Sg|Past|Ind	2	kon	_	_
8	dieselben	dieselbe	P	PDS	_|_|Pl	7	obja	_	_
9	sanft	sanft	A	ADJD	Pos|	7	adv	_	_
10	aber	aber	A	ADV	_	9	adv	_	_
11	fest	fest	A	ADJD	Pos|	7	adv	_	_
12	und	und	K	KON	_	7	kon	_	_
13	redete	reden	V	VVFIN	_|Sg|Past|_	12	cj	_	_
14	ihm	er	P	PPER	3|Sg|_|Dat	13	objd	7	7
15	gütlich	gütlich	A	ADJD	Pos|	13	adv	_	_
16	zu	zu	P	PTKVZ	_	13	avz	_	_
17	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	7	7
2	lauschte	lauschen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	.	.	$	$.	_	0	root	_	_

1	Seine	seine	A	PPOSAT	Neut|Nom|Pl	2	det	7	7
2	Augen	Auge	N	NN	Neut|Nom|Pl	3	subj	1006	1006
3	nahmen	nehmen	V	VVFIN	3|Pl|Past|Ind	0	root	_	_
4	nach	nach	A	ADV	_	3	adv	_	_
5	und	und	K	KON	_	4	kon	_	_
6	nach	nach	A	ADV	_	5	cj	_	_
7	einen	eine	A	ART	Indef|Masc|Acc|Sg	9	det	_	_
8	andern	andern	A	ADJA	_|Masc|Acc|Sg|_	9	attr	_	_
9	Ausdruck	Ausdruck	N	NN	Masc|Acc|Sg	3	obja	_	_
10	an	an	P	PTKVZ	_	3	avz	_	_
11	,	,	$	$,	_	0	root	_	_
12	und	und	K	KON	_	3	kon	_	_
13	im	in	P	APPRART	Dat	16	pp	_	_
14	klagenden	klagend	A	ADJA	Pos|Masc|Dat|Sg|Wk|<PPRES	15	attr	_	_
15	Tone	Ton	N	NN	Masc|Dat|Sg	13	pn	_	_
16	sagte	sagen	V	VVFIN	3|Sg|Past|_	12	cj	_	_
17	er	er	P	PPER	3|Sg|Masc|Nom	16	subj	7	7
18	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Er	er	P	PPER	3|Sg|Masc|Nom	3	subj	7	7
3	bethört	bethört	V	VVFIN	3|Sg|_|_	0	root	_	_
4	sie	sie	P	PPER	3|_|_|_	3	obja	1006	1006
5	;	;	$	$.	_	0	root	_	_
