1	Ihr	ihre	A	PPOSAT	Neut|Nom|Sg	2	det	7	7
2	Auge	Auge	N	NN	Neut|Nom|Sg	3	subj	_	_
3	leuchtete	leuchten	V	VVFIN	3|Sg|Past|_	0	root	_	_
4	auf	auf	P	PTKVZ	_	3	avz	_	_
5	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Streng	streng	A	ADJD	Pos|	0	root	_	_
3	und	und	K	KON	_	2	kon	_	_
4	grausam	grausam	A	ADJD	Pos|	3	cj	_	_
5	?	?	$	$.	_	0	root	_	_

1	Herr	Herr	N	NE	_	4	vok	18	18
2	,	,	$	$,	_	0	root	_	_
3	das	die	P	PDS	Neut|_|Sg	7	obja	_	_
4	sollte	sollen	V	VMFIN	3|Sg|Past|_	0	root	_	_
5	er	er	P	PPER	3|Sg|Masc|Nom	4	subj	4	4
6	nicht	nicht	P	PTKNEG	_	7	adv	_	_
7	wagen	wagen	V	VVINF	_	4	aux	_	_
8	!	!	$	$.	_	0	root	_	_

1	Nein	nein	P	PTKANT	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	aber	aber	K	KON	_	0	root	_	_
4	er	er	P	PPER	3|Sg|Masc|Nom	5	subj	4	4
5	verachtet	verachten	V	VVFIN	3|Sg|Pres|Ind	3	cj	_	_
6	sein	seine	A	PPOSAT	Neut|_|Sg	7	det	4	4
7	Weib	Weib	N	NN	Neut|_|Sg	5	obja	_	_
8	und	und	K	KON	_	7	kon	_	_
9	seine	seine	A	PPOSAT	Fem|_|Pl	10	det	4	4
10	Töchter	Tochter	N	NN	Fem|_|Pl	8	cj	397	397
11	;	;	$	$.	_	0	root	_	_
12	er	er	P	PPER	3|Sg|Masc|Nom	13	subj	4	4
13	sieht	sehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
14	und	und	K	KON	_	13	kon	_	_
15	hört	hören	V	VVFIN	_|_|Pres|Ind	14	cj	_	_
16	nicht	nicht	P	PTKNEG	_	15	adv	_	_
17	,	,	$	$,	_	0	root	_	_
18	daß	daß	K	KOUS	_	24	konj	_	_
19	sie	sie	P	PPER	3|Pl|_|Nom	24	subj	397	397
20	sich	sie	P	PRF	3|_|_	24	obja	_	_
21	in	in	P	APPR	Dat	24	objp	_	_
