1	Et	Et	N	NE	_	0	root	10	10
2	was	was	P	PWS	Neut|_|Sg	0	root	_	_
3	mal	mal	A	ADV	_	2	adv	_	_
4	en	en	F	FM	_	0	root	_	_
5	Mann	Mann	F	FM	_	4	app	_	_
6	un	un	F	FM	_	5	app	_	_
7	'	'	$	$(	_	0	root	_	_
8	ne	ne	F	FM	_	6	app	_	_
9	Fru	Fru	F	FM	_	8	app	_	_
10	west	west	F	FM	_	9	app	_	_
11	,	,	$	$,	_	0	root	_	_
12	de	de	F	FM	_	10	app	_	_
13	hadden	hadden	F	FM	_	12	app	_	_
14	,	,	$	$,	_	0	root	_	_
15	so	so	A	ADV	_	16	adv	_	_
16	lange	lange	A	ADJD	_	0	root	_	_
17	se	se	F	FM	_	0	root	_	_
18	rick	rick	F	FM	_	17	app	_	_
19	wören	wören	F	FM	_	18	app	_	_
20	,	,	$	$,	_	0	root	_	_
21	kene	kene	F	FM	_	19	app	_	_
22	Kinner	Kinner	F	FM	_	21	app	_	_
23	,	,	$	$,	_	0	root	_	_
24	as	as	F	FM	_	22	app	_	_
25	se	se	F	FM	_	24	app	_	_
26	awerst	awerst	F	FM	_	25	app	_	_
27	arm	arm	F	FM	_	26	app	_	_
28	woren	woren	F	FM	_	27	app	_	_
29	,	,	$	$,	_	0	root	_	_
30	da	da	K	KOUS	_	0	root	_	_
31	kregen	kregen	F	FM	_|_|_	0	root	_	_
32	se	se	F	FM	_|_|_	31	app	_	_
33	en	en	F	FM	_|_|_	32	app	_	_
34	kleinen	klein	A	ADJA	Pos|_|_|_|_|	35	attr	_	_
35	Jungen	Junge	N	NN	_|_|_	33	app	_	_
36	.	.	$	$.	_	0	root	_	_

1	Se	Se	N	NE	_	0	root	13	13
2	kunnen	kunnen	F	FM	_	1	app	13	13
3	awerst	awerst	F	FM	_	2	app	13	13
4	kenen	kenen	F	FM	_	3	app	13	13
5	Paen	Paen	F	FM	_	4	app	13	13
6	dato	dato	F	FM	_	5	app	13	13
7	kregen	kregen	F	FM	_	6	app	13	13
8	,	,	$	$,	_	0	root	_	_
9	da	da	K	KOUS	_	0	root	_	_
10	segde	segde	F	FM	_	0	root	_	_
11	de	de	F	FM	_	10	app	_	_
12	Mann	Mann	F	FM	_	11	app	_	_
13	,	,	$	$,	_	0	root	_	_
14	he	he	F	FM	_	0	root	_	_
15	wulle	wulle	F	FM	_	14	app	_	_
16	mal	mal	A	ADV	_	20	adv	_	_
17	na	na	A	ADJD	_	20	adv	_	_
18	den	die	A	ART	Def|_|_|_	20	det	_	_
19	annern	annern	A	ADJA	_|_|_|_|_	20	attr	_	_
20	Ohre	Ohr	N	NN	_|_|_	0	root	_	_
21	(	(	$	$(	_	0	root	_	_
22	Orte	Ort	N	NN	_|_|_	20	par	_	_
23	)	)	$	$(	_	0	root	_	_
24	gahn	gahn	F	FM	_|_|_	20	app	_	_
25	un	un	F	FM	_|_|_	24	app	_	_
26	tosehn	tosehn	F	FM	_|_|_	25	app	_	_
27	,	,	$	$,	_	0	root	_	_
28	ob	ob	K	KOUS	_	0	root	_	_
29	he	he	F	FM	_	0	root	_	_
30	da	da	F	FM	_	29	app	_	_
31	enen	enen	F	FM	_	30	app	_	_
32	krege	krege	F	FM	_	31	app	_	_
33	.	.	$	$.	_	0	root	_	_

1	Wie	Wie	P	PWAV	_	0	root	_	_
2	he	he	N	NE	_	0	root	0	0
3	so	so	A	ADV	_	4	adv	0	0
4	gienk	gienk	A	ADJD	_	0	root	0	0
5	,	,	$	$,	_	0	root	0	0
6	begegnete	begegnen	V	VVFIN	_|Sg|Past|_	0	root	0	0
7	ünn	ünn	F	FM	Masc|Nom|Pl	37	subj	0	0
8	en	en	F	FM	Masc|Nom|Pl	7	app	0	0
9	armen	arm	A	ADJA	Pos|Masc|Nom|Pl|Wk|	10	attr	0	0
10	Mann	Mann	N	NN	Masc|Nom|Pl	8	app	0	0
11	,	,	$	$,	_	0	root	0	0
12	de	de	F	FM	Masc|Nom|Pl	10	app	0	0
13	frog	frog	F	FM	Masc|Nom|Pl	12	app	0	0
14	en	en	F	FM	Masc|Nom|Pl	13	app	0	0
15	,	,	$	$,	_	0	root	0	0
16	wo	wo	P	PWAV	_	35	adv	0	0
17	he	he	F	FM	_|Nom|Sg	35	subj	0	0
18	hünne	hünne	F	FM	_|Nom|Sg	17	app	0	0
19	wulle	wulle	F	FM	_|Nom|Sg	18	app	0	0
20	,	,	$	$,	_	0	root	0	0
21	he	he	F	FM	_|Nom|Sg	19	app	0	0
22	segde	segde	F	FM	_|Nom|Sg	21	app	0	0
23	,	,	$	$,	_	0	root	0	0
24	he	he	F	FM	_|Nom|Sg	22	app	0	0
25	wulle	wulle	F	FM	_|Nom|Sg	24	app	0	0
26	hünn	hünn	F	FM	_|Nom|Sg	25	app	0	0
27	un	un	F	FM	_|Nom|Sg	26	app	0	0
28	tosehn	tosehn	F	FM	_|Nom|Sg	27	app	0	0
29	,	,	$	$,	_	0	root	0	0
30	dat	dat	F	FM	_	35	obja	0	0
31	he	he	F	FM	_	30	app	0	0
32	'	'	$	$(	_	0	root	0	0
33	n	n	N	NN	_	31	app	0	0
34	Paen	Paen	N	NE	_	33	app	0	0
35	kriegte	kriegen	V	VVFIN	3|Sg|Past|_	14	rel	_	_
36	,	,	$	$,	_	0	root	_	_
37	he	he	V	VVFIN	_|Pl|_|_	0	root	_	_
38	sie	sie	P	PPER	3|_|_|_	37	obja	0	0
39	arm	arm	A	ADJD	Pos|	37	adv	_	_
40	,	,	$	$,	_	0	root	_	_
41	und	und	K	KON	_	0	root	_	_
42	da	da	K	KOUS	_	0	root	_	_
43	wulle	wulle	F	FM	_	0	root	_	_
44	ünn	ünn	F	FM	_	43	app	_	_
45	ken	ken	F	FM	_	44	app	_	_
46	Minske	Minske	F	FM	_	45	app	_	_
47	to	to	F	FM	_	46	app	_	_
48	Gevaher	Gevaher	F	FM	_	47	app	_	_
49	stahn	stahn	F	FM	_	48	app	_	_
50	.	.	$	$.	_	0	root	_	_

1	'	'	$	$(	_	0	root	_	_
2	O	O	N	NN	Neut|_|_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	'	'	$	$(	_	0	root	_	_
5	segde	segde	F	FM	Masc|_|_	2	app	_	_
6	de	de	F	FM	Masc|_|_	5	app	_	_
7	arme	arm	A	ADJA	Pos|Masc|_|_|_|	8	attr	_	_
8	Mann	Mann	N	NN	Masc|_|_	6	app	_	_
9	,	,	$	$,	_	0	root	_	_
10	'	'	$	$(	_	0	root	_	_
11	gi	gi	F	FM	_	0	root	_	_
12	sied	sied	F	FM	_	11	app	_	_
13	arm	arm	A	ADJD	Pos|	0	root	_	_
14	,	,	$	$,	_	0	root	_	_
15	un	un	F	FM	_	0	root	_	_
16	ik	ik	F	FM	_	15	app	_	_
17	sie	sie	P	PPER	3|_|_|_	0	root	0	0
18	arm	arm	A	ADJD	Pos|	0	root	_	_
19	,	,	$	$,	_	0	root	_	_
20	ik	ik	N	NE	_|Nom|Sg	21	subj	1	1
21	will	wollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
22	guhe	guhe	N	NE	_	21	obja	_	_
23	(	(	$	$(	_	0	root	_	_
24	euer	eure	A	PPOSAT	_|_|Sg	22	par	_	_
25	)	)	$	$(	_	0	root	_	_
26	Gevaher	Gevaher	N	NE	_	22	app	_	_
27	weren	weren	N	NE	_	26	app	_	_
28	;	;	$	$.	_	0	root	_	_
29	ik	ik	F	FM	_	0	root	_	_
30	sie	sie	F	FM	_	29	app	_	_
31	awerst	awerst	F	FM	_	30	app	_	_
32	so	so	A	ADV	_	33	adv	_	_
33	arm	arm	A	ADJD	Pos|	0	root	_	_
34	,	,	$	$,	_	0	root	_	_
35	ik	ik	N	NE	_|Nom|Sg	36	subj	_	_
36	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
37	dem	die	A	ART	Def|_|Dat|Sg	38	det	_	_
38	Kinne	Kinn	N	NN	Fem|Dat|Sg	36	objd	_	_
39	nix	nix	F	FM	Fem|Dat|Sg	38	app	_	_
40	giwen	giwen	F	FM	Fem|Dat|Sg	39	app	_	_
41	,	,	$	$,	_	0	root	_	_
42	gahet	gahet	F	FM	Fem|Dat|Sg	40	app	_	_
43	hen	hen	F	FM	Fem|Dat|Sg	42	app	_	_
44	un	un	F	FM	Fem|Dat|Sg	43	app	_	_
45	segget	segget	F	FM	Fem|Dat|Sg	44	app	_	_
46	de	de	F	FM	Fem|Dat|Sg	45	app	_	_
47	Bähmoer	Bähmoer	F	FM	Fem|Dat|Sg	46	app	_	_
48	(	(	$	$(	_	0	root	_	_
49	Wehmutter	Wehmutter	N	NN	Fem|Dat|Sg	47	app	_	_
50	)	)	$	$(	_	0	root	_	_
51	,	,	$	$,	_	0	root	_	_
52	sc	sc	N	NE	_	53	obja	_	_
53	sulle	sulle	V	VVFIN	_|Sg|_|_	36	kon	_	_
54	man	man	P	PIS	_|Nom|Sg	53	subj	_	_
55	mit	mit	P	APPR	Dat	53	pp	_	_
56	den	die	A	ART	Def|_|_|_	57	det	_	_
57	Kinne	Kinn	N	NN	_|Dat|Pl	55	pn	_	_
58	na	na	V	VVFIN	_|Sg|_|_	0	root	_	_
59	der	die	A	ART	Def|Masc|Nom|Sg	60	det	_	_
60	Kerken	Kerken	N	NN	Masc|Nom|Sg	58	subj	_	_
61	kummen	kummen	N	NE	Masc|Nom|Sg	60	app	_	_
62	.	.	$	$.	_	0	root	_	_

1	'	'	$	$(	_	0	root	_	_
2	Ase	As	N	NN	Neut|Dat|Sg	0	root	_	_
3	se	se	F	FM	Neut|Dat|Sg	2	app	_	_
4	nu	nu	F	FM	Neut|Dat|Sg	3	app	_	_
5	tohaupe	tohaupe	F	FM	Neut|Dat|Sg	4	app	_	_
6	an	an	P	APPR	Dat	5	pp	_	_
7	der	die	A	ART	Def|Fem|Dat|Sg	8	det	_	_
8	Kerken	Kerken	F	FM	Fem|Dat|Sg	6	pn	_	_
9	kummet	kummet	F	FM	Fem|Dat|Sg	8	app	_	_
10	,	,	$	$,	_	0	root	_	_
11	da	da	K	KOUS	_	16	konj	_	_
12	is	is	F	FM	_|Nom|Sg	16	subj	_	_
13	de	de	F	FM	_|Nom|Sg	12	app	_	_
14	Bettler	Bettler	F	FM	_|Nom|Sg	13	app	_	_
15	schaun	schaun	F	FM	_|Nom|Sg	14	app	_	_
16	darinne	darinnen	V	VVFIN	3|Sg|Pres|Subj	0	root	_	_
17	,	,	$	$,	_	0	root	_	_
18	de	de	F	FM	_	0	root	_	_
19	givt	givt	F	FM	_	18	app	_	_
20	dem	die	A	ART	Def|Neut|Dat|Sg	21	det	_	_
21	Kinne	Kinn	N	NN	Neut|Dat|Sg	0	root	_	_
22	den	die	A	ART	Def|Masc|_|_	23	det	_	_
23	Namen	Name	N	NN	Masc|_|_	0	root	_	_
24	F	F	F	FM	Masc|_|_	23	app	_	_
25	e	e	F	FM	Masc|_|_	24	app	_	_
26	r	r	F	FM	Masc|_|_	25	app	_	_
27	e	e	F	FM	Masc|_|_	26	app	_	_
28	n	n	F	FM	Masc|_|_	27	app	_	_
29	a	a	F	FM	Masc|_|_	28	app	_	_
30	n	n	F	FM	Masc|_|_	29	app	_	_
31	d	d	F	FM	Masc|_|_	30	app	_	_
32	g	g	F	FM	Masc|_|_	31	app	_	_
33	e	e	F	FM	Masc|_|_	32	app	_	_
34	t	t	F	FM	Masc|_|_	33	app	_	_
35	r	r	F	FM	Masc|_|_	34	app	_	_
36	ü	ü	F	FM	Masc|_|_	35	app	_	_
37	.	.	$	$.	_	0	root	_	_

1	Wie	Wie	P	PWAV	_	21	adv	_	_
2	he	he	F	FM	_|Dat|_	21	objd	_	_
3	nu	nu	F	FM	_|Dat|_	2	app	_	_
4	ut	ut	F	FM	_|Dat|_	3	app	_	_
5	der	die	A	ART	Def|_|Gen|_	6	det	_	_
6	Kerken	Kerken	N	NN	_|Gen|_	4	gmod	_	_
7	gahet	gahet	N	NE	_|Gen|_	6	app	_	_
8	,	,	$	$,	_	0	root	_	_
9	da	da	K	KOUS	_	15	konj	_	_
10	segd	segd	F	FM	_	15	obja	_	_
11	de	de	F	FM	_	10	app	_	_
12	Bettler	Bettler	F	FM	_	11	app	_	_
13	'	'	$	$(	_	0	root	_	_
14	nu	nu	A	ADV	_	15	adv	_	_
15	gahet	gahet	V	VVFIN	_|Sg|_|_	21	neb	_	_
16	man	man	P	PIS	_|Nom|Sg	15	subj	_	_
17	na	na	I	ITJ	_	0	root	_	_
18	Hus	Hus	N	NE	_|Gen|_	16	gmod	2	2
19	,	,	$	$,	_	0	root	_	_
20	ik	ik	N	NE	_|Nom|Sg	21	subj	1	1
21	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
22	guh	guh	N	NE	_	21	obja	_	_
23	(	(	$	$(	_	0	root	_	_
24	euch	ihr	P	PPER	2|Pl|_|_	22	par	_	_
25	)	)	$	$(	_	0	root	_	_
26	nix	nix	F	FM	_	22	app	_	_
27	giwen	giwen	F	FM	_	26	app	_	_
28	,	,	$	$,	_	0	root	_	_
29	un	un	F	FM	_	27	app	_	_
30	gi	gi	F	FM	_	29	app	_	_
31	süllt	süllt	F	FM	_	30	app	_	_
32	mi	mi	F	FM	_	31	app	_	_
33	ok	ok	F	FM	_	32	app	_	_
34	nix	nix	F	FM	_	33	app	_	_
35	giwen	giwen	F	FM	_	34	app	_	_
36	.	.	$	$.	_	0	root	_	_

1	'	'	$	$(	_	0	root	_	_
2	De	De	F	FM	_	0	root	_	_
3	Bähmoer	Bähmoer	F	FM	_	2	app	_	_
4	awerst	awerst	F	FM	_	3	app	_	_
5	gav	gav	F	FM	_	4	app	_	_
6	he	he	F	FM	_	5	app	_	_
7	'	'	$	$(	_	0	root	_	_
8	n	n	N	NN	_	6	app	_	_
9	Schlüttel	Schlüttel	N	NE	_	8	app	_	_
10	und	und	K	KON	_	0	root	_	_
11	segd	segd	T	TRUNC	_	0	root	_	_
12	er	er	P	PPER	3|Sg|Masc|Nom	0	root	2	2
13	,	,	$	$,	_	0	root	2	2
14	se	se	F	FM	_|Nom|Sg	15	subj	2	2
15	mögt	mögen	V	VMFIN	3|Sg|Pres|Ind	0	root	2	2
16	en	en	V	VVINF	_	15	aux	2	2
17	,	,	$	$,	_	0	root	2	2
18	wenn	wenn	K	KOUS	_	22	konj	2	2
19	se	se	F	FM	_|Nom|Sg	22	subj	2	2
20	na	na	F	FM	_|Nom|Sg	19	app	2	2
21	Hus	Hus	N	NE	_|Nom|Sg	20	app	2	2
22	käme	kommen	V	VVFIN	3|Sg|Past|Subj	15	neb	_	_
23	,	,	$	$,	_	0	root	_	_
24	dem	die	A	ART	Def|_|Dat|Sg	25	det	_	_
25	Vaer	Vaer	F	FM	_|Dat|Sg	0	root	_	_
26	giwen	giwen	F	FM	_|Dat|Sg	25	app	_	_
27	,	,	$	$,	_	0	root	_	_
28	de	de	F	FM	_|Dat|Sg	26	app	_	_
29	sull	sull	F	FM	_|Dat|Sg	28	app	_	_
30	'	'	$	$(	_	0	root	_	_
31	n	n	N	NN	_	32	obja	_	_
32	verwahren	verwahren	V	VVINF	_	0	root	_	_
33	,	,	$	$,	_	0	root	_	_
34	bis	bis	K	KOUS	_	0	root	_	_
35	dat	dat	F	FM	_	0	root	_	_
36	Kind	Kind	F	FM	_	35	app	_	_
37	vertein	vertein	F	FM	_	36	app	_	_
38	Johr	Johr	F	FM	_	37	app	_	_
39	old	old	F	FM	_	38	app	_	_
40	wöre	wöre	F	FM	_	39	app	_	_
41	,	,	$	$,	_	0	root	_	_
42	dann	dann	A	ADV	_	0	root	_	_
43	sull	sull	F	FM	_	0	root	_	_
44	et	et	F	FM	_	43	app	_	_
45	up	up	F	FM	_	44	app	_	_
46	de	de	F	FM	_	45	app	_	_
47	Heide	Heide	F	FM	_	46	app	_	_
48	gahn	gahn	F	FM	_	47	app	_	_
49	,	,	$	$,	_	0	root	_	_
50	da	da	K	KOUS	_	0	root	_	_
51	wöre	wöre	F	FM	_	0	root	_	_
52	'	'	$	$(	_	0	root	_	_
53	n	n	N	NN	_	51	app	_	_
54	Schlott	Schlott	N	NE	_	53	app	_	_
55	,	,	$	$,	_	0	root	_	_
56	dato	dato	F	FM	_|Dat|_	57	objd	_	_
57	paßte	paßte	V	VVFIN	_	0	root	_	_
58	de	de	N	NE	_	57	obja	_	_
59	Schlüttel	Schlüttel	N	NE	_	58	app	_	_
60	,	,	$	$,	_	0	root	_	_
61	wat	wat	N	NE	_	0	root	_	_
62	darin	darin	P	PROAV	_	63	pp	_	_
63	wöre	wöre	A	ADJD	_	0	root	_	_
64	,	,	$	$,	_	0	root	_	_
65	dat	dat	F	FM	_|Nom|Pl	68	subj	_	_
66	sulle	sulle	F	FM	_|Nom|Pl	65	app	_	_
67	em	em	F	FM	_|Nom|Pl	66	app	_	_
68	hören	hören	V	VVFIN	3|Pl|Pres|_	0	root	_	_
69	.	.	$	$.	_	0	root	_	_

1	Wie	Wie	P	PWAV	_	0	root	_	_
2	dat	dat	F	FM	_	0	root	_	_
3	Kind	Kind	F	FM	_	2	app	_	_
4	nu	nu	F	FM	_	3	app	_	_
5	sewen	sewen	F	FM	_	4	app	_	_
6	Johr	Johr	F	FM	_	5	app	_	_
7	alt	alt	F	FM	_	6	app	_	_
8	wor	wor	F	FM	_	7	app	_	_
9	un	un	F	FM	_	8	app	_	_
10	düet	düet	F	FM	_	9	app	_	_
11	(	(	$	$(	_	0	root	_	_
12	tüchtig	tüchtig	A	ADJD	Pos|	10	par	_	_
13	)	)	$	$(	_	0	root	_	_
14	wassen	wassen	F	FM	_	10	app	_	_
15	wor	wor	F	FM	_	14	app	_	_
16	,	,	$	$,	_	0	root	_	_
17	gienk	gienk	F	FM	_	15	app	_	_
18	et	et	F	FM	_	17	app	_	_
19	mal	mal	A	ADV	_	20	adv	_	_
20	spilen	spilen	A	ADJD	_	21	adv	_	_
21	mit	mit	P	APPR	Dat	18	pp	_	_
22	annern	annern	N	NE	_|Dat|_	21	pn	_	_
23	Jungens	Jungens	N	NE	_|Dat|_	22	app	_	_
24	,	,	$	$,	_	0	root	_	_
25	da	da	K	KOUS	_	0	root	_	_
26	hadde	hadde	N	NE	_	0	root	4	4
