1	Vorzeiten	Vorzeit	N	NN	Fem|_|Pl	0	root	3	3
2	lebte	leben	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	eine	eine	A	ART	Indef|Fem|Nom|Sg	5	det	0	0
4	alte	alt	A	ADJA	Pos|Fem|Nom|Sg|_|	5	attr	0	0
5	Königin	Königin	N	NN	Fem|Nom|Sg	2	subj	0	0
6	,	,	$	$,	_	0	root	_	_
7	die	die	P	PDS	Fem|Nom|Sg	8	subj	_	_
8	war	sein	V	VAFIN	3|Sg|Past|Ind	2	kon	_	_
9	eine	eine	A	ART	Indef|Fem|Nom|Sg	10	det	33	33
10	Zauberin	Zauberin	N	NN	Fem|Nom|Sg	8	pred	33	33
11	,	,	$	$,	_	0	root	_	_
12	und	und	K	KON	_	8	kon	_	_
13	ihre	ihre	A	PPOSAT	Fem|Nom|Sg	14	det	0	0
14	Tochter	Tochter	N	NN	Fem|Nom|Sg	15	subj	72	72
15	war	sein	V	VAFIN	3|Sg|Past|Ind	12	cj	_	_
16	das	die	A	ART	Def|Neut|Nom|Sg	18	det	_	_
17	schönste	schön	A	ADJA	Sup|Neut|Nom|Sg|Wk|	18	attr	_	_
18	Mädchen	Mädchen	N	NN	Neut|Nom|Sg	15	pred	_	_
19	unter	unter	P	APPR	Dat	18	pp	_	_
20	der	die	A	ART	Def|Fem|Dat|Sg	21	det	28	28
21	Sonne	Sonne	N	NN	Fem|Dat|Sg	19	pn	28	28
22	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	2	det	1	1
2	Alte	Alt	N	NN	Fem|Nom|Sg	3	subj	1	1
3	dachte	denken	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	aber	aber	A	ADV	_	3	adv	_	_
5	auf	auf	P	APPR	_	3	pp	_	_
6	nichts	nichts	P	PIS	_|_|_	5	pn	_	_
7	,	,	$	$,	_	0	root	_	_
8	als	als	K	KOKOM	_	0	root	_	_
9	wie	wie	P	PWAV	_	15	adv	_	_
10	sie	sie	P	PPER	3|Sg|Fem|Nom	16	subj	1	1
11	die	die	A	ART	Def|Masc|_|Pl	12	det	_	_
12	Menschen	Mensch	N	NN	Masc|_|Pl	15	obja	_	_
13	ins	in	P	APPRART	Acc	15	pp	_	_
14	Verderben	Verderben	N	NN	Neut|Acc|_	13	pn	_	_
15	locken	locken	V	VVINF	_	16	aux	_	_
16	könnte	können	V	VMFIN	3|Sg|Past|Subj	0	root	_	_
17	,	,	$	$,	_	0	root	_	_
18	und	und	K	KON	_	16	kon	_	_
19	wenn	wenn	K	KOUS	_	22	konj	_	_
20	ein	eine	A	ART	Indef|Masc|Nom|Sg	21	det	2	2
21	Freier	Freier	N	NN	Masc|Nom|Sg	22	subj	2	2
22	kam	kommen	V	VVFIN	3|Sg|Past|Ind	25	neb	_	_
23	,	,	$	$,	_	0	root	_	_
24	so	so	A	ADV	_	25	adv	_	_
25	sprach	sprechen	V	VVFIN	3|Sg|Past|Ind	18	cj	_	_
26	sie	sie	P	PPER	3|Sg|Fem|Nom	25	subj	1	1
27	,	,	$	$,	_	0	root	_	_
28	wer	wer	P	PWS	_|Nom|Sg	32	subj	_	_
29	ihre	ihre	A	PPOSAT	Fem|_|Sg	30	det	1	1
30	Tochter	Tochter	N	NN	Fem|_|Sg	31	obja	_	_
31	haben	haben	V	VAINF	_	32	aux	_	_
32	wollte	wollen	V	VMFIN	3|Sg|Past|_	25	objc	_	_
33	,	,	$	$,	_	0	root	_	_
34	müßte	müssen	V	VMFIN	_|Sg|Past|Subj	32	kon	_	_
35	zuvor	zuvor	A	ADV	_	42	adv	_	_
36	einen	eine	A	ART	Indef|Masc|Acc|Sg	37	det	_	_
37	Bund	Bund	N	NN	Fem|Acc|Sg	42	obja	_	_
38	(	(	$	$(	_	0	root	_	_
39	eine	eine	A	ART	Indef|Fem|Acc|Sg	40	det	_	_
40	Aufgabe	Aufgabe	N	NN	Fem|Acc|Sg	37	app	_	_
41	)	)	$	$(	_	0	root	_	_
42	lösen	lösen	V	VVINF	_	34	aux	_	_
43	,	,	$	$,	_	0	root	_	_
44	oder	oder	K	KON	_	34	kon	_	_
45	er	er	P	PPER	3|Sg|Masc|Nom	46	subj	2	2
46	müßte	müssen	V	VMFIN	3|Sg|Past|Subj	44	cj	_	_
47	sterben	sterben	V	VVINF	_	46	aux	_	_
48	.	.	$	$.	_	0	root	_	_

1	Viele	viele	P	PIS	_|Nom|Pl	2	subj	_	_
2	waren	sein	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
3	von	von	P	APPR	_	8	pp	_	_
4	der	die	A	ART	Def|Fem|_|Sg	5	det	_	_
5	Schönheit	Schönheit	N	NN	Fem|_|Sg	3	pn	_	_
6	der	die	A	ART	Def|Fem|Gen|Sg	7	det	4	4
7	Jungfrau	Jungfrau	N	NN	Fem|Gen|Sg	5	gmod	4	4
8	verblendet	verblenden	V	VVPP	_	2	aux	_	_
9	und	und	K	KON	_	2	kon	_	_
10	wagten	wagen	V	VVFIN	_|Pl|Past|_	9	cj	_	_
11	es	es	P	PPER	3|Sg|Neut|_	10	obja	_	_
12	wohl	wohl	A	ADV	_	10	adv	_	_
13	,	,	$	$,	_	0	root	_	_
14	aber	aber	K	KON	_	10	kon	_	_
15	sie	sie	P	PPER	3|Pl|_|Nom	16	subj	3	3
16	konnten	können	V	VMFIN	3|Pl|Past|Ind	14	cj	_	_
17	nicht	nicht	P	PTKNEG	_	18	adv	_	_
18	vollbringen	vollbringen	V	VVINF	_	16	aux	_	_
19	,	,	$	$,	_	0	root	_	_
20	was	was	P	PRELS	Neut|Nom|Sg	24	subj	_	_
21	die	die	A	ART	Def|_|_|_	22	det	74	74
22	Alte	Alt	N	NN	_|_|_	24	obja	74	74
23	ihnen	sie	P	PPER	3|Pl|_|Dat	24	objd	3	3
24	auflegte	auflegen	V	VVFIN	3|Sg|Past|_	18	rel	_	_
25	,	,	$	$,	_	0	root	_	_
26	und	und	K	KON	_	24	kon	_	_
27	dann	dann	A	ADV	_	28	adv	_	_
28	war	sein	V	VAFIN	3|Sg|Past|Ind	26	cj	_	_
29	keine	keine	A	PIAT	Fem|Nom|Sg	30	det	_	_
30	Gnade	Gnade	N	NN	Fem|Nom|Sg	28	subj	_	_
31	,	,	$	$,	_	0	root	_	_
32	sie	sie	P	PPER	3|Pl|_|Nom	33	subj	3	3
33	mußten	müssen	V	VMFIN	3|Pl|Past|Ind	28	kon	_	_
34	niederknien	niederknien	N	NE	_	33	obja	_	_
35	,	,	$	$,	_	0	root	_	_
36	und	und	K	KON	_	33	kon	_	_
37	das	die	A	ART	Def|Neut|Nom|Sg	38	det	_	_
38	Haupt	Haupt	N	NN	Neut|Nom|Sg	39	subj	_	_
39	ward	ward	V	VAFIN	_|Sg|_|_	36	cj	_	_
40	ihnen	sie	P	PPER	3|Pl|_|Dat	41	objd	3	3
41	abgeschlagen	abschlagen	V	VVPP	_	39	aux	_	_
42	.	.	$	$.	_	0	root	_	_

1	Ein	ein	A	ART	Indef|Masc|Nom|Sg	2	det	5	5
2	Königssohn	Königssohn	N	NN	Masc|Nom|Sg	0	root	5	5
3	,	,	$	$,	_	0	root	_	_
4	der	die	P	PDS	Masc|Nom|Sg	5	subj	_	_
5	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
6	auch	auch	A	ADV	_	13	adv	_	_
7	von	von	P	APPR	_	13	pp	_	_
8	der	die	A	ART	Def|Fem|_|Sg	10	det	_	_
