1	Es	es	P	PPER	3|Sg|Neut|_	2	expl	_	_
2	lebte	leben	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	einmal	einmal	A	ADV	_	2	adv	_	_
4	eine	eine	A	ART	Indef|Fem|Nom|Sg	6	det	0	0
5	alte	alt	A	ADJA	Pos|Fem|Nom|Sg|_|	6	attr	0	0
6	Königin	Königin	N	NN	Fem|Nom|Sg	2	subj	0	0
7	,	,	$	$,	_	0	root	_	_
8	der	die	P	PDS	_|_|Sg	0	root	_	_
9	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
10	ihr	ihre	A	PPOSAT	Masc|Nom|Sg	11	det	0	0
11	Gemahl	Gemahl	N	NN	Masc|Nom|Sg	9	subj	_	_
12	schon	schon	A	ADV	_	13	adv	_	_
13	lange	lang	A	ADJA	Pos|Neut|Nom|Pl|St|	14	attr	_	_
14	Jahre	Jahr	N	NN	Neut|Nom|Pl	11	app	_	_
15	gestorben	sterben	V	VVPP	_	9	aux	_	_
16	,	,	$	$,	_	0	root	_	_
17	und	und	K	KON	_	9	kon	_	_
18	sie	sie	P	PPER	3|Sg|Fem|Nom	19	subj	0	0
19	hatte	haben	V	VAFIN	3|Sg|Past|Ind	17	cj	_	_
20	eine	eine	A	ART	Indef|Fem|_|Sg	22	det	5	5
21	schöne	schön	A	ADJA	Pos|Fem|_|Sg|_|	22	attr	5	5
22	Tochter	Tochter	N	NN	Fem|_|Sg	19	obja	5	5
23	.	.	$	$.	_	0	root	_	_

1	Wie	Wie	P	PWAV	_	3	adv	_	_
2	die	die	P	PDS	Fem|Nom|Sg	3	subj	_	_
3	erwuchs	erwachsen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	wurde	werden	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
6	sie	sie	P	PPER	3|Sg|Fem|Nom	5	subj	0	0
7	weit	weit	A	ADJD	Pos|	8	adv	_	_
8	über	über	P	APPR	_	13	pp	_	_
9	Feld	Feld	N	NN	Neut|_|Sg	8	pn	54	54
10	an	an	P	APPR	Acc	13	pp	_	_
11	einen	eine	A	ART	Indef|Masc|Acc|Sg	12	det	32	32
