1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	einmal	einmal	A	ADV	_	2	adv	_	_
4	ein	eine	A	ART	Indef|Masc|Nom|Sg	6	det	_	_
5	großer	groß	A	ADJA	Pos|Masc|Nom|Sg|St|	6	attr	_	_
6	Krieg	Krieg	N	NN	Masc|Nom|Sg	2	pred	_	_
7	,	,	$	$,	_	0	root	_	_
8	und	und	K	KON	_	2	kon	_	_
9	als	als	K	KOKOM	_	14	kom	_	_
10	der	die	A	ART	Def|Masc|Nom|Sg	11	det	_	_
11	Krieg	Krieg	N	NN	Masc|Nom|Sg	9	cj	_	_
12	zu	zu	P	APPR	Dat	11	pp	_	_
13	Ende	Ende	N	NN	Neut|Dat|Sg	12	pn	_	_
14	war	sein	V	VAFIN	_|Sg|Past|Ind	8	cj	_	_
15	,	,	$	$,	_	0	root	_	_
16	bekamen	bekommen	V	VVFIN	3|Pl|Past|Ind	14	s	_	_
17	viele	viele	A	PIDAT	_|Nom|Pl	18	det	0	0
18	Soldaten	Soldat	N	NN	_|Nom|Pl	16	subj	0	0
19	ihren	ihre	A	PPOSAT	Masc|_|Sg	20	det	0	0
20	Abschied	Abschied	N	NN	Masc|_|Sg	16	obja	_	_
21	.	.	$	$.	_	0	root	_	_

1	Nun	nun	A	ADV	_	2	adv	_	_
2	bekam	bekommen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	der	die	A	ART	Def|Masc|Nom|Sg	4	det	1	1
4	Bruder	Bruder	N	NN	Masc|Nom|Sg	2	subj	1	1
5	Lustig	Lustig	N	NE	Masc|Nom|Sg	4	app	1	1
6	auch	auch	A	ADV	_	2	adv	_	_
7	seinen	seine	A	PPOSAT	Masc|_|Sg	8	det	1	1
8	Abschied	Abschied	N	NN	Masc|_|Sg	2	obja	_	_
9	und	und	K	KON	_	8	kon	_	_
10	sonst	sonst	A	ADV	_	11	adv	_	_
11	nichts	nichts	P	PIS	Masc|_|Sg	9	cj	_	_
12	als	als	K	KOKOM	_	11	kom	_	_
13	ein	eine	A	ART	Indef|Neut|Acc|Sg	15	det	_	_
14	kleines	klein	A	ADJA	Pos|Neut|Acc|Sg|St|	15	attr	_	_
15	Laibchen	Laibchen	N	NN	Neut|_|Sg	12	cj	_	_
16	Kommißbrot	Kommißbrot	N	NN	Neut|Acc|Sg	15	app	_	_
17	und	und	K	KON	_	16	kon	_	_
18	vier	vier	C	CARD	_	19	attr	_	_
19	Kreuzer	Kreuzer	N	NN	Masc|Acc|Pl	17	cj	_	_
20	an	an	P	APPR	_	19	pp	_	_
